Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,6.34765625,[6],33,2,40,0
2,199.7,9.3828125,[6],33,2,1401,0
3,131.3,10.73046875,[6],33,2,2940,0
4,106.7,10.73046875,[6],33,2,4595,0
5,114.6,10.73046875,[6],33,2,6257,0
6,128.4,10.73046875,[6],33,2,8309,0
7,103.7,10.8125,[2],33,2,10077,0
8,123.5,10.91796875,[2],33,2,12014,0
9,100.8,10.91796875,[2],33,2,13724,0
10,94.8,10.91796875,[2],33,2,15363,0
11,97.8,10.91796875,[2],33,2,17002,0
12,105.8,10.9296875,[8],33,2,18643,0
13,100.0,10.94140625,[8],33,2,20306,0
14,99.0,10.94140625,[8],33,2,21966,0
15,105.9,10.94140625,[8],33,2,23776,0
16,115.8,10.94140625,[9],33,2,25927,0
17,112.9,10.94140625,[9],33,2,28059,0
18,125.8,10.94140625,[9],33,2,29712,0
19,121.6,10.94140625,[3],33,2,31633,0
