Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.13671875,[3],33,0,58,0
2,120.5,7.43359375,[3],33,2,2442,0
3,102.7,8.3671875,[3],33,2,4257,0
4,110.6,8.828125,[3],33,2,6208,0
5,104.7,8.93359375,[3],33,2,8015,0
6,134.4,8.93359375,[23],33,2,9486,0
7,103.7,9.3515625,[8],33,2,11339,0
8,136.5,9.59765625,[9],33,2,13554,0
9,121.7,9.59765625,[9],33,2,15724,0
10,114.8,9.59765625,[9],33,2,17694,0
11,102.9,9.59765625,[9],33,2,19389,0
12,110.8,9.59765625,[9],33,2,21293,0
13,113.8,9.59765625,[9],33,2,23268,0
14,110.8,9.81640625,[10],33,2,25143,0
15,114.7,9.81640625,[10],33,2,27062,0
16,110.8,9.81640625,[10],33,2,28915,0
17,107.8,9.81640625,[10],33,2,30849,0
18,104.9,9.81640625,[9],33,2,32666,0
19,110.8,9.81640625,[10],33,2,34562,0
20,125.6,9.81640625,[24],33,2,36208,0
21,93.0,9.81640625,[10],33,2,37867,0
22,100.9,9.84765625,[10],33,2,39518,0
23,81.1,9.98828125,[30],33,2,41220,0
24,101.9,9.98828125,[30],33,2,42995,0
25,74.2,9.98828125,[10],33,2,44677,0
26,83.1,9.98828125,[10],33,2,46480,0
27,263.2,10.0859375,[10],33,2,47867,0
28,264.2,10.828125,[10],33,2,49211,0
29,294.8,11.6640625,[30],33,2,50361,0
30,241.3,11.8203125,[8],33,2,51984,0
31,215.6,11.83984375,[15],33,2,53408,0
32,196.9,11.99609375,[15],33,2,54987,0
33,238.4,12.09375,[15],33,2,56605,0
