Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.9765625,[11],33,0,28,0
2,233.3,22.6640625,[11],33,2,32069,0
3,138.4,24.859375,[25],33,2,39873,0
4,25.7,24.859375,[25],33,2,40251,0
5,30.7,24.859375,[25],33,2,40505,0
6,96.9,24.859375,[25],33,2,41956,0
7,126.5,27.359375,[11],33,2,43761,0
8,148.3,27.44140625,[11],33,2,45251,0
9,168.1,27.5078125,[11],33,2,54191,0
10,169.0,32.5390625,[27],33,2,61015,0
11,217.2,26.4296875,[27],33,2,67825,0
12,249.2,32.890625,[27],33,2,99572,0
13,190.8,35.5859375,[27],33,2,150060,0
14,179.9,40.4765625,[27],33,2,200380,0
15,201.6,41.546875,[27],33,2,248141,0
16,205.5,51.5859375,[27],33,2,303253,0
17,203.7,51.58203125,[25],33,2,374486,0
18,201.7,51.703125,[25],33,2,441632,0
19,281.7,61.84765625,[25],33,2,475719,0
20,266.0,71.87890625,[27],33,2,505038,0
21,386.4,80.16796875,[27],33,2,505566,0
22,402.2,80.30078125,[25],33,2,506247,0
23,371.5,81.171875,[26],33,2,507102,0
24,179.8,81.171875,[26],33,2,507175,0
25,405.2,81.171875,[26],33,2,507675,0
26,347.8,81.171875,[26],33,2,508687,0
27,393.3,81.19140625,[11],33,2,509306,0
28,360.7,81.19140625,[11],33,2,510031,0
29,101.8,81.2109375,[11],33,2,510117,0
30,33.6,81.2109375,[11],33,2,510252,0
31,184.9,81.3203125,[27],33,2,510547,0
32,203.7,81.3203125,[26],33,2,510778,0
33,420.0,81.734375,[26],33,2,511304,0
34,384.3,81.9296875,[26],33,2,514668,0
35,380.7,82.9765625,[10],33,2,515357,0
36,222.6,83.41015625,[10],33,2,538327,0
37,212.6,85.734375,[27],33,2,584763,0
38,155.2,90.64453125,[27],33,2,604306,0
39,114.6,91.16015625,[10],33,2,604890,0
40,206.7,91.16015625,[27],33,2,605860,0
41,194.8,91.16015625,[10],33,2,609468,0
42,183.7,92.16796875,[10],33,2,610634,0
43,232.5,92.17578125,[10],33,2,611299,0
44,186.0,109.0546875,[10],33,2,623426,0
45,150.4,111.1953125,[10],33,2,626525,0
46,150.3,111.1953125,[10],33,2,646302,0
47,209.6,116.1171875,[27],33,2,647611,0
48,230.6,117.546875,[11],33,2,677499,0
49,211.2,117.79296875,[11],33,2,686005,0
50,301.3,122.82421875,[11],33,2,700726,0
51,159.2,122.83203125,[11],33,2,702388,0
52,454.4,122.83984375,[27],33,2,706053,0
53,178.0,122.83984375,[27],33,2,706525,0
54,370.0,122.83984375,[27],33,2,706978,0
55,429.7,122.83984375,[11],33,2,707532,0
56,435.6,122.83984375,[11],33,2,709992,0
57,473.3,122.83984375,[11],33,2,710743,0
58,168.1,122.84375,[11],33,2,710946,0
