Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,6.34765625,[20],33,2,140,0
2,173.9,19.80859375,[20],33,2,2031,0
3,124.4,21.58203125,[20],33,2,3771,0
4,124.4,22.38671875,[20],33,2,5682,0
5,112.5,23.640625,[20],33,2,7457,0
6,108.6,23.640625,[20],33,2,9243,0
7,110.6,26.15234375,[20],33,2,11083,0
8,108.6,26.2734375,[20],33,2,12867,0
9,110.6,26.2734375,[20],33,2,14616,0
10,103.7,26.2734375,[20],33,2,16467,0
11,105.6,31.50390625,[20],33,2,18340,0
12,109.6,31.62109375,[20],33,2,20225,0
13,144.2,31.640625,[20],33,2,22283,0
14,145.1,31.64453125,[20],33,2,24478,0
15,169.5,23.8046875,[16],33,2,26643,0
16,117.5,25.09375,[16],33,2,28929,0
17,342.8,33.828125,[8],33,2,30303,0
18,234.2,35.66796875,[8],33,2,31986,0
19,242.1,35.66796875,[10],33,2,33603,0
20,362.9,37.15234375,[27],33,2,34627,0
21,408.0,44.84765625,[11],33,2,35870,0
22,427.5,45.1015625,[14],33,2,37312,0
23,231.2,46.33984375,[14],33,2,38280,0
24,344.7,48.15234375,[17],33,2,39347,0
25,329.1,50.86328125,[17],33,2,40389,0
26,228.3,61.17578125,[17],33,2,41780,0
27,218.3,61.22265625,[17],33,2,43495,0
28,265.8,61.25,[17],33,2,44619,0
29,327.3,61.25,[17],33,1,46107,0
