Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.8984375,[3],33,2,39,0
2,175.7,21.1640625,[3],33,2,1933,0
3,142.2,22.98828125,[16],33,2,3945,0
4,131.3,24.390625,[16],33,2,6121,0
5,106.6,24.390625,[16],33,2,7863,0
6,106.6,26.890625,[16],33,2,9549,0
7,115.5,26.890625,[16],33,2,11271,0
8,107.5,27.00390625,[16],33,2,12966,0
9,128.3,27.05078125,[16],33,2,14931,0
10,129.3,32.05078125,[16],33,2,16969,0
11,184.6,23.55859375,[0],33,2,18526,0
12,142.4,24.73046875,[16],33,2,20966,0
13,189.5,29.9921875,[16],33,2,22810,0
14,137.2,31.953125,[0],33,2,25024,0
15,144.1,34.10546875,[0],33,2,27500,0
16,136.3,38.91015625,[0],33,2,29923,0
17,138.2,39.11328125,[3],33,2,32306,0
