Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.76953125,[4],33,2,54,0
2,167.9,19.921875,[4],33,2,1904,0
3,127.4,21.734375,[4],33,2,3923,0
4,123.4,23.109375,[4],33,2,5996,0
5,127.4,23.375,[4],33,2,8046,0
6,112.6,25.91015625,[4],33,2,9816,0
7,109.6,26.17578125,[4],33,2,11412,0
8,117.5,26.203125,[4],33,2,13055,0
9,108.6,26.2109375,[4],33,2,14730,0
10,112.5,31.28515625,[4],33,2,16367,0
11,113.5,31.30078125,[4],33,2,18030,0
12,111.5,31.30078125,[4],33,2,19671,0
13,114.6,31.46484375,[4],33,2,21340,0
14,113.5,31.46484375,[4],33,2,22954,0
15,181.0,23.171875,[16],33,2,24560,0
16,197.5,27.04296875,[16],33,2,26352,0
17,78.0,28.578125,[16],33,2,28008,0
18,151.2,33.1171875,[16],33,2,29601,0
19,329.8,34.40625,[16],33,2,30729,0
