Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.00390625,[2],33,2,85,0
2,282.4,28.44921875,[2],33,2,2043,0
3,201.6,31.9921875,[2],33,2,4909,0
4,190.6,33.29296875,[1],33,2,7913,0
5,167.2,33.296875,[23],33,2,10839,0
6,135.2,36.2109375,[23],33,2,12775,0
7,140.2,37.70703125,[23],33,2,14870,0
8,141.2,37.953125,[7],33,2,17009,0
9,154.9,40.50390625,[7],33,2,19163,0
10,155.0,40.50390625,[7],33,2,21163,0
11,143.2,40.50390625,[7],33,2,23272,0
12,148.1,45.53515625,[7],33,2,25374,0
13,139.2,50.5390625,[7],33,2,27483,0
14,138.2,44.375,[7],33,2,29399,0
15,150.1,45.62109375,[7],33,2,31287,0
16,152.0,45.62109375,[7],33,2,33342,0
17,144.2,45.75,[7],33,2,35444,0
18,130.4,50.69921875,[7],33,2,37214,0
19,133.3,51.7578125,[7],33,2,39093,0
20,155.0,52.51953125,[7],33,2,41045,0
21,165.9,52.51953125,[7],33,2,43284,0
22,310.0,58.87890625,[7],33,2,45065,0
23,145.9,60.109375,[2],33,2,48080,0
24,339.2,61.8828125,[2],33,2,49850,0
25,380.9,63.94921875,[1],33,2,51587,0
26,294.8,64.26953125,[1],33,2,52779,0
