Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.0546875,[16],33,2,106,0
2,121.4,11.44921875,[16],33,2,2219,0
3,107.6,13.265625,[0],33,2,3962,0
4,105.7,16.609375,[22],33,2,5582,0
5,121.4,16.8359375,[22],33,2,7383,0
6,115.5,20.09765625,[22],33,2,9008,0
7,108.6,20.9921875,[22],33,2,10678,0
8,112.6,21.83203125,[22],33,2,12361,0
9,121.4,24.8984375,[22],33,2,13963,0
10,110.5,25.51171875,[22],33,2,15598,0
11,110.6,30.5859375,[22],33,2,17216,0
12,107.6,30.83203125,[22],33,2,18846,0
13,115.5,31.859375,[22],33,2,20481,0
14,109.6,33.1484375,[22],33,2,22124,0
15,100.7,25.51953125,[22],33,2,23710,0
16,105.7,26.4375,[22],33,2,25333,0
17,104.7,31.4375,[22],33,2,26989,0
18,106.7,31.62109375,[22],33,2,28571,0
19,105.7,31.62109375,[22],33,2,30231,0
20,99.7,31.62109375,[22],33,2,31842,0
21,95.8,31.62109375,[22],33,2,33431,0
22,97.7,41.18359375,[22],33,2,35018,0
23,100.8,41.30859375,[22],33,2,36656,0
24,123.4,41.30859375,[22],33,2,38379,0
25,136.3,41.30859375,[22],33,2,40388,0
26,146.2,53.39453125,[22],33,2,42380,0
27,148.1,55.9921875,[22],33,2,44564,0
28,109.6,55.9921875,[22],33,2,46598,0
29,225.3,57.04296875,[22],33,2,48631,0
30,431.9,62.9453125,[1],33,2,49840,0
31,398.4,69.6953125,[1],33,2,51280,0
32,307.9,79.7734375,[1],33,2,54009,0
33,304.4,85.76953125,[1],33,2,55977,0
34,273.7,88.125,[7],33,2,57289,0
35,265.9,90.21484375,[7],33,1,58351,0
