Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.69921875,27,1,0,0
2,189.8,10.9296875,0,33,2,1698
3,168.9,11.8125,1,33,2,3987
4,170.9,11.8359375,1,33,2,6859
5,190.9,12.328125,1,33,2,18663
6,162.9,12.67578125,1,33,2,23530
7,134.9,12.67578125,1,33,2,25044
8,137.9,12.67578125,1,33,2,26795
9,183.9,14.12109375,1,33,2,28217
10,128.9,14.26953125,1,33,2,29970
11,180.9,15.015625,1,33,2,31330
12,132.9,15.015625,1,33,2,32780
13,129.9,15.015625,1,33,2,34313
14,129.9,15.015625,1,33,2,35983
15,140.9,15.45703125,1,33,2,38067
16,137.9,15.703125,1,33,2,39772
17,139.9,15.859375,1,33,2,41369
18,143.9,15.859375,1,33,2,43021
19,137.9,15.859375,1,33,2,44591
20,135.9,15.93359375,1,33,2,46173
21,143.9,16.08203125,2,33,2,48219
22,192.9,16.23828125,2,33,2,49597
23,127.9,16.23828125,2,33,2,51051
24,143.9,16.3984375,2,33,2,52845
25,375.7,16.46484375,2,33,2,53731
26,357.7,16.75,2,33,2,54749
27,353.6,16.75,2,33,2,55451
28,361.7,16.75,2,33,2,56410
29,395.6,16.76171875,2,33,2,57198
30,361.7,16.76171875,2,33,2,58024
31,379.7,17.6953125,2,33,2,58993
32,284.8,18.26171875,2,33,2,59783
33,333.7,18.33203125,2,33,2,60902
34,259.8,19.2109375,20,33,2,62166
35,382.7,19.375,20,33,2,63044
36,284.8,19.375,21,33,2,64225
37,176.8,19.4609375,21,33,2,65234
38,229.8,19.5546875,21,33,2,66777
39,143.9,19.5546875,21,33,2,68224
40,154.9,19.5546875,21,33,2,69789
41,136.9,19.5546875,20,33,2,71209
42,142.9,19.5546875,21,33,2,73137
43,143.9,19.5546875,21,33,2,74903
44,138.9,19.5546875,21,33,2,76616
45,137.9,19.5546875,21,33,2,78189
46,148.9,19.5546875,21,33,2,79891
47,156.9,19.5546875,20,33,2,82062
48,151.9,19.62890625,20,33,2,84422
49,145.9,19.62890625,20,33,2,86546
50,145.9,19.62890625,21,33,2,88436
51,148.9,19.63671875,21,33,2,90501
52,162.9,19.63671875,21,33,2,92450
53,151.9,19.63671875,21,33,2,94445
54,154.9,19.63671875,21,33,2,96472
55,151.9,19.63671875,21,33,2,98492
56,147.9,19.63671875,21,33,2,100224
57,152.9,19.63671875,21,33,2,101787
58,151.9,19.63671875,21,33,2,103428
59,274.7,19.80078125,21,33,2,104771
60,124.9,19.80078125,21,33,2,106692
61,149.9,19.80078125,21,33,2,108101
62,347.6,19.80078125,21,33,2,108951
63,283.7,19.80078125,20,33,2,110199
64,317.7,19.80078125,20,33,2,111484
65,368.7,19.80078125,20,33,2,112506
66,342.6,19.80078125,20,33,2,113714
67,240.8,19.80078125,20,33,2,115231
68,326.7,19.80078125,20,33,2,116296
69,384.7,19.8203125,20,33,2,117046
70,352.7,19.8671875,20,33,2,118070
71,380.6,20.2734375,20,33,2,118977
72,286.7,20.2734375,20,33,2,119874
73,139.9,20.2734375,21,33,2,121331
74,134.9,20.2734375,21,33,2,122901
75,134.9,20.2734375,21,33,2,124447
