Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.5390625,[20],33,0,0,0
2,187.6,10.734375,[3],33,2,1704,0
3,163.9,11.8515625,[3],33,2,4209,0
4,183.7,12.265625,[3],33,2,31994,0
5,199.5,12.609375,[3],33,2,80638,0
6,197.5,12.77734375,[3],33,2,129600,0
7,157.9,12.77734375,[3],33,2,131496,0
8,221.4,14.94140625,[3],33,2,147966,0
9,172.0,15.36328125,[3],33,2,155593,0
10,132.1,15.36328125,[3],33,2,157644,0
11,128.2,15.6328125,[3],33,2,159627,0
12,129.1,15.6328125,[3],33,2,161533,0
13,131.1,15.6328125,[3],33,2,163571,0
14,139.1,15.6328125,[3],33,2,165695,0
15,130.1,15.8046875,[3],33,2,167650,0
16,137.1,16.09375,[5],33,2,169379,0
17,137.0,16.09375,[16],33,2,171391,0
18,130.1,16.09375,[16],33,2,173350,0
19,135.1,16.09375,[16],33,2,175383,0
20,171.6,16.5234375,[16],33,2,177129,0
21,143.9,16.9375,[16],33,2,178860,0
22,141.1,16.9375,[16],33,2,180957,0
23,316.8,17.04296875,[2],33,2,182234,0
24,358.3,17.1328125,[8],33,2,183189,0
25,389.4,17.1640625,[8],33,2,183996,0
26,359.1,17.1640625,[8],33,2,184997,0
27,309.5,17.18359375,[8],33,2,185672,0
28,374.3,17.18359375,[8],33,2,186435,0
29,363.8,17.3359375,[9],33,2,187288,0
30,359.6,17.69140625,[9],33,2,188310,0
31,383.7,18.8984375,[10],33,2,189092,0
32,232.1,18.92578125,[2],33,2,190138,0
33,396.7,19.05859375,[2],33,2,190867,0
34,339.3,19.05859375,[2],33,2,192264,0
35,206.1,19.47265625,[2],33,2,193613,0
36,152.8,19.47265625,[2],33,2,195413,0
37,135.1,19.47265625,[2],33,2,197153,0
38,141.2,19.47265625,[3],33,2,198896,0
39,139.9,19.77734375,[8],33,2,201001,0
40,138.4,19.78125,[9],33,2,203001,0
41,126.5,19.78125,[10],33,2,204585,0
42,132.5,19.78125,[11],33,2,206740,0
43,148.2,19.80859375,[12],33,2,208951,0
44,147.3,19.80859375,[24],33,2,211097,0
45,142.2,19.80859375,[27],33,2,213251,0
46,140.4,19.80859375,[27],33,2,215335,0
47,124.5,19.80859375,[27],33,2,217333,0
48,137.3,19.80859375,[27],33,2,219223,0
49,147.7,19.80859375,[27],33,2,221285,0
50,153.3,19.80859375,[29],33,2,223491,0
51,140.3,19.80859375,[30],33,2,225450,0
52,149.1,19.80859375,[30],33,2,227586,0
53,140.8,19.80859375,[30],33,2,229642,0
54,173.5,19.80859375,[31],33,2,232464,0
55,176.8,19.80859375,[8],33,2,235139,0
56,269.1,19.9453125,[9],33,2,236678,0
57,113.7,19.9453125,[10],33,2,238602,0
58,204.3,19.9453125,[11],33,2,241155,0
59,343.3,19.95703125,[13],33,2,242157,0
60,333.3,19.96875,[15],33,2,242974,0
61,396.8,19.96875,[15],33,2,243443,0
62,403.4,19.96875,[15],33,2,243969,0
63,383.0,19.96875,[15],33,2,244386,0
64,415.4,20.078125,[24],33,2,244853,0
65,394.3,20.125,[26],33,2,245455,0
66,422.1,20.96875,[27],33,2,245878,0
67,384.9,20.96875,[27],33,2,246540,0
68,134.3,20.96875,[27],33,2,255651,0
69,107.6,20.96875,[29],33,2,257238,0
70,140.3,20.96875,[29],33,2,269691,0
71,226.6,20.96875,[30],33,2,307430,0
72,182.8,20.96875,[30],33,2,329985,0
73,102.9,20.96875,[30],33,2,331533,0
74,109.8,20.96875,[30],33,2,333227,0
75,110.7,20.96875,[30],33,2,334931,0
76,112.7,20.96875,[30],33,2,336626,0
77,111.7,21.12109375,[30],33,2,338255,0
78,116.7,21.12109375,[30],33,2,341975,0
79,207.7,21.12109375,[30],33,2,391959,0
80,213.7,21.15625,[12],33,2,438660,0
81,198.9,21.15625,[12],33,2,486094,0
82,202.8,21.15625,[12],33,2,530927,0
83,210.7,21.265625,[12],33,2,574756,0
84,220.6,21.3359375,[12],33,2,614936,0
85,226.4,21.3359375,[12],33,2,639073,0
86,475.5,21.51953125,[12],33,2,639238,0
87,503.0,22.40625,[12],33,2,639294,0
88,491.3,25.1640625,[12],33,2,639360,0
89,361.4,25.1640625,[12],33,2,640332,0
90,211.5,25.1640625,[12],33,2,641724,0
91,209.6,25.1640625,[14],33,2,643023,0
92,228.6,25.1640625,[14],33,2,644608,0
93,246.9,25.80859375,[14],33,2,646187,0
94,214.6,25.80859375,[15],33,2,647730,0
95,173.8,25.80859375,[15],33,2,649089,0
96,170.6,25.80859375,[15],33,2,650594,0
97,228.5,25.80859375,[15],33,2,651515,0
98,502.0,27.52734375,[15],33,2,651639,0
99,484.6,27.796875,[15],33,2,651706,0
100,496.0,28.5703125,[15],33,2,651801,0
