Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,1.43359375
2,212.8,10.9140625
3,163.9,11.8984375
4,153.9,11.8984375
5,141.9,11.8984375
6,137.0,11.8984375
7,141.9,11.8984375
8,127.9,11.90625
9,125.9,11.90625
10,133.9,11.90625
11,163.9,11.9296875
12,166.9,12.9296875
13,122.9,12.9296875
14,116.9,12.9296875
15,321.8,16.04296875
16,230.9,16.1484375
17,231.9,16.1484375
18,339.8,16.55078125
19,361.8,16.55078125
20,341.8,16.76171875
21,373.8,16.984375
22,363.8,25.73828125
23,386.8,34.44921875
