Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.375,29,1,0,0
2,190.9,10.64453125,31,33,2,2073
3,177.8,12.203125,31,33,2,4819
4,161.8,12.23828125,9,33,2,7622
5,153.9,12.23828125,10,33,2,10217
6,136.9,12.2578125,10,33,2,12369
7,134.9,12.27734375,11,33,2,14471
8,132.9,12.27734375,11,33,2,16605
9,186.8,13.66796875,13,33,2,18267
10,130.9,13.91015625,13,33,2,20113
11,187.8,14.23828125,14,33,2,22105
12,147.8,14.23828125,15,33,2,24375
13,151.8,14.3828125,15,33,2,27301
14,153.9,14.484375,28,33,2,30057
15,148.9,14.484375,28,33,2,32879
