Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.11328125,[1],33,2,96,0
2,193.6,20.765625,[1],33,2,1848,0
3,114.5,22.50390625,[16],33,2,3497,0
4,127.3,23.9921875,[16],33,2,5144,0
5,117.5,23.99609375,[16],33,2,6980,0
6,110.5,26.6875,[16],33,2,8644,0
7,122.4,26.8125,[16],33,2,10358,0
8,112.5,26.8203125,[16],33,2,12050,0
9,120.4,26.98046875,[16],33,2,13785,0
10,127.4,32.38671875,[16],33,2,15660,0
11,139.1,32.33984375,[16],33,2,17550,0
12,180.6,24.28515625,[2],33,2,19266,0
13,115.5,26.34765625,[2],33,2,21168,0
14,184.8,29.94921875,[2],33,2,22851,0
15,129.3,31.81640625,[4],33,2,24717,0
16,124.4,34.19921875,[4],33,2,26662,0
17,125.4,34.33203125,[4],33,2,28732,0
18,136.2,39.28125,[4],33,2,30848,0
19,146.2,39.33984375,[4],33,2,32981,0
20,144.1,39.3671875,[4],33,2,35004,0
21,144.1,49.015625,[4],33,2,36885,0
22,139.2,49.2890625,[2],33,2,38826,0
23,139.2,49.31640625,[2],33,2,40831,0
24,174.7,59.65234375,[2],33,2,42670,0
25,187.5,60.37890625,[5],33,2,44676,0
26,166.8,61.5625,[2],33,2,47213,0
27,407.8,69.91015625,[2],33,2,48264,0
28,440.4,71.71484375,[2],33,2,49331,0
29,409.1,76.87109375,[2],33,2,50269,0
30,396.4,76.87109375,[2],33,1,51240,0
