Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,0.546875
2,210.9,10.87109375
3,165.9,11.91015625
4,164.9,11.91015625
5,155.9,11.921875
6,146.9,11.921875
7,138.9,11.921875
8,143.9,12.03515625
9,139.9,12.4453125
10,147.9,12.4453125
11,141.9,12.4453125
12,268.8,15.19140625
13,103.9,15.19140625
14,211.9,15.35546875
15,344.8,16.125
16,312.8,16.3125
17,237.9,16.3125
18,197.9,16.3125
19,306.9,16.328125
20,341.8,16.69921875
21,298.8,16.69921875
22,302.9,16.69921875
23,232.9,16.69921875
24,382.8,27.5
