Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.2734375,[3],33,2,54,0
2,203.4,24.64453125,[3],33,2,1497,0
3,185.6,28.90625,[13],33,2,2988,0
4,110.6,29.92578125,[14],33,2,4668,0
5,122.4,30.078125,[0],33,2,6225,0
6,128.3,31.34375,[0],33,2,7760,0
7,106.6,31.34765625,[0],33,2,9436,0
8,113.5,33.84765625,[0],33,2,11086,0
9,116.6,34.79296875,[8],33,2,12739,0
10,108.6,35.74609375,[8],33,2,14389,0
11,103.8,35.7890625,[8],33,2,16042,0
12,108.8,35.7890625,[13],33,2,17730,0
13,122.6,38.21484375,[13],33,2,19360,0
14,129.6,38.21484375,[8],33,2,20941,0
15,119.6,38.21484375,[8],33,2,22511,0
16,134.5,43.48046875,[13],33,2,24271,0
17,131.5,43.48046875,[13],33,2,26326,0
18,128.6,48.3828125,[13],33,2,28441,0
19,121.6,43.75,[15],33,2,30382,0
20,132.4,44.796875,[15],33,2,32321,0
