Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,0.5546875
2,246.9,15.48046875
3,180.9,16.203125
4,168.9,16.203125
5,154.9,16.203125
6,148.9,16.32421875
7,150.9,16.32421875
8,150.9,16.32421875
9,140.9,16.32421875
10,149.9,16.32421875
11,151.9,16.32421875
12,144.0,16.32421875
13,150.9,16.32421875
14,139.0,16.32421875
15,179.9,16.32421875
16,188.9,16.33203125
17,183.9,16.33203125
18,180.9,16.33203125
19,152.9,16.33203125
20,153.9,16.33203125
21,195.9,16.23828125
22,295.9,16.40234375
23,134.9,16.40234375
24,214.9,16.40234375
25,365.8,16.50390625
26,258.8,16.50390625
27,363.8,16.734375
