Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.28515625,[1],33,2,48,0
2,124.4,11.12890625,[22],33,2,2070,0
3,118.6,13.85546875,[22],33,2,4145,0
4,126.4,16.6953125,[22],33,2,6247,0
5,117.5,19.78125,[22],33,2,8301,0
6,113.5,19.89453125,[22],33,2,9957,0
7,118.5,20.390625,[19],33,2,11525,0
8,115.6,24.05859375,[19],33,2,13143,0
9,111.6,24.6953125,[19],33,2,14812,0
10,110.6,24.94140625,[19],33,2,16519,0
11,110.6,30.0234375,[19],33,2,18199,0
12,116.6,30.0234375,[1],33,2,19877,0
13,116.5,30.92578125,[2],33,2,21523,0
14,106.7,22.171875,[2],33,2,23119,0
15,106.7,24.734375,[2],33,2,24773,0
16,116.6,25.3515625,[2],33,2,26664,0
17,114.5,30.75390625,[2],33,2,28455,0
18,138.2,30.75390625,[2],33,2,30475,0
19,122.4,30.75390625,[2],33,2,32543,0
20,110.6,30.75390625,[2],33,2,34335,0
