Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.31640625,29,1,0,0
2,163.8,6.92578125,30,33,2,2340
3,146.9,9.16015625,8,33,2,4392
4,144.9,9.43359375,10,33,2,6814
5,151.9,9.63671875,10,33,2,8823
6,134.9,9.63671875,11,33,2,10891
7,149.9,11.09375,11,33,2,12904
8,143.9,11.9375,12,33,2,14990
9,146.9,11.9375,13,33,2,17211
10,148.9,11.9375,14,33,2,19202
11,149.8,11.9453125,9,33,2,21164
12,137.9,11.9453125,9,33,2,23172
13,132.9,11.99609375,10,33,2,25136
14,143.9,11.99609375,11,33,2,27169
15,133.8,11.99609375,11,33,2,29193
16,135.9,11.99609375,11,33,2,31397
17,126.9,11.99609375,12,33,2,33444
18,143.9,11.99609375,10,33,2,35826
19,153.9,12.00390625,10,33,2,38049
20,145.9,12.12109375,12,33,2,40215
21,117.9,12.12109375,13,33,2,42318
22,134.9,12.0703125,13,33,2,44506
23,119.9,12.0703125,14,33,2,46798
24,311.7,14.796875,14,33,2,47960
25,335.6,16.16015625,14,33,2,49053
26,354.6,16.8984375,14,33,2,50001
27,291.7,20.9140625,14,33,2,51142
28,316.7,22.01953125,14,33,2,52788
29,323.7,22.01953125,14,33,2,54444
