Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.421875,6,1,1,4
2,134.7,107.45703125,7,31,22,645
3,135.7,121.59765625,7,31,22,1345
4,140.7,124.2890625,16,31,22,2278
5,131.6,124.57421875,20,31,22,3036
6,105.7,124.57421875,20,31,22,3359
7,105.7,124.86328125,20,31,22,3663
8,107.8,126.12109375,21,31,22,3988
9,105.8,129.2421875,21,31,22,4327
10,102.8,129.2421875,21,31,22,4663
11,101.8,129.2421875,21,31,22,5058
12,101.8,129.2421875,21,31,22,5500
13,103.8,129.25390625,21,31,22,5837
14,106.8,129.30078125,21,31,22,6135
15,106.8,129.30078125,21,31,22,6461
16,105.8,129.30078125,21,31,22,6766
17,105.8,130.0,21,31,22,7139
18,104.8,130.0,21,31,22,7472
19,107.8,130.0,21,31,22,7760
20,105.8,130.0,21,31,22,8115
21,106.8,130.04296875,21,31,22,8809
22,121.7,130.07421875,21,32,23,9736
23,127.7,133.4765625,23,32,23,10398
24,118.8,133.48046875,23,32,23,11105
25,102.8,133.48046875,23,32,23,11403
26,102.8,133.48046875,23,32,23,11694
27,109.8,133.48046875,23,32,23,12111
28,121.8,133.48046875,23,32,23,12763
29,126.7,133.48046875,23,32,23,13428
30,105.8,133.48046875,23,32,23,13691
31,108.8,133.48046875,23,32,23,14000
32,107.8,133.48046875,23,32,23,14235
33,105.8,133.48046875,23,32,23,14558
34,104.7,133.48046875,20,32,23,14910
35,104.6,133.48046875,20,32,23,15318
36,105.7,133.48046875,20,32,23,15746
37,103.6,133.51953125,20,32,23,16184
38,105.7,133.51953125,20,32,23,16544
39,106.7,133.51953125,20,32,23,16935
40,106.7,133.51953125,20,32,23,17237
41,106.8,133.51953125,22,32,23,17577
42,104.8,133.51953125,22,32,23,17851
43,109.8,133.51953125,22,32,23,18150
44,103.8,133.51953125,22,32,23,18643
45,96.8,133.51953125,22,32,23,19741
46,105.8,133.51953125,22,32,23,20673
47,109.8,133.51953125,22,32,23,21346
48,133.7,133.51953125,22,32,23,22124
49,117.8,136.10546875,22,32,23,22476
50,128.7,136.10546875,22,32,23,23189
51,118.8,136.10546875,2,32,23,23667
52,107.8,136.10546875,2,32,23,23835
53,106.8,136.8671875,2,32,23,23988
54,108.8,140.21484375,2,32,23,24171
55,109.8,140.21484375,2,32,23,24447
56,129.7,140.27734375,2,32,23,25067
57,127.7,140.3125,2,32,23,25703
58,137.7,140.3125,2,32,23,26599
59,132.7,140.3125,3,32,23,27391
60,128.7,140.4140625,3,32,23,28072
61,119.7,140.4140625,3,32,23,28621
62,123.8,140.4140625,3,32,23,29250
63,131.8,140.4140625,3,32,23,30024
64,125.8,140.4140625,3,32,23,30618
65,127.7,140.4140625,3,32,23,31207
66,134.7,140.4140625,21,32,23,31985
67,133.7,140.4140625,21,32,23,32705
68,134.7,140.4140625,21,32,23,33544
69,130.7,140.4140625,23,32,23,34236
70,124.8,140.4140625,0,32,23,34876
71,123.8,140.4140625,0,32,23,35621
72,130.8,140.4140625,0,32,23,36578
73,127.8,140.4140625,2,32,23,37185
74,130.7,140.4140625,2,32,23,37867
75,118.7,145.07421875,2,32,23,38222
76,145.7,145.07421875,2,32,23,39182
77,129.7,145.07421875,2,32,23,39889
78,124.7,145.07421875,2,32,23,40458
79,138.7,145.07421875,4,32,23,41338
80,131.7,145.1640625,4,32,23,42016
81,132.8,145.1640625,4,32,23,42810
82,128.8,145.1640625,4,32,23,43601
83,138.7,145.1640625,4,32,23,44397
84,121.8,145.1640625,16,32,23,45008
85,132.7,145.1640625,16,32,23,45809
86,127.7,145.1640625,16,32,23,46355
87,133.7,145.1640625,16,32,23,47137
88,129.7,145.1640625,16,32,23,47794
89,131.8,145.1640625,22,32,23,48606
90,132.7,145.1640625,22,32,23,49346
91,123.7,145.1640625,22,32,23,49930
92,140.7,145.1640625,0,32,23,50917
93,125.7,145.1640625,3,32,23,51526
94,131.7,145.1640625,5,32,23,52289
95,126.7,145.1640625,5,32,23,53014
96,130.7,145.1640625,5,32,23,53758
97,126.8,145.1640625,6,32,23,54442
98,132.8,145.1640625,6,32,23,55303
99,134.7,145.1640625,6,32,23,56199
100,135.7,145.1640625,6,32,23,57085
101,130.7,145.1640625,6,32,23,57872
102,130.7,145.1640625,18,32,23,58692
103,131.7,145.1640625,0,32,23,59429
104,132.7,145.1640625,6,32,23,60212
105,130.7,145.1640625,6,32,23,61073
106,140.7,145.1640625,6,32,23,62247
107,129.7,145.1640625,6,32,23,63049
108,125.8,145.203125,18,32,23,63991
109,124.8,145.203125,18,32,23,65094
110,127.7,145.203125,18,32,23,66192
111,134.7,145.203125,19,32,23,67697
112,130.8,145.203125,19,32,23,69000
113,139.7,145.203125,19,32,23,70689
114,132.7,145.203125,19,32,23,72061
115,130.7,145.203125,19,32,23,73334
116,142.7,145.203125,19,32,23,75187
117,130.7,145.203125,3,32,23,76357
118,129.8,145.203125,3,32,23,77624
119,143.7,145.203125,17,32,23,79576
120,139.7,145.203125,17,32,23,81280
121,140.7,145.203125,17,32,23,83002
122,137.7,145.203125,17,32,23,84208
123,133.7,145.203125,18,32,23,85015
124,143.7,145.203125,18,32,23,86041
125,139.7,145.203125,18,32,23,86934
126,142.7,145.203125,1,32,23,87873
127,139.7,145.203125,3,32,23,88816
128,139.7,145.203125,3,32,23,89623
129,135.7,145.203125,3,32,23,90435
130,138.7,145.203125,18,32,23,91305
131,134.7,145.203125,18,32,23,92037
132,134.7,145.203125,18,32,23,92749
133,126.7,145.203125,18,32,23,93252
134,135.7,145.203125,18,32,23,94065
135,135.7,145.203125,21,32,23,94789
136,123.7,145.20703125,21,32,23,95242
137,123.8,145.20703125,21,32,23,95659
138,128.7,145.20703125,21,32,23,96212
139,130.7,145.20703125,23,32,23,96793
140,131.7,145.20703125,23,32,23,97574
141,142.7,145.20703125,23,32,23,98493
142,128.7,145.20703125,23,32,23,99076
143,137.7,145.20703125,23,32,23,99950
144,138.6,145.20703125,0,32,23,100774
145,127.6,145.20703125,0,32,23,101441
146,139.5,145.20703125,0,32,23,102244
147,136.6,145.20703125,0,32,23,103060
148,133.6,145.20703125,0,32,23,103697
149,135.6,145.20703125,0,32,23,104359
150,139.6,145.20703125,0,32,23,105133
151,134.6,145.20703125,0,32,23,105787
152,144.6,145.20703125,0,32,23,106623
153,137.6,145.20703125,0,32,23,107374
154,147.5,145.20703125,0,32,23,108356
155,128.7,145.20703125,2,32,23,108988
156,137.7,145.20703125,2,32,23,109745
157,135.7,145.20703125,2,32,23,110509
158,135.7,145.20703125,2,32,23,111972
159,126.7,145.20703125,2,32,23,112953
160,133.7,145.20703125,3,32,23,114063
161,128.7,145.20703125,3,32,23,115031
162,131.7,145.20703125,3,32,23,116230
163,127.7,145.20703125,3,32,23,117242
164,132.8,145.20703125,19,32,23,118296
165,137.7,145.20703125,19,32,23,119639
166,133.7,145.20703125,19,32,23,120758
167,130.7,145.20703125,19,32,23,121817
168,140.7,145.2265625,19,33,24,123070
169,147.7,145.2265625,19,33,24,124643
170,129.7,145.2265625,19,33,24,125548
171,139.7,145.2265625,19,33,24,126821
172,132.7,145.2265625,19,33,24,127782
173,134.7,145.2265625,19,33,24,128866
174,121.8,145.2265625,19,33,24,129531
175,143.7,145.2265625,19,33,24,130978
176,133.7,145.2265625,19,33,24,131950
177,140.7,145.2265625,19,33,24,133351
178,127.8,145.2265625,20,33,24,134101
179,137.7,145.2265625,20,33,24,135314
180,141.7,145.2265625,20,33,24,136626
181,137.7,145.2265625,20,33,24,137895
182,122.7,145.2265625,20,33,24,138596
183,126.7,145.2265625,20,33,24,139458
184,137.7,145.25,20,33,24,140346
185,135.7,145.25,20,33,24,141155
186,129.8,145.25,21,33,24,141817
187,122.7,145.25,21,33,24,142450
188,125.8,145.25,21,33,24,143288
189,126.8,145.25,21,33,24,144143
190,120.8,145.25,21,33,24,144783
191,130.7,145.25,21,33,24,145833
192,124.8,145.25,21,33,24,146677
193,141.7,145.25,21,33,24,148108
194,136.7,145.25,21,33,24,148834
195,137.7,145.25,21,33,24,149470
196,143.7,145.25,22,33,24,150244
197,129.7,145.25,22,33,24,150960
198,119.8,145.25,22,33,24,151424
199,127.7,145.25,22,33,24,152011
200,126.7,145.25,0,33,24,152560
201,133.7,145.25,3,33,24,153244
202,125.7,145.25,3,33,24,153769
203,124.7,145.25,3,33,24,154401
204,117.8,145.25,3,33,24,154809
205,110.8,145.25,3,33,24,155157
206,107.8,145.25,3,33,24,155462
207,107.8,153.20703125,3,33,24,155647
208,107.8,153.46484375,3,33,24,156016
209,104.7,153.46484375,3,33,24,156413
210,105.8,153.46484375,3,33,24,156776
211,103.8,153.46484375,3,33,24,157188
212,106.8,153.46484375,3,33,24,157508
213,101.8,153.46484375,19,33,24,157827
214,101.8,153.46484375,20,33,24,158157
215,100.8,153.46484375,20,33,24,158479
216,101.8,153.46484375,20,33,24,158802
217,100.8,153.46484375,20,33,24,159161
218,100.8,153.46484375,20,33,24,159503
219,102.8,153.46484375,20,33,24,159831
220,104.8,153.46484375,20,33,24,160077
221,105.8,153.46484375,20,33,24,160372
222,102.8,153.46484375,20,33,24,160728
223,101.8,153.46484375,20,33,24,161068
224,102.8,153.46484375,20,33,24,161352
225,101.8,153.46484375,8,33,24,161626
226,101.8,153.46484375,8,33,24,161893
227,91.9,153.46484375,9,33,24,162641
228,94.8,153.46484375,6,33,24,163323
229,101.8,153.46484375,8,33,24,163950
230,101.8,153.46484375,8,33,24,164377
231,104.8,153.46484375,16,33,24,164745
232,108.8,153.46484375,16,33,24,165143
233,107.8,153.46484375,16,33,24,165470
234,110.8,153.46484375,16,33,24,165859
235,104.8,153.46484375,16,33,24,166258
236,108.7,153.46484375,16,33,24,166709
237,105.8,153.46484375,16,33,24,167016
238,102.8,153.46484375,16,33,24,167268
239,99.8,153.46484375,16,33,24,167575
240,101.8,153.46484375,16,33,24,167896
241,106.8,153.46484375,16,33,24,168257
242,105.8,153.46484375,16,33,24,168584
243,111.8,153.46484375,16,33,24,168909
244,108.8,153.46484375,16,33,24,169272
245,108.8,153.46484375,16,33,24,169643
246,108.8,153.46484375,16,33,24,170023
247,121.8,153.46484375,16,33,24,170570
248,128.7,153.46484375,16,33,24,171253
249,135.7,153.46484375,16,33,24,172123
250,122.7,153.51171875,18,33,24,172703
251,128.7,153.51171875,18,33,24,173273
252,133.7,153.51171875,18,33,24,174088
253,126.7,153.51171875,0,33,24,174674
254,123.7,153.51171875,0,33,24,175360
255,99.8,153.51171875,0,33,24,175684
256,98.8,153.51171875,0,33,24,176084
257,102.8,153.51171875,0,33,24,176317
258,103.8,153.51171875,0,33,24,176707
259,126.7,153.51171875,0,33,24,177345
260,128.7,153.51171875,0,33,24,178051
261,126.7,153.51171875,0,33,24,178731
262,122.7,153.51171875,0,33,24,179274
263,133.7,153.51171875,0,33,24,180099
264,132.7,153.51171875,0,33,24,180902
265,128.7,153.51171875,0,33,24,181617
266,131.7,153.51171875,0,33,24,182405
267,125.8,153.51171875,3,33,24,183026
268,136.7,153.51171875,3,33,24,183970
269,127.8,153.51171875,3,33,24,184691
270,139.7,153.51171875,3,33,24,185682
271,136.7,153.51171875,3,33,24,186444
272,139.7,153.51171875,3,33,24,187250
273,136.7,153.51171875,3,33,24,188009
274,127.7,153.51171875,3,33,24,188739
275,132.7,153.51171875,5,33,24,189498
276,141.7,153.51171875,5,33,24,190427
277,141.7,153.51171875,6,33,24,191408
278,126.7,153.51171875,6,33,24,192056
279,139.7,153.51171875,6,33,24,192883
280,128.7,153.51171875,18,33,24,193607
281,128.7,153.51171875,18,33,24,194293
282,138.7,153.51171875,19,33,24,195140
283,125.7,153.51171875,19,33,24,195908
284,130.8,153.51171875,1,33,24,196513
285,129.7,153.51171875,1,33,24,197203
286,126.7,153.51171875,1,33,24,197875
287,141.7,153.51171875,1,33,24,198903
288,140.7,153.51171875,1,33,24,199821
289,139.7,153.51171875,2,33,24,200672
290,145.7,153.51171875,2,33,24,201598
291,140.7,153.51171875,2,33,24,202420
292,125.8,153.51171875,2,33,24,203068
293,134.7,153.51171875,4,33,24,203864
294,138.7,153.51171875,4,33,24,204685
295,141.7,153.51171875,4,33,24,205546
296,139.7,153.51171875,4,33,24,206396
297,133.7,153.51171875,4,33,24,207170
298,137.7,153.51171875,4,33,24,207970
299,135.7,153.51171875,4,33,24,209138
300,137.7,153.51171875,4,33,24,210336
301,146.7,153.51171875,4,33,24,211733
302,164.7,153.51171875,4,33,24,213673
303,143.7,153.51171875,4,33,24,214865
304,141.7,153.51171875,4,33,24,216069
305,151.6,153.51171875,4,33,24,217809
306,142.7,153.51171875,4,33,24,219177
307,131.7,153.51171875,4,33,24,220142
308,136.7,153.51171875,4,33,24,221446
309,141.7,153.51171875,4,33,24,222824
310,140.7,153.51171875,4,33,24,224032
311,138.7,153.51171875,4,33,24,225332
312,140.7,153.51171875,4,33,24,226707
313,136.7,153.51171875,4,33,24,227935
314,140.7,153.51171875,4,33,24,229303
315,126.8,153.51171875,3,33,24,230288
316,127.7,153.51171875,4,33,24,231003
317,132.7,153.51171875,5,33,24,231853
318,138.7,153.51171875,5,33,24,232876
319,124.7,153.51171875,5,33,24,233756
320,138.7,153.51171875,5,33,24,234659
321,137.7,153.51171875,5,33,24,235622
322,138.7,153.51171875,6,33,24,236616
323,129.8,153.51171875,16,33,24,237366
324,124.7,153.51171875,16,33,24,238000
325,122.8,153.51171875,16,33,24,238614
326,133.7,153.5625,17,33,24,239554
327,125.7,153.5625,17,33,24,240182
328,130.7,153.5625,17,33,24,241130
329,124.8,153.5625,17,33,24,241741
330,133.7,153.578125,17,33,24,242690
331,128.7,153.578125,17,33,24,243486
332,129.7,153.578125,17,33,24,244173
333,138.7,153.578125,17,33,24,245207
334,128.7,153.578125,17,33,24,245885
335,137.7,153.578125,17,33,24,246924
336,133.7,153.578125,17,33,24,247889
337,134.7,153.578125,18,33,24,248769
338,130.7,153.58203125,18,33,24,249631
339,133.7,153.58203125,22,33,24,250577
340,137.7,153.58203125,22,33,24,251536
341,131.7,153.58203125,22,33,24,252386
342,136.7,153.58203125,22,33,24,253297
343,134.7,153.58203125,0,33,24,254078
344,140.7,153.58203125,6,33,24,255079
345,130.7,153.58203125,6,33,24,255874
346,128.8,153.58203125,6,33,24,256570
347,117.8,153.58203125,7,33,24,257040
348,130.7,153.58203125,7,33,24,257788
349,134.7,153.58203125,18,33,24,258586
350,138.7,153.58203125,18,33,24,259522
351,134.7,153.58203125,18,33,24,260226
352,140.7,153.58203125,18,33,24,260970
353,143.7,153.58203125,23,33,24,261829
354,144.7,153.58203125,23,33,24,262686
355,132.7,153.58203125,23,33,24,263404
356,141.7,153.58203125,23,33,24,264207
357,143.7,153.58203125,23,33,24,265079
358,140.7,153.58203125,23,33,24,265900
359,141.7,153.58203125,1,33,24,266734
360,132.7,153.58203125,1,33,24,267454
361,126.7,153.58203125,1,33,24,268026
362,123.7,153.58203125,2,33,24,268472
363,122.8,153.58203125,2,33,24,269008
