Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.11328125,7,1,0,0
2,118.8,111.41015625,7,31,22,580
3,128.7,125.28125,19,31,22,1315
4,115.7,125.30078125,20,32,23,1780
5,122.8,126.9453125,21,32,23,2326
6,123.7,127.1328125,22,32,23,3045
7,123.7,127.1328125,22,32,23,3595
8,106.8,127.13671875,22,32,23,4212
9,104.8,127.18359375,22,32,23,4539
10,105.8,128.1328125,22,32,23,4933
11,103.8,128.1328125,22,32,23,5425
12,104.8,128.1328125,0,32,23,5878
13,104.8,128.1328125,0,32,23,6430
14,100.8,128.1328125,0,32,23,7199
15,104.8,128.14453125,0,32,23,7682
16,105.8,128.14453125,0,32,23,8057
17,105.8,128.14453125,16,32,23,8433
18,104.8,128.14453125,17,32,23,8884
