Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.10546875,19,1,0,0
2,127.7,108.90625,19,31,22,538
3,131.7,122.32421875,5,31,22,1216
4,132.7,125.73046875,5,31,22,1921
5,130.7,126.05078125,5,31,22,2751
6,103.8,126.05078125,5,31,22,3056
7,105.8,126.05078125,5,31,22,3375
8,105.8,126.34375,5,31,22,3625
9,108.8,130.72265625,5,31,22,3952
10,103.8,130.7265625,5,31,22,4262
11,102.8,131.56640625,5,31,22,4617
12,102.8,131.5859375,5,31,22,4993
13,101.8,131.5859375,5,31,22,5367
14,104.8,131.5859375,5,31,22,5693
15,104.8,131.625,5,31,22,5972
16,106.8,131.6640625,5,31,22,6276
17,103.8,131.6640625,5,31,22,6590
18,103.8,131.6640625,5,31,22,6941
19,103.8,131.66796875,5,31,22,7242
20,105.8,131.66796875,5,31,22,7547
21,101.8,131.66796875,5,31,22,7905
22,96.9,127.50390625,5,1,0,8536
