Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.06640625,22,1,0,0
2,116.8,111.1171875,4,31,22,443
3,128.6,114.67578125,5,32,23,1259
4,128.6,129.92578125,5,32,23,1887
5,110.6,129.94921875,5,32,23,2256
6,105.6,129.94921875,5,32,23,2544
7,104.7,129.94921875,5,32,23,2847
8,104.6,129.94921875,5,32,23,3183
9,104.6,129.9765625,5,32,23,3503
10,106.6,129.98828125,5,32,23,3836
11,104.6,129.98828125,5,32,23,4214
12,103.6,129.98828125,5,32,23,4610
13,102.7,129.98828125,5,32,23,5013
14,103.6,129.98828125,5,32,23,5383
15,106.6,129.98828125,5,32,23,5718
16,105.6,130.015625,5,32,23,5984
17,104.6,130.015625,5,32,23,6353
18,103.6,130.72265625,5,32,23,6762
19,105.6,130.66015625,5,32,23,7118
20,104.6,130.66015625,5,32,23,7505
