Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.07421875,0,1,0,0
2,120.9,110.98046875,0,29,20,493
3,125.7,125.31640625,16,31,22,996
4,136.7,127.0859375,16,31,22,1891
5,122.7,127.0859375,16,31,22,2584
6,113.8,127.08984375,17,31,22,3071
7,123.6,129.9921875,17,32,23,3630
8,116.7,131.96875,8,32,23,4296
9,120.8,132.0,8,32,23,5474
10,117.8,132.7734375,8,32,23,6009
11,109.8,132.7734375,8,32,23,6858
12,115.8,134.65234375,23,32,23,7367
13,106.8,135.1171875,23,32,23,7743
14,105.8,135.625,23,32,23,8095
15,105.8,140.1953125,23,32,23,8311
16,107.8,145.0625,23,32,23,8530
