Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.12109375,16,1,0,0
2,121.9,111.42578125,16,29,20,473
3,123.7,125.13671875,16,31,22,988
4,137.7,127.29296875,16,31,22,1816
5,123.8,127.31640625,16,31,22,2550
6,112.8,127.31640625,16,31,22,3061
7,123.7,130.21484375,16,32,23,3583
8,122.7,132.16796875,16,32,23,4118
9,129.7,132.5078125,16,32,23,4851
10,121.8,133.1875,16,32,23,5279
11,113.8,133.203125,18,32,23,5808
12,122.7,135.02734375,18,32,23,6355
