Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.11328125,19,1,0,0
2,118.7,110.2578125,19,30,21,618
3,102.8,110.5625,19,30,21,929
4,105.8,110.73046875,19,31,22,1254
5,102.8,110.828125,19,31,22,1584
6,103.8,111.8203125,19,31,22,1919
7,105.8,119.4453125,19,31,22,2196
8,104.8,119.4453125,19,31,22,2529
9,103.8,119.4609375,19,31,22,2923
10,102.8,119.4609375,19,31,22,3332
11,106.8,119.4609375,19,31,22,3700
12,100.8,119.48046875,19,31,22,4183
13,104.8,119.48046875,19,31,22,4609
14,103.8,120.55078125,19,31,22,4927
15,105.8,131.8828125,19,31,22,5130
16,103.8,132.05078125,19,31,22,5493
17,102.8,132.05078125,19,31,22,5903
18,105.8,132.05078125,19,31,22,6308
19,103.8,132.05078125,19,31,22,6771
20,105.8,132.05078125,19,31,22,7152
21,104.8,132.05078125,19,31,22,7575
22,103.8,132.05078125,19,31,22,7836
23,104.8,132.05078125,19,31,22,8148
24,104.8,132.05078125,19,31,22,8463
25,102.8,132.07421875,19,31,22,8890
26,103.8,132.07421875,3,31,22,9351
27,104.8,132.09375,3,32,23,9762
28,104.8,132.09375,3,32,23,10165
29,102.8,132.09375,3,32,23,10587
30,103.8,132.09375,3,32,23,10946
31,104.8,132.09375,3,32,23,11243
32,104.8,132.09375,3,32,23,11628
33,104.8,132.09375,3,32,23,12060
34,102.8,132.09375,3,32,23,12504
35,101.8,132.09375,3,32,23,12983
36,101.8,132.09375,3,32,23,13481
37,98.8,132.09375,3,32,23,14137
38,75.8,132.09375,3,32,23,15691
39,105.8,132.09375,3,32,23,16052
40,106.8,132.09375,3,32,23,16308
41,104.8,132.09375,3,32,23,16720
42,102.8,132.09375,3,32,23,17222
43,111.8,132.09375,3,32,23,17782
44,111.8,132.09375,3,32,23,18412
45,98.8,132.09375,3,32,23,18916
46,105.8,132.09375,3,32,23,19365
47,128.7,132.09375,3,32,23,19967
48,98.8,132.09375,3,32,23,20438
49,101.8,132.09375,3,32,23,20771
50,99.8,132.8515625,3,32,23,21274
51,109.8,132.86328125,3,32,23,21818
52,125.7,132.86328125,6,32,23,22511
53,135.7,132.86328125,16,32,23,23362
54,117.8,132.86328125,17,32,23,23787
55,141.7,132.86328125,18,32,23,24836
56,120.6,132.86328125,21,32,23,25374
57,126.7,133.3515625,2,32,23,26019
58,133.7,134.0625,4,32,23,26875
59,129.7,134.0625,6,32,23,27534
60,127.7,134.0625,6,33,24,28182
61,126.7,134.0625,6,33,24,28861
62,128.7,134.0625,6,33,24,29688
63,123.7,137.4140625,6,33,24,30311
64,127.7,137.60546875,6,33,24,31001
65,131.7,137.60546875,6,33,24,31845
66,121.7,142.1640625,6,33,24,32383
67,125.7,142.1640625,6,33,24,33085
68,128.7,142.1640625,6,33,24,33844
69,123.7,142.96484375,6,33,24,34433
70,129.7,142.96484375,6,33,24,35151
71,123.8,143.1796875,6,33,24,35765
72,115.8,146.43359375,6,33,24,36100
73,123.7,146.43359375,6,33,24,36741
74,130.7,146.43359375,6,33,24,37496
75,129.7,146.43359375,6,33,24,38273
76,132.7,146.44921875,6,33,24,38998
77,123.8,146.625,7,33,24,39612
78,132.7,146.625,7,33,24,40423
79,130.7,146.625,7,33,24,41355
80,126.7,146.625,7,33,24,42274
81,128.7,146.625,7,33,24,43288
82,124.7,146.6953125,7,33,24,44110
83,134.7,146.6953125,7,33,24,45300
84,117.7,148.125,7,34,25,45884
85,108.8,168.484375,7,34,25,45995
86,108.8,172.88671875,7,34,25,46115
87,105.8,182.42578125,7,34,25,46175
88,106.8,182.42578125,7,34,25,46281
89,107.8,184.23046875,7,34,25,46373
90,108.7,190.16015625,7,34,25,46454
91,109.8,194.54296875,7,34,25,46546
92,110.8,194.80078125,7,34,25,46655
93,104.8,197.63671875,7,34,25,46719
94,110.8,197.63671875,7,34,25,46831
95,108.8,204.59765625,7,34,25,46946
96,109.8,204.59765625,7,34,25,47029
97,104.8,204.59765625,7,34,25,47112
98,109.8,204.59765625,7,34,25,47237
99,110.8,205.11328125,7,34,25,47366
100,107.8,205.37109375,7,34,25,47430
101,107.8,205.37109375,7,34,25,47530
102,108.8,205.37109375,7,34,25,47649
103,109.8,205.37109375,7,34,25,47786
104,108.8,205.37109375,7,34,25,47871
105,104.8,205.37109375,7,34,25,47957
106,116.8,205.45703125,7,34,25,48075
107,108.8,205.45703125,7,34,25,48168
108,110.8,205.45703125,7,34,25,48250
109,104.8,205.45703125,7,34,25,48295
110,107.8,205.45703125,7,34,25,48376
111,109.8,205.45703125,7,34,25,48434
112,108.8,205.7109375,7,34,25,48507
113,111.8,205.7109375,7,34,25,48572
114,103.8,205.7109375,7,34,25,48612
115,112.8,205.91015625,7,34,25,48764
116,106.8,205.91015625,7,34,25,48824
117,108.8,206.0625,7,34,25,48930
118,110.8,206.0625,7,34,25,49034
119,111.8,206.08984375,7,34,25,49143
120,106.8,206.08984375,7,34,25,49200
121,110.8,206.08984375,7,34,25,49273
122,110.8,206.08984375,7,34,25,49363
123,116.8,206.08984375,7,34,24,49477
