Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.48046875,[2],1,0,3,0
2,0.0,13.4609375,"[2, 2]",2,0,2755,1
3,8.9,13.4609375,"[2, 18]",2,0,5761,1
4,8.9,13.4609375,"[2, 18]",2,0,8877,1
5,8.9,13.4609375,"[2, 18]",2,0,11717,1
6,8.9,13.4609375,"[2, 18]",2,0,14549,1
7,8.9,13.4609375,"[2, 18]",2,0,17386,1
8,8.9,13.4609375,"[2, 18]",2,0,20209,1
9,8.9,13.4609375,"[2, 18]",2,0,23047,1
10,8.9,13.4609375,"[2, 18]",2,0,25884,1
11,8.9,13.4609375,"[2, 18]",2,0,28716,1
12,9.9,13.4609375,"[2, 18]",2,0,31534,1
13,8.9,13.4609375,"[2, 19]",2,0,34388,1
14,7.9,13.4609375,"[2, 19]",2,0,37219,1
15,8.9,13.4609375,"[2, 19]",2,0,40048,1
16,8.9,13.4609375,"[2, 19]",2,0,42881,1
17,9.9,13.4609375,"[2, 19]",2,0,45723,1
18,7.9,13.4609375,"[2, 19]",2,0,48545,1
19,9.9,13.4609375,"[2, 19]",2,0,51378,1
20,8.9,13.4609375,"[2, 19]",2,0,54207,1
21,8.9,13.4609375,"[2, 19]",2,0,57047,1
22,8.9,13.4609375,"[2, 19]",2,0,59875,1
23,8.9,13.4609375,"[2, 19]",2,0,62708,1
24,8.9,13.4609375,"[2, 19]",2,0,65545,1
25,8.9,13.78125,"[2, 19]",2,0,68371,1
26,8.9,13.78125,"[2, 19]",2,0,71204,1
27,8.9,13.78125,"[2, 19]",2,0,74042,1
28,8.9,13.78125,"[2, 19]",2,0,76870,1
29,8.9,13.78125,"[2, 19]",2,0,79686,1
30,8.9,13.78125,"[2, 19]",2,0,82512,1
31,8.9,13.78125,"[2, 19]",2,0,85350,1
32,8.9,13.78125,"[2, 19]",2,0,88180,1
33,8.9,13.78125,"[2, 19]",2,0,91006,1
34,8.9,13.78125,"[2, 19]",2,0,93822,1
35,9.9,13.78125,"[2, 19]",2,0,96652,1
36,7.9,13.78125,"[2, 19]",2,0,99470,1
37,8.9,13.78125,"[2, 19]",2,0,102301,1
38,9.9,13.78125,"[2, 19]",2,0,105123,1
39,7.9,13.78125,"[2, 19]",2,0,107960,1
40,8.9,13.78125,"[2, 19]",2,0,110774,1
41,8.9,13.78125,"[2, 19]",2,0,113594,1
42,8.9,13.78125,"[2, 19]",2,0,116420,1
43,8.9,13.78125,"[2, 19]",2,0,119250,1
44,8.9,13.78125,"[2, 19]",2,0,122067,1
45,9.9,13.78125,"[2, 19]",2,0,124901,1
46,7.9,13.78125,"[2, 19]",2,0,127736,1
47,8.9,13.78125,"[2, 19]",2,0,130567,1
48,8.9,13.78125,"[2, 19]",2,0,133390,1
49,8.9,13.78125,"[2, 19]",2,0,136210,1
50,8.9,13.78125,"[2, 19]",2,0,139018,1
51,9.9,13.78125,"[2, 19]",2,0,141818,1
52,7.9,13.78125,"[2, 19]",2,0,144597,1
53,9.9,13.78125,"[2, 19]",2,0,147473,1
54,7.9,13.78125,"[2, 19]",2,0,150364,1
55,8.9,13.78125,"[2, 19]",2,0,153166,1
56,9.9,13.78125,"[2, 19]",2,0,155961,1
57,7.9,13.78125,"[2, 19]",2,0,158751,1
58,8.9,13.78125,"[2, 19]",2,0,161543,1
59,8.9,13.78125,"[2, 19]",2,0,164340,1
60,8.9,13.78125,"[2, 19]",2,0,167144,1
61,8.9,13.78125,"[2, 19]",2,0,169950,1
62,9.9,13.78125,"[2, 19]",2,0,172749,1
63,7.9,13.78125,"[2, 19]",2,0,175541,1
64,8.9,13.78125,"[2, 19]",2,0,178369,1
65,8.9,13.78125,"[2, 19]",2,0,181188,1
66,9.9,13.78125,"[2, 19]",2,0,183997,1
67,7.9,13.78125,"[2, 19]",2,0,186809,1
68,8.9,13.78125,"[2, 19]",2,0,189617,1
69,8.9,13.78125,"[2, 19]",2,0,192421,1
70,8.9,13.78125,"[2, 19]",2,0,195230,1
71,8.9,13.78125,"[2, 19]",2,0,198026,1
72,8.9,13.78125,"[2, 19]",2,0,200839,1
73,8.9,13.78125,"[2, 19]",2,0,203654,1
74,8.9,13.78125,"[2, 19]",2,0,206465,1
75,9.9,13.78125,"[2, 19]",2,0,209273,1
76,7.9,13.78125,"[2, 19]",2,0,212068,1
77,8.9,13.78125,"[2, 19]",2,0,214891,1
78,8.9,13.78125,"[2, 19]",2,0,217700,1
79,8.9,13.78125,"[2, 19]",2,0,220513,1
80,8.9,13.78125,"[2, 19]",2,0,223320,1
81,8.9,13.78125,"[2, 19]",2,0,226115,1
82,8.9,13.78125,"[2, 19]",2,0,228920,1
83,8.9,13.78125,"[2, 19]",2,0,231728,1
84,8.9,13.78125,"[2, 19]",2,0,234531,1
85,8.9,13.78125,"[2, 19]",2,0,237339,1
86,8.9,13.78125,"[2, 19]",2,0,240157,1
87,8.9,13.78125,"[2, 19]",2,0,242988,1
88,8.9,13.78125,"[2, 19]",2,0,245797,1
89,8.9,13.78125,"[2, 19]",2,0,248600,1
90,7.9,13.78125,"[2, 19]",2,0,251411,1
91,8.9,13.78125,"[2, 19]",2,0,254220,1
92,9.9,13.78125,"[2, 19]",2,0,257038,1
93,8.9,13.78125,"[2, 19]",2,0,259851,1
94,8.9,13.78125,"[2, 19]",2,0,262816,1
95,8.9,13.78125,"[2, 19]",2,0,265619,1
96,8.9,13.78125,"[2, 19]",2,0,268435,1
97,8.9,13.78125,"[2, 19]",2,0,271236,1
98,8.9,13.78125,"[2, 19]",2,0,274029,1
99,8.9,13.78125,"[2, 19]",2,0,276838,1
100,8.9,13.78125,"[2, 19]",2,0,279634,1
101,8.9,13.78125,"[2, 19]",2,0,282530,1
102,8.9,13.78125,"[2, 19]",2,0,285360,1
103,8.9,13.78125,"[2, 19]",2,0,288192,1
104,8.9,13.78125,"[2, 19]",2,0,291026,1
105,8.9,13.78125,"[2, 19]",2,0,293865,1
106,8.9,13.78125,"[2, 19]",2,0,296702,1
107,8.9,13.78125,"[2, 19]",2,0,299543,1
108,8.9,13.78125,"[2, 19]",2,0,302383,1
109,9.9,13.78125,"[2, 19]",2,0,305220,1
110,8.9,13.78125,"[2, 19]",2,0,308060,1
111,8.9,13.78125,"[2, 19]",2,0,310893,1
112,8.9,13.78125,"[2, 19]",2,0,313738,1
113,8.9,13.78125,"[2, 19]",2,0,316572,1
114,8.9,13.78125,"[2, 19]",2,0,319420,1
115,8.9,13.78125,"[2, 19]",2,0,322261,1
116,9.9,13.78125,"[2, 19]",2,0,325092,1
117,7.9,13.78125,"[2, 19]",2,0,327928,1
118,9.9,13.78125,"[2, 19]",2,0,330762,1
119,7.9,13.78125,"[2, 19]",2,0,333594,1
120,8.9,13.78125,"[2, 19]",2,0,336506,1
121,9.9,13.78125,"[2, 19]",2,0,339406,1
122,7.9,13.78125,"[2, 19]",2,0,342318,1
123,9.9,13.78125,"[2, 19]",2,0,345231,1
124,8.9,13.78125,"[2, 19]",2,0,348133,1
125,8.9,13.78125,"[2, 19]",2,0,351034,1
126,8.9,13.78125,"[2, 19]",2,0,353956,1
127,8.9,13.78125,"[2, 19]",2,0,356869,1
128,9.9,13.78125,"[2, 19]",2,0,359733,1
129,7.9,13.78125,"[2, 19]",2,0,362566,1
130,8.9,13.78125,"[2, 19]",2,0,365398,1
131,9.9,13.78125,"[2, 19]",2,0,368235,1
132,8.9,13.78125,"[2, 19]",2,0,371074,1
133,8.9,13.78125,"[2, 19]",2,0,373923,1
134,8.9,13.78125,"[2, 19]",2,0,376761,1
135,8.9,13.78125,"[2, 19]",2,0,379602,1
136,9.9,13.78125,"[2, 19]",2,0,382444,1
137,7.9,13.78125,"[2, 19]",2,0,385277,1
138,9.9,13.78125,"[2, 19]",2,0,388112,1
