Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.35546875,[19],1,0,4,0
2,0.0,13.26171875,"[19, 19]",2,0,520,1
3,2.0,13.26171875,"[19, 19]",2,0,1056,1
4,2.0,13.26171875,"[19, 19]",2,0,1591,1
5,2.0,13.26171875,"[19, 19]",2,0,2127,1
6,2.0,13.26171875,"[19, 19]",2,0,2662,1
7,1.0,13.26171875,"[19, 19]",2,0,3198,1
8,2.0,13.26171875,"[19, 19]",2,0,3733,1
9,2.0,13.26171875,"[19, 19]",2,0,4268,1
10,2.0,13.26171875,"[19, 19]",2,0,4804,1
11,2.0,13.26171875,"[19, 21]",2,0,5339,1
12,2.0,13.26171875,"[19, 21]",2,0,5874,1
13,2.0,13.26171875,"[19, 21]",2,0,6410,1
14,2.0,13.26171875,"[19, 21]",2,0,6946,1
15,2.0,13.26171875,"[19, 21]",2,0,7481,1
16,2.0,13.26171875,"[19, 21]",2,0,8016,1
17,1.0,13.26171875,"[19, 21]",2,0,8552,1
18,2.0,13.26171875,"[19, 21]",2,0,9087,1
19,2.0,13.26171875,"[19, 21]",2,0,9622,1
20,2.0,13.26171875,"[19, 21]",2,0,10158,1
21,2.0,13.26171875,"[19, 21]",2,0,10694,1
22,2.0,13.26171875,"[19, 21]",2,0,11229,1
23,2.0,13.26171875,"[19, 21]",2,0,11764,1
24,2.0,13.26171875,"[19, 21]",2,0,12300,1
25,2.0,13.26171875,"[19, 21]",2,0,12835,1
26,2.0,13.26171875,"[19, 21]",2,0,13370,1
27,2.0,13.26171875,"[19, 21]",2,0,13906,1
28,2.0,13.26171875,"[19, 21]",2,0,14442,1
29,2.0,13.26171875,"[19, 21]",2,0,14977,1
30,2.0,13.26171875,"[19, 21]",2,0,15513,1
31,2.0,13.26171875,"[19, 21]",2,0,16048,1
32,1.0,13.26171875,"[19, 21]",2,0,16583,1
33,2.0,13.26171875,"[19, 21]",2,0,17119,1
34,2.0,13.26171875,"[19, 21]",2,0,17654,1
35,2.0,13.26171875,"[19, 21]",2,0,18190,1
36,2.0,13.26171875,"[19, 21]",2,0,18725,1
37,2.0,13.26171875,"[19, 21]",2,0,19261,1
38,2.0,13.26171875,"[19, 21]",2,0,19796,1
39,2.0,13.26171875,"[19, 21]",2,0,20332,1
40,1.0,13.26171875,"[19, 21]",2,0,20867,1
41,2.0,13.26171875,"[19, 21]",2,0,21402,1
42,2.0,13.26171875,"[19, 21]",2,0,21937,1
43,2.0,13.26171875,"[19, 21]",2,0,22473,1
44,2.0,13.26171875,"[19, 21]",2,0,23008,1
45,2.0,13.26171875,"[19, 21]",2,0,23544,1
46,1.0,13.26171875,"[19, 21]",2,0,24079,1
47,2.0,13.26171875,"[19, 21]",2,0,24614,1
48,2.0,13.26171875,"[19, 21]",2,0,25150,1
49,2.0,13.26171875,"[19, 21]",2,0,25685,1
50,2.0,13.26171875,"[19, 21]",2,0,26221,1
51,2.0,13.26171875,"[19, 21]",2,0,26756,1
52,1.0,13.26171875,"[19, 21]",2,0,27292,1
53,2.0,13.26171875,"[19, 21]",2,0,27827,1
54,2.0,13.26171875,"[19, 21]",2,0,28362,1
55,2.0,13.26171875,"[19, 21]",2,0,28898,1
56,2.0,13.26171875,"[19, 21]",2,0,29433,1
57,2.0,13.26171875,"[19, 21]",2,0,29968,1
58,1.0,13.26171875,"[19, 21]",2,0,30504,1
59,2.0,13.26171875,"[19, 21]",2,0,31039,1
60,2.0,13.26171875,"[19, 21]",2,0,31575,1
61,2.0,13.26171875,"[19, 21]",2,0,32110,1
62,2.0,13.26171875,"[19, 21]",2,0,32645,1
63,2.0,13.26171875,"[19, 21]",2,0,33181,1
64,1.0,13.26171875,"[19, 21]",2,0,33716,1
65,2.0,13.26171875,"[19, 21]",2,0,34252,1
66,2.0,13.26171875,"[19, 21]",2,0,34787,1
67,2.0,13.26171875,"[19, 21]",2,0,35323,1
68,2.0,13.26171875,"[19, 21]",2,0,35858,1
69,2.0,13.26171875,"[19, 21]",2,0,36393,1
70,1.0,13.26171875,"[19, 21]",2,0,36929,1
71,2.0,13.26171875,"[19, 21]",2,0,37464,1
72,2.0,13.26171875,"[19, 21]",2,0,37999,1
73,2.0,13.26171875,"[19, 21]",2,0,38535,1
74,2.0,13.26171875,"[19, 21]",2,0,39071,1
75,2.0,13.26171875,"[19, 21]",2,0,39606,1
76,1.0,13.26171875,"[19, 21]",2,0,40141,1
77,2.0,13.26171875,"[19, 21]",2,0,40677,1
78,2.0,13.26171875,"[19, 21]",2,0,41212,1
79,2.0,13.26171875,"[19, 21]",2,0,41747,1
80,2.0,13.26171875,"[19, 21]",2,0,42283,1
81,2.0,13.26171875,"[19, 21]",2,0,42819,1
82,1.0,13.26171875,"[19, 21]",2,0,43354,1
83,2.0,13.26171875,"[19, 21]",2,0,43889,1
84,2.0,13.26171875,"[19, 21]",2,0,44425,1
85,2.0,13.26171875,"[19, 21]",2,0,44960,1
86,2.0,13.26171875,"[19, 21]",2,0,45495,1
87,2.0,13.26171875,"[19, 21]",2,0,46031,1
88,1.0,13.26171875,"[19, 21]",2,0,46566,1
89,2.0,13.26171875,"[19, 21]",2,0,47102,1
90,2.0,13.26171875,"[19, 21]",2,0,47638,1
91,2.0,13.26171875,"[19, 21]",2,0,48173,1
92,2.0,13.26171875,"[19, 21]",2,0,48708,1
93,2.0,13.26171875,"[19, 21]",2,0,49244,1
94,1.0,13.26171875,"[19, 21]",2,0,49779,1
95,2.0,13.26171875,"[19, 21]",2,0,50314,1
96,2.0,13.26171875,"[19, 21]",2,0,50850,1
97,2.0,13.26171875,"[19, 21]",2,0,51386,1
98,2.0,13.26171875,"[19, 21]",2,0,51921,1
99,2.0,13.26171875,"[19, 21]",2,0,52456,1
100,1.0,13.26171875,"[19, 21]",2,0,52992,1
101,2.0,13.26171875,"[19, 21]",2,0,53527,1
102,2.0,13.26171875,"[19, 21]",2,0,54062,1
103,2.0,13.26171875,"[19, 21]",2,0,54598,1
104,2.0,13.26171875,"[19, 21]",2,0,55133,1
105,2.0,13.26171875,"[19, 21]",2,0,55669,1
106,1.0,13.26171875,"[19, 21]",2,0,56204,1
107,2.0,13.26171875,"[19, 21]",2,0,56739,1
108,2.0,13.26171875,"[19, 21]",2,0,57274,1
109,2.0,13.26171875,"[19, 21]",2,0,57810,1
110,2.0,13.26171875,"[19, 21]",2,0,58345,1
111,2.0,13.26171875,"[19, 21]",2,0,58881,1
112,1.0,13.26171875,"[19, 21]",2,0,59416,1
