Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.44921875,[19],1,0,3,0
2,0.0,13.36328125,"[19, 26]",2,0,23,1
3,0.0,13.36328125,"[19, 26]",2,0,23,1
4,0.0,13.36328125,"[19, 26]",2,0,23,1
5,0.0,13.36328125,"[19, 26]",2,0,24,1
6,0.0,13.36328125,"[19, 26]",2,0,24,1
7,0.0,13.36328125,"[19, 26]",2,0,25,1
8,0.0,13.36328125,"[19, 26]",2,0,26,1
9,0.0,13.36328125,"[19, 26]",2,0,26,1
10,0.0,13.36328125,"[19, 26]",2,0,27,1
11,0.0,13.36328125,"[19, 26]",2,0,27,1
12,0.0,13.36328125,"[19, 26]",2,0,28,1
13,0.0,13.36328125,"[19, 26]",2,0,28,1
14,0.0,13.36328125,"[19, 26]",2,0,29,1
15,0.0,13.36328125,"[19, 26]",2,0,30,1
16,0.0,13.36328125,"[19, 26]",2,0,30,1
17,0.0,13.36328125,"[19, 26]",2,0,31,1
18,0.0,13.36328125,"[19, 26]",2,0,31,1
19,0.0,13.36328125,"[19, 26]",2,0,32,1
20,0.0,13.36328125,"[19, 26]",2,0,32,1
21,0.0,13.36328125,"[19, 26]",2,0,33,1
22,0.0,13.36328125,"[19, 26]",2,0,34,1
23,0.0,13.36328125,"[19, 26]",2,0,34,1
24,0.0,13.36328125,"[19, 26]",2,0,35,1
25,0.0,13.36328125,"[19, 26]",2,0,35,1
26,0.0,13.36328125,"[19, 26]",2,0,36,1
27,0.0,13.36328125,"[19, 26]",2,0,36,1
28,0.0,13.36328125,"[19, 26]",2,0,37,1
29,0.0,13.36328125,"[19, 26]",2,0,38,1
30,0.0,13.36328125,"[19, 26]",2,0,38,1
31,0.0,13.36328125,"[19, 26]",2,0,39,1
32,0.0,13.36328125,"[19, 26]",2,0,39,1
33,0.0,13.36328125,"[19, 26]",2,0,39,1
34,0.0,13.36328125,"[19, 26]",2,0,40,1
35,0.0,13.36328125,"[19, 26]",2,0,40,1
36,0.0,13.36328125,"[19, 26]",2,0,41,1
37,0.0,13.36328125,"[19, 26]",2,0,42,1
38,0.0,13.36328125,"[19, 26]",2,0,42,1
39,0.0,13.36328125,"[19, 26]",2,0,43,1
40,0.0,13.36328125,"[19, 26]",2,0,43,1
41,0.0,13.36328125,"[19, 26]",2,0,44,1
42,0.0,13.36328125,"[19, 26]",2,0,44,1
43,1.0,13.36328125,"[19, 26]",2,0,45,1
44,0.0,13.36328125,"[19, 26]",2,0,45,1
45,0.0,13.36328125,"[19, 2]",2,0,46,1
46,0.0,13.36328125,"[19, 2]",2,0,47,1
47,0.0,13.36328125,"[19, 2]",2,0,47,1
48,0.0,13.36328125,"[19, 2]",2,0,48,1
49,0.0,13.36328125,"[19, 2]",2,0,48,1
