Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.421875,[23],1,0,3,0
2,0.0,1519.578125,"[23, 0, 2, 4, 6, 8, 10, 12, 15, 16, 18, 20, 22, 24, 26, 28, 30, 1, 2, 4, 6, 9, 10, 12, 14, 16, 18, 20, 22, 24, 27, 29, 30]",33,0,8412,32
3,76.4,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 12, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,23653,32
4,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 12, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,38665,32
5,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 12, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,54073,32
6,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,69321,32
7,77.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,84439,32
8,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,99420,32
9,77.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,114463,32
10,75.6,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,129559,32
11,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,144801,32
12,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,159907,32
13,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,174927,32
14,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,189899,32
15,76.6,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,204989,32
16,76.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,220443,32
17,75.6,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,235742,32
18,77.5,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,250925,32
19,76.6,1524.8515625,"[23, 0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31]",33,0,266101,32
