Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.5078125,[7],1,0,3,0
2,0.0,1499.734375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,3988,32
3,41.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,11752,32
4,39.3,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,19744,32
5,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,27690,32
6,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,35611,32
7,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,43777,32
8,39.3,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,51881,32
9,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,60022,32
10,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,68073,32
11,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,76229,32
12,39.3,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,84348,32
13,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,92493,32
14,40.2,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,100707,32
15,39.3,1502.19921875,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,109060,32
16,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,117234,32
17,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,125368,32
18,39.3,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,133446,32
19,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,141328,32
20,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,149352,32
21,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,157297,32
22,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,165354,32
23,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,173273,32
24,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,181241,32
25,39.3,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,189162,32
26,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,197256,32
27,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,205192,32
28,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,213075,32
29,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,220998,32
30,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,228987,32
31,40.2,1502.5859375,"[7, 0, 2, 4, 7, 9, 10, 12, 14, 17, 18, 20, 22, 24, 26, 28, 31, 1, 3, 4, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 27, 29, 30]",33,0,236926,32
