Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.51953125,[3],1,0,4,0
2,0.0,1482.40234375,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,169,32
3,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,183,32
4,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,193,32
5,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,203,32
6,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,212,32
7,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,222,32
8,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,232,32
9,1.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,241,32
10,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,251,32
11,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,261,32
12,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,271,32
13,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,280,32
14,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,290,32
15,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,300,32
16,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,309,32
17,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,319,32
18,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,329,32
19,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,339,32
20,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,348,32
21,0.0,1489.6328125,"[3, 1, 2, 4, 7, 9, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 31, 1, 2, 4, 6, 8, 11, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",33,0,358,32
