Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.50390625,[1],1,0,3,0
2,0.0,91.29296875,"[1, 1]",34,0,39,1
3,74.1,91.5390625,"[1, 1]",34,0,39,1
4,73.2,91.5390625,"[1, 1]",34,0,39,1
5,72.2,91.5390625,"[1, 1]",34,0,39,1
6,71.2,91.5390625,"[1, 1]",34,0,39,1
7,71.2,91.5390625,"[1, 1]",34,0,39,1
8,71.2,91.5390625,"[1, 1]",34,0,39,1
9,71.2,91.5390625,"[1, 1]",34,0,39,1
10,94.0,91.5390625,"[1, 1]",34,0,39,1
11,96.0,91.5390625,"[1, 1]",34,0,39,1
12,97.0,91.5390625,"[1, 1]",34,0,39,1
13,96.0,91.5390625,"[1, 1]",34,0,39,1
14,97.9,91.5390625,"[1, 1]",34,0,39,1
15,97.0,91.5390625,"[1, 1]",34,0,39,1
16,95.9,91.5390625,"[1, 1]",34,0,39,1
17,97.9,91.5390625,"[1, 1]",34,0,39,1
18,96.0,91.5390625,"[1, 1]",34,0,39,1
19,97.0,91.5390625,"[1, 1]",34,0,39,1
20,97.0,91.5390625,"[1, 1]",34,0,39,1
21,96.0,91.5390625,"[1, 1]",34,0,39,1
22,96.0,91.5390625,"[1, 1]",34,0,39,1
23,96.9,91.5390625,"[1, 1]",34,0,39,1
24,97.0,91.5390625,"[1, 1]",34,0,39,1
25,96.0,91.5390625,"[1, 1]",34,0,39,1
26,97.0,91.5390625,"[1, 1]",34,0,39,1
27,96.0,91.5390625,"[1, 1]",34,0,39,1
28,97.0,91.5390625,"[1, 1]",34,0,39,1
29,96.9,91.5390625,"[1, 1]",34,0,39,1
30,95.9,91.5390625,"[1, 1]",34,0,39,1
31,96.9,91.5390625,"[1, 1]",34,0,39,1
32,95.0,91.5390625,"[1, 1]",34,0,39,1
33,97.0,91.5390625,"[1, 1]",34,0,39,1
34,96.9,91.5390625,"[1, 1]",34,0,39,1
35,96.0,91.5390625,"[1, 1]",34,0,39,1
36,96.0,91.5390625,"[1, 1]",34,0,39,1
37,97.0,91.5390625,"[1, 1]",34,0,39,1
38,97.0,91.5390625,"[1, 1]",34,0,39,1
39,95.0,91.5390625,"[1, 1]",34,0,39,1
40,96.9,91.5390625,"[1, 1]",34,0,39,1
41,96.0,91.5390625,"[1, 1]",34,0,39,1
42,96.0,91.5390625,"[1, 1]",34,0,39,1
43,96.0,91.5390625,"[1, 1]",34,0,39,1
44,96.9,91.5390625,"[1, 1]",34,0,39,1
45,95.0,91.5390625,"[1, 1]",34,0,39,1
46,96.9,91.5390625,"[1, 1]",34,0,39,1
47,96.0,91.5390625,"[1, 1]",34,0,39,1
48,96.0,91.5390625,"[1, 1]",34,0,39,1
49,88.0,91.5390625,"[1, 1]",34,0,39,1
50,68.3,91.5390625,"[1, 1]",34,0,39,1
51,69.2,91.5390625,"[1, 1]",34,0,39,1
52,70.2,91.5390625,"[1, 1]",34,0,39,1
53,69.7,91.5390625,"[1, 1]",34,0,39,1
54,96.2,91.5390625,"[1, 1]",34,0,39,1
55,95.2,91.5390625,"[1, 1]",34,0,39,1
56,95.2,91.5390625,"[1, 1]",34,0,39,1
57,96.2,91.5390625,"[1, 1]",34,0,39,1
58,96.2,91.5390625,"[1, 1]",34,0,39,1
59,95.2,91.5390625,"[1, 1]",34,0,39,1
60,96.2,91.5390625,"[1, 1]",34,0,39,1
61,95.2,91.5390625,"[1, 1]",34,0,39,1
62,80.5,91.5390625,"[1, 1]",34,0,39,1
63,96.2,91.5390625,"[1, 1]",34,0,39,1
64,95.2,91.5390625,"[1, 1]",34,0,39,1
65,96.2,91.5390625,"[1, 1]",34,0,39,1
66,95.2,91.5390625,"[1, 1]",34,0,39,1
67,75.6,91.5390625,"[1, 1]",34,0,39,1
68,97.1,91.5390625,"[1, 1]",34,0,39,1
69,95.2,91.5390625,"[1, 1]",34,0,39,1
70,83.4,91.5390625,"[1, 1]",34,0,39,1
71,96.2,91.5390625,"[1, 1]",34,0,39,1
72,95.2,91.5390625,"[1, 1]",34,0,39,1
73,96.2,91.5390625,"[1, 1]",34,0,39,1
74,95.2,91.5390625,"[1, 1]",34,0,39,1
75,96.2,91.5390625,"[1, 1]",34,0,39,1
76,95.1,91.5390625,"[1, 1]",34,0,39,1
77,96.1,91.5390625,"[1, 1]",34,0,39,1
78,96.2,91.5390625,"[1, 1]",34,0,39,1
79,94.2,91.5390625,"[1, 1]",34,0,39,1
80,96.2,91.5390625,"[1, 1]",34,0,39,1
81,96.2,91.5390625,"[1, 1]",34,0,39,1
82,95.2,91.5390625,"[1, 1]",34,0,39,1
83,96.2,91.5390625,"[1, 1]",34,0,39,1
84,96.2,91.5390625,"[1, 1]",34,0,39,1
85,94.2,91.5390625,"[1, 1]",34,0,39,1
86,80.5,91.5390625,"[1, 1]",34,0,39,1
87,96.2,91.5390625,"[1, 1]",34,0,39,1
88,95.2,91.5390625,"[1, 1]",34,0,39,1
89,95.2,91.5390625,"[1, 1]",34,0,39,1
90,76.6,91.5390625,"[1, 1]",34,0,39,1
91,96.2,91.5390625,"[1, 1]",34,0,39,1
92,95.2,91.5390625,"[1, 1]",34,0,39,1
93,95.2,91.5390625,"[1, 1]",34,0,39,1
94,96.2,91.5390625,"[1, 1]",34,0,39,1
95,76.1,91.5390625,"[1, 1]",34,0,39,1
96,69.2,91.5390625,"[1, 1]",34,0,39,1
97,70.2,91.5390625,"[1, 1]",34,0,39,1
98,69.2,91.5390625,"[1, 1]",34,0,39,1
99,69.2,91.5390625,"[1, 1]",34,0,39,1
100,69.2,91.5390625,"[1, 1]",34,0,39,1
101,70.2,91.5390625,"[1, 1]",34,0,39,1
102,70.2,91.5390625,"[1, 1]",34,0,39,1
103,70.2,91.5390625,"[1, 1]",34,0,39,1
104,69.2,91.5390625,"[1, 1]",34,0,39,1
105,70.2,91.5390625,"[1, 1]",34,0,39,1
106,69.2,91.5390625,"[1, 1]",34,0,39,1
107,71.2,91.5390625,"[1, 1]",34,0,39,1
