Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.40234375,[22],1,0,3,0
2,0.0,90.50390625,"[22, 25]",34,0,45,1
3,1.0,90.50390625,"[22, 25]",34,0,45,1
4,0.0,90.50390625,"[22, 25]",34,0,45,1
5,0.0,90.50390625,"[22, 25]",34,0,45,1
6,0.0,90.50390625,"[22, 25]",34,0,45,1
7,0.0,90.50390625,"[22, 25]",34,0,45,1
8,0.0,90.50390625,"[22, 25]",34,0,45,1
9,0.0,90.50390625,"[22, 25]",34,0,45,1
10,0.0,90.50390625,"[22, 25]",34,0,45,1
11,0.0,90.50390625,"[22, 25]",34,0,45,1
