Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.4453125,[22],1,0,3,0
2,0.0,90.45703125,"[22, 26]",34,0,48,1
3,2.0,90.45703125,"[22, 26]",34,0,48,1
4,3.0,90.45703125,"[22, 26]",34,0,48,1
5,3.0,90.45703125,"[22, 26]",34,0,48,1
6,3.0,90.45703125,"[22, 26]",34,0,48,1
7,3.0,90.45703125,"[22, 26]",34,0,48,1
8,3.0,90.45703125,"[22, 26]",34,0,48,1
9,3.0,90.45703125,"[22, 26]",34,0,48,1
10,4.0,90.45703125,"[22, 26]",34,0,48,1
11,3.0,90.45703125,"[22, 26]",34,0,48,1
