Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.515625,[0],1,0,3,0
2,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
3,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
4,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
5,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
6,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
7,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
8,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
9,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
10,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
11,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
12,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
13,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
14,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
15,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
16,1.0,91.4296875,"[0, 17, 17]",35,0,44,2
17,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
18,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
19,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
20,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
21,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
22,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
23,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
24,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
25,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
26,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
27,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
28,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
29,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
30,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
31,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
32,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
33,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
34,1.0,91.4296875,"[0, 17, 17]",35,0,44,2
35,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
36,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
37,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
38,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
39,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
40,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
41,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
42,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
43,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
44,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
45,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
46,0.0,91.4296875,"[0, 17, 17]",35,0,44,2
