Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.50390625,[22],1,0,4,0
2,0.0,91.703125,"[22, 0, 0]",35,0,49,2
3,3.0,91.703125,"[22, 0, 0]",35,0,49,2
4,2.0,91.703125,"[22, 0, 0]",35,0,49,2
5,2.0,91.703125,"[22, 0, 0]",35,0,49,2
6,2.0,91.703125,"[22, 0, 0]",35,0,49,2
7,3.0,91.703125,"[22, 0, 0]",35,0,49,2
8,2.0,91.703125,"[22, 0, 0]",35,0,49,2
9,2.0,91.703125,"[22, 0, 0]",35,0,49,2
10,2.0,91.703125,"[22, 0, 0]",35,0,49,2
11,4.0,91.703125,"[22, 0, 0]",35,0,49,2
12,3.0,91.703125,"[22, 0, 0]",35,0,49,2
13,3.0,91.703125,"[22, 0, 0]",35,0,49,2
14,3.0,91.703125,"[22, 0, 0]",35,0,49,2
15,3.0,91.703125,"[22, 0, 0]",35,0,49,2
16,3.0,91.703125,"[22, 0, 0]",35,0,49,2
17,4.0,91.703125,"[22, 0, 0]",35,0,49,2
18,4.0,91.703125,"[22, 0, 0]",35,0,49,2
19,4.0,91.703125,"[22, 0, 0]",35,0,49,2
20,4.0,91.703125,"[22, 0, 0]",35,0,49,2
21,4.0,91.703125,"[22, 0, 0]",35,0,49,2
22,4.0,91.703125,"[22, 0, 0]",35,0,49,2
23,4.9,91.703125,"[22, 0, 0]",35,0,49,2
24,4.0,91.703125,"[22, 0, 0]",35,0,49,2
25,4.0,91.703125,"[22, 0, 0]",35,0,49,2
26,4.0,91.703125,"[22, 0, 0]",35,0,49,2
27,4.0,91.703125,"[22, 0, 0]",35,0,49,2
28,2.0,91.703125,"[22, 0, 0]",35,0,49,2
29,3.0,91.703125,"[22, 0, 0]",35,0,49,2
30,2.0,91.703125,"[22, 0, 0]",35,0,49,2
31,2.0,91.703125,"[22, 0, 0]",35,0,49,2
32,3.0,91.703125,"[22, 0, 0]",35,0,49,2
33,2.0,91.703125,"[22, 0, 0]",35,0,49,2
34,3.0,91.703125,"[22, 0, 0]",35,0,49,2
35,1.0,91.703125,"[22, 0, 0]",35,0,49,2
36,2.0,91.703125,"[22, 0, 0]",35,0,49,2
37,3.0,91.703125,"[22, 0, 0]",35,0,49,2
38,2.0,91.703125,"[22, 0, 0]",35,0,49,2
39,3.0,91.703125,"[22, 0, 0]",35,0,49,2
40,2.0,91.703125,"[22, 0, 0]",35,0,49,2
41,2.0,91.703125,"[22, 0, 0]",35,0,49,2
42,3.0,91.703125,"[22, 0, 0]",35,0,49,2
43,2.0,91.703125,"[22, 0, 0]",35,0,49,2
44,3.0,91.703125,"[22, 0, 0]",35,0,49,2
45,1.0,91.703125,"[22, 0, 0]",35,0,49,2
46,2.0,91.703125,"[22, 0, 0]",35,0,49,2
47,3.0,91.703125,"[22, 0, 0]",35,0,49,2
48,2.0,91.703125,"[22, 0, 0]",35,0,49,2
49,3.0,91.703125,"[22, 0, 0]",35,0,49,2
50,2.0,91.703125,"[22, 0, 0]",35,0,49,2
51,2.0,91.703125,"[22, 0, 0]",35,0,49,2
52,3.0,91.703125,"[22, 0, 0]",35,0,49,2
53,2.0,91.703125,"[22, 0, 0]",35,0,49,2
54,3.0,91.703125,"[22, 0, 0]",35,0,49,2
55,1.0,91.703125,"[22, 0, 0]",35,0,49,2
56,2.0,91.703125,"[22, 0, 0]",35,0,49,2
57,3.0,91.703125,"[22, 0, 0]",35,0,49,2
58,2.0,91.703125,"[22, 0, 0]",35,0,49,2
59,3.0,91.703125,"[22, 0, 0]",35,0,49,2
60,2.0,91.703125,"[22, 0, 0]",35,0,49,2
61,2.0,91.703125,"[22, 0, 0]",35,0,49,2
62,3.0,91.703125,"[22, 0, 0]",35,0,49,2
63,1.0,91.703125,"[22, 0, 0]",35,0,49,2
64,3.0,91.703125,"[22, 0, 0]",35,0,49,2
65,2.0,91.703125,"[22, 0, 0]",35,0,49,2
66,2.0,91.703125,"[22, 0, 0]",35,0,49,2
67,3.0,91.703125,"[22, 0, 0]",35,0,49,2
68,2.0,91.703125,"[22, 0, 0]",35,0,49,2
69,3.0,91.703125,"[22, 0, 0]",35,0,49,2
70,2.0,91.703125,"[22, 0, 0]",35,0,49,2
71,2.0,91.703125,"[22, 0, 0]",35,0,49,2
72,2.0,91.703125,"[22, 0, 0]",35,0,49,2
73,2.0,91.703125,"[22, 0, 0]",35,0,49,2
74,3.0,91.703125,"[22, 0, 0]",35,0,49,2
75,2.0,91.703125,"[22, 0, 0]",35,0,49,2
76,1.0,91.703125,"[22, 0, 0]",35,0,49,2
77,3.0,91.703125,"[22, 0, 0]",35,0,49,2
78,2.0,91.703125,"[22, 0, 0]",35,0,49,2
79,1.0,91.703125,"[22, 0, 0]",35,0,49,2
80,3.0,91.703125,"[22, 0, 0]",35,0,49,2
81,2.0,91.703125,"[22, 0, 0]",35,0,49,2
82,3.0,91.703125,"[22, 0, 0]",35,0,49,2
83,1.0,91.703125,"[22, 0, 0]",35,0,49,2
84,2.0,91.703125,"[22, 0, 0]",35,0,49,2
85,3.0,91.703125,"[22, 0, 0]",35,0,49,2
86,2.0,91.703125,"[22, 0, 0]",35,0,49,2
87,1.0,91.703125,"[22, 0, 0]",35,0,49,2
88,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
89,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
90,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
91,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
92,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
93,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
94,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
95,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
96,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
97,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
98,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
99,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
100,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
101,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
102,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
103,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
104,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
105,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
106,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
107,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
108,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
109,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
110,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
111,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
112,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
113,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
114,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
115,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
116,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
117,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
118,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
119,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
120,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
121,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
122,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
123,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
124,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
125,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
126,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
127,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
128,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
129,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
130,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
131,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
132,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
133,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
134,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
135,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
136,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
137,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
138,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
139,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
140,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
141,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
142,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
143,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
144,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
145,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
146,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
147,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
148,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
149,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
150,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
151,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
152,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
153,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
154,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
155,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
156,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
157,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
158,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
159,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
160,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
161,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
162,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
163,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
164,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
165,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
166,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
167,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
168,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
169,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
170,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
171,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
172,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
173,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
174,2.0,91.85546875,"[22, 0, 0]",35,0,49,2
175,3.0,91.85546875,"[22, 0, 0]",35,0,49,2
176,1.0,91.85546875,"[22, 0, 0]",35,0,49,2
