Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.453125,[30],1,0,5,0
2,0.0,91.8828125,"[30, 28, 8]",35,0,50,2
3,70.0,91.8828125,"[30, 28, 8]",35,0,50,2
4,84.3,91.8828125,"[30, 28, 8]",35,0,50,2
5,79.7,92.89453125,"[30, 28, 8]",35,0,50,2
6,69.1,93.05078125,"[30, 28, 8]",35,0,50,2
7,77.7,93.05078125,"[30, 28, 8]",35,0,50,2
8,64.6,93.05078125,"[30, 28, 8]",35,0,50,2
9,66.6,93.05078125,"[30, 28, 8]",35,0,50,2
10,98.7,93.05078125,"[30, 28, 8]",35,0,50,2
11,85.6,93.05078125,"[30, 28, 8]",35,0,50,2
12,79.9,93.05078125,"[30, 28, 8]",35,0,50,2
13,85.9,93.05078125,"[30, 28, 8]",35,0,50,2
14,90.5,93.12890625,"[30, 28, 8]",35,0,50,2
15,72.7,93.12890625,"[30, 28, 8]",35,0,50,2
16,86.8,93.12890625,"[30, 28, 8]",35,0,50,2
17,80.6,93.12890625,"[30, 28, 8]",35,0,50,2
18,70.1,93.12890625,"[30, 28, 8]",35,0,50,2
19,80.8,93.12890625,"[30, 28, 8]",35,0,50,2
20,81.9,93.12890625,"[30, 28, 8]",35,0,50,2
21,86.5,93.12890625,"[30, 28, 8]",35,0,50,2
22,70.8,93.12890625,"[30, 28, 8]",35,0,50,2
23,72.0,93.12890625,"[30, 28, 8]",35,0,50,2
24,69.1,93.12890625,"[30, 28, 8]",35,0,50,2
25,72.0,93.12890625,"[30, 28, 8]",35,0,50,2
26,82.9,93.12890625,"[30, 28, 8]",35,0,50,2
27,65.9,93.12890625,"[30, 28, 8]",35,0,50,2
28,100.6,93.12890625,"[30, 28, 8]",35,0,50,2
29,80.7,93.12890625,"[30, 28, 8]",35,0,50,2
30,67.9,93.12890625,"[30, 28, 8]",35,0,50,2
31,105.6,93.28515625,"[30, 28, 8]",35,0,50,2
32,85.6,93.28515625,"[30, 28, 8]",35,0,50,2
33,77.0,93.28515625,"[30, 28, 8]",35,0,50,2
34,96.7,93.28515625,"[30, 28, 8]",35,0,50,2
35,73.0,93.28515625,"[30, 28, 8]",35,0,50,2
36,87.8,93.28515625,"[30, 28, 8]",35,0,50,2
37,79.9,93.28515625,"[30, 28, 8]",35,0,50,2
38,101.6,93.28515625,"[30, 28, 8]",35,0,50,2
39,76.0,93.3046875,"[30, 28, 8]",35,0,50,2
40,81.5,93.3046875,"[30, 28, 8]",35,0,50,2
41,98.6,93.3046875,"[30, 28, 8]",35,0,50,2
42,80.5,93.3046875,"[30, 28, 8]",35,0,50,2
43,82.6,93.3046875,"[30, 28, 8]",35,0,50,2
44,72.8,93.3046875,"[30, 28, 8]",35,0,50,2
45,74.9,93.3046875,"[30, 28, 8]",35,0,50,2
46,70.0,93.3046875,"[30, 28, 8]",35,0,50,2
47,78.9,93.3046875,"[30, 28, 8]",35,0,50,2
48,111.9,93.3046875,"[30, 28, 8]",35,0,50,2
49,77.5,93.3046875,"[30, 28, 8]",35,0,50,2
50,77.7,93.3046875,"[30, 28, 8]",35,0,50,2
51,80.9,93.3046875,"[30, 28, 8]",35,0,50,2
52,70.7,93.3046875,"[30, 28, 8]",35,0,50,2
53,116.0,93.3046875,"[30, 28, 8]",35,0,50,2
54,84.5,93.3046875,"[30, 28, 8]",35,0,50,2
55,82.1,93.3046875,"[30, 28, 8]",35,0,50,2
56,68.1,93.3046875,"[30, 28, 8]",35,0,50,2
57,75.0,93.3046875,"[30, 28, 8]",35,0,50,2
58,74.5,93.3046875,"[30, 28, 8]",35,0,50,2
59,76.8,93.3046875,"[30, 28, 8]",35,0,50,2
