Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.52734375,[20],1,0,3,0
2,0.0,242.40234375,"[20, 10]",13,0,1427,1
3,76.1,242.54296875,"[20, 10]",13,0,3974,1
4,77.1,242.54296875,"[20, 10]",13,0,6493,1
5,79.1,242.54296875,"[20, 10]",13,0,9136,1
6,78.1,242.54296875,"[20, 10]",13,0,11742,1
7,77.1,242.54296875,"[20, 10]",13,0,14309,1
8,78.1,242.54296875,"[20, 10]",13,0,16909,1
9,75.1,242.54296875,"[20, 10]",13,0,19470,1
10,76.1,242.54296875,"[20, 10]",13,0,22024,1
11,78.1,242.54296875,"[20, 10]",13,0,24655,1
12,78.1,242.54296875,"[20, 10]",13,0,27267,1
13,76.1,242.54296875,"[20, 10]",13,0,29845,1
14,74.2,242.54296875,"[20, 10]",13,0,32282,1
15,74.2,242.54296875,"[20, 10]",13,0,34722,1
16,75.1,242.54296875,"[20, 10]",13,0,37170,1
17,74.2,242.54296875,"[20, 10]",13,0,39627,1
18,74.2,242.54296875,"[20, 10]",13,0,42072,1
19,75.1,242.6953125,"[20, 10]",13,0,44537,1
20,75.1,242.6953125,"[20, 10]",13,0,46996,1
21,74.2,242.6953125,"[20, 10]",13,0,49458,1
22,75.1,242.6953125,"[20, 10]",13,0,51924,1
23,75.1,242.6953125,"[20, 10]",13,0,54396,1
24,75.1,242.6953125,"[20, 10]",13,0,56861,1
25,75.1,242.6953125,"[20, 10]",13,0,59317,1
26,73.2,242.6953125,"[20, 10]",13,0,61773,1
27,76.1,243.34765625,"[20, 10]",13,0,64251,1
28,74.2,243.34765625,"[20, 10]",13,0,66709,1
29,76.1,243.34765625,"[20, 10]",13,0,69178,1
30,75.1,243.34765625,"[20, 10]",13,0,71645,1
31,74.1,243.34765625,"[20, 10]",13,0,74111,1
32,73.2,243.34765625,"[20, 10]",13,0,76552,1
33,75.1,243.34765625,"[20, 10]",13,0,79005,1
34,75.1,243.34765625,"[20, 10]",13,0,81544,1
35,75.1,243.34765625,"[20, 10]",13,0,83979,1
36,74.2,243.375,"[20, 10]",13,0,86429,1
37,74.2,243.375,"[20, 10]",13,0,88883,1
38,75.1,243.375,"[20, 10]",13,0,91338,1
39,75.1,243.375,"[20, 10]",13,0,93800,1
