Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.40625,[4],1,0,3,0
2,0.0,242.1484375,"[4, 16]",13,0,1043,1
3,88.9,242.3984375,"[4, 16]",13,0,3460,1
4,88.9,242.3984375,"[4, 16]",13,0,5890,1
5,87.9,242.3984375,"[4, 16]",13,0,8300,1
6,88.9,242.3984375,"[4, 16]",13,0,10672,1
7,89.9,242.3984375,"[4, 16]",13,0,13049,1
8,88.9,242.3984375,"[4, 16]",13,0,15457,1
9,88.9,242.3984375,"[4, 16]",13,0,17864,1
10,88.9,242.3984375,"[4, 16]",13,0,20272,1
11,87.9,242.3984375,"[4, 16]",13,0,22685,1
12,88.9,242.3984375,"[4, 16]",13,0,25096,1
13,88.9,242.3984375,"[4, 16]",13,0,27519,1
14,88.9,242.3984375,"[4, 16]",13,0,29944,1
15,88.9,242.3984375,"[4, 16]",13,0,32367,1
16,88.9,242.3984375,"[4, 16]",13,0,34767,1
17,89.9,242.3984375,"[4, 16]",13,0,37154,1
18,89.9,242.3984375,"[4, 16]",13,0,39525,1
19,88.9,242.3984375,"[4, 16]",13,0,41936,1
20,88.9,242.3984375,"[4, 16]",13,0,44348,1
21,87.9,242.3984375,"[4, 16]",13,0,46762,1
22,93.8,242.3984375,"[4, 23]",13,0,48307,1
23,88.9,242.3984375,"[4, 23]",13,0,50740,1
24,87.9,242.3984375,"[4, 23]",13,0,53198,1
25,89.9,242.3984375,"[4, 23]",13,0,55631,1
26,88.9,242.3984375,"[4, 23]",13,0,58037,1
27,88.9,242.3984375,"[4, 23]",13,0,60472,1
28,89.9,242.3984375,"[4, 23]",13,0,62886,1
29,87.9,242.3984375,"[4, 23]",13,0,65348,1
30,89.9,242.3984375,"[4, 23]",13,0,67714,1
31,90.9,242.3984375,"[4, 23]",13,0,70064,1
32,89.9,242.3984375,"[4, 1]",13,0,72461,1
33,89.9,242.3984375,"[4, 1]",13,0,74868,1
34,89.9,242.3984375,"[4, 1]",13,0,77150,1
35,93.8,242.3984375,"[4, 1]",13,0,78694,1
36,87.9,243.22265625,"[4, 1]",13,0,81089,1
37,85.9,243.22265625,"[4, 1]",13,0,83487,1
38,86.9,243.22265625,"[4, 17]",13,0,85908,1
39,86.9,243.22265625,"[4, 17]",13,0,88291,1
40,87.9,243.22265625,"[4, 17]",13,0,90683,1
41,85.9,243.22265625,"[4, 17]",13,0,93065,1
42,87.9,243.22265625,"[4, 17]",13,0,95456,1
43,86.9,243.22265625,"[4, 17]",13,0,97856,1
44,87.9,243.22265625,"[4, 17]",13,0,100243,1
45,86.9,243.22265625,"[4, 17]",13,0,102650,1
46,87.9,243.22265625,"[4, 17]",13,0,105004,1
47,86.9,243.265625,"[4, 1]",13,0,107387,1
48,85.9,243.265625,"[4, 1]",13,0,109779,1
49,86.9,243.265625,"[4, 1]",13,0,112178,1
50,86.9,243.265625,"[4, 17]",13,0,114547,1
51,85.9,243.265625,"[4, 17]",13,0,116934,1
52,88.9,243.265625,"[4, 17]",13,0,119337,1
53,85.9,243.265625,"[4, 17]",13,0,121731,1
54,86.9,243.265625,"[4, 17]",13,0,124125,1
55,87.9,243.265625,"[4, 17]",13,0,126527,1
56,86.9,243.265625,"[4, 17]",13,0,128901,1
57,86.9,243.265625,"[4, 17]",13,0,131312,1
58,87.9,243.265625,"[4, 17]",13,0,133713,1
59,85.9,243.265625,"[4, 17]",13,0,136114,1
60,86.9,243.265625,"[4, 17]",13,0,138503,1
61,86.9,243.265625,"[4, 17]",13,0,140893,1
62,86.9,243.2734375,"[4, 17]",13,0,143295,1
63,87.9,243.2734375,"[4, 17]",13,0,145672,1
64,86.9,243.2734375,"[4, 17]",13,0,148068,1
65,87.9,243.2734375,"[4, 17]",13,0,150467,1
66,86.9,243.2890625,"[4, 17]",13,0,152858,1
67,86.9,243.2890625,"[4, 17]",13,0,155255,1
68,87.9,243.2890625,"[4, 17]",13,0,157659,1
69,86.9,243.2890625,"[4, 17]",13,0,160046,1
70,86.9,243.2890625,"[4, 17]",13,0,162405,1
71,88.9,243.2890625,"[4, 16]",13,0,164820,1
72,85.9,243.2890625,"[4, 16]",13,0,167239,1
73,86.9,243.2890625,"[4, 16]",13,0,169623,1
74,86.9,243.2890625,"[4, 16]",13,0,171988,1
75,87.9,243.2890625,"[4, 16]",13,0,174396,1
76,86.9,243.2890625,"[4, 16]",13,0,176781,1
77,86.9,243.2890625,"[4, 16]",13,0,179134,1
78,86.9,243.2890625,"[4, 16]",13,0,181523,1
79,86.9,243.2890625,"[4, 16]",13,0,183906,1
80,86.9,243.2890625,"[4, 16]",13,0,186300,1
81,87.9,243.2890625,"[4, 17]",13,0,188682,1
82,87.9,243.2890625,"[4, 17]",13,0,191073,1
83,87.9,243.2890625,"[4, 17]",13,0,193484,1
84,87.9,243.2890625,"[4, 17]",13,0,195880,1
85,87.9,243.2890625,"[4, 17]",13,0,198287,1
86,87.9,243.2890625,"[4, 17]",13,0,200691,1
87,88.9,243.2890625,"[4, 17]",13,0,203097,1
88,87.0,243.2890625,"[4, 17]",13,0,205516,1
89,88.9,243.2890625,"[4, 17]",13,0,207919,1
90,88.9,243.2890625,"[4, 17]",13,0,210328,1
91,87.0,243.2890625,"[4, 17]",13,0,212739,1
92,88.9,243.2890625,"[4, 17]",13,0,215145,1
93,87.9,243.2890625,"[4, 17]",13,0,217543,1
94,87.9,243.2890625,"[4, 1]",13,0,219947,1
95,86.9,243.2890625,"[4, 17]",13,0,222356,1
96,86.9,243.2890625,"[4, 17]",13,0,224758,1
97,85.9,243.2890625,"[4, 17]",13,0,227165,1
