Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.48046875,[4],1,0,11,0
2,0.0,242.19140625,"[4, 24]",13,0,980,1
3,0.0,242.19140625,"[4, 24]",13,0,983,1
4,0.0,242.19140625,"[4, 24]",13,0,985,1
5,0.0,242.19140625,"[4, 24]",13,0,988,1
6,0.0,242.19140625,"[4, 24]",13,0,991,1
7,0.0,242.19140625,"[4, 24]",13,0,996,1
8,0.0,242.19140625,"[4, 24]",13,0,1000,1
9,0.0,242.19140625,"[4, 24]",13,0,1003,1
10,0.0,242.19140625,"[4, 24]",13,0,1005,1
11,0.0,242.19140625,"[4, 24]",13,0,1006,1
12,1.0,242.19140625,"[4, 24]",13,0,1010,1
13,0.0,242.19140625,"[4, 24]",13,0,1014,1
14,0.0,242.19140625,"[4, 24]",13,0,1017,1
15,0.0,242.19140625,"[4, 24]",13,0,1020,1
16,1.0,242.19140625,"[4, 24]",13,0,1023,1
17,0.0,242.19140625,"[4, 24]",13,0,1026,1
18,0.0,242.19140625,"[4, 24]",13,0,1029,1
19,0.0,242.19140625,"[4, 24]",13,0,1033,1
20,0.0,242.19140625,"[4, 24]",13,0,1036,1
21,0.0,242.19140625,"[4, 24]",13,0,1039,1
22,0.0,242.19140625,"[4, 24]",13,0,1044,1
23,0.0,242.19140625,"[4, 24]",13,0,1047,1
24,0.0,242.19140625,"[4, 24]",13,0,1050,1
25,0.0,242.19140625,"[4, 24]",13,0,1055,1
26,0.0,242.19140625,"[4, 24]",13,0,1058,1
27,1.0,242.19140625,"[4, 24]",13,0,1061,1
28,0.0,242.19140625,"[4, 24]",13,0,1064,1
29,0.0,242.19140625,"[4, 24]",13,0,1067,1
30,0.0,242.19140625,"[4, 24]",13,0,1070,1
31,0.0,242.19140625,"[4, 24]",13,0,1074,1
32,0.0,242.19140625,"[4, 24]",13,0,1077,1
33,0.0,242.19140625,"[4, 24]",13,0,1080,1
34,0.0,242.19140625,"[4, 24]",13,0,1083,1
35,0.0,242.19140625,"[4, 24]",13,0,1086,1
