Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.21484375,"[23, 26]",2,1,3,1
2,0.0,152.5859375,"[23, 26, 27, 12, 13]",7,3,19,4
3,18.7,153.1015625,"[23, 26, 27, 12, 13]",7,3,27,4
4,18.7,153.6171875,"[23, 26, 27, 12, 13]",7,3,35,4
5,19.7,153.875,"[23, 26, 27, 12, 13]",7,3,43,4
6,20.7,156.67578125,"[23, 26, 27, 12, 13]",7,3,52,4
7,30.6,158.9140625,"[23, 26, 27, 12, 27]",7,3,65,4
8,30.6,159.1484375,"[23, 26, 27, 12, 27]",7,3,76,4
9,36.5,159.921875,"[23, 26, 27, 12, 27]",7,3,85,4
10,32.6,160.7734375,"[23, 26, 27, 12, 27]",7,3,95,4
11,35.5,161.15625,"[23, 26, 27, 12, 27]",7,3,104,4
12,41.4,163.91015625,"[23, 26, 27, 12, 27]",7,3,117,4
13,42.4,173.1796875,"[23, 26, 27, 12, 27]",7,3,133,4
14,26.599999999999998,175.88671875,"[23, 26, 27, 12, 27]",7,3,145,4
15,24.599999999999998,177.05859375,"[23, 26, 27, 12, 27]",7,3,153,4
16,45.4,187.6328125,"[23, 26, 27, 26, 27]",7,3,166,4
17,46.4,188.40234375,"[23, 26, 27, 26, 27]",7,3,177,4
18,42.5,194.3046875,"[23, 26, 27, 26, 13]",7,3,189,4
19,38.5,194.9765625,"[23, 26, 27, 26, 13]",7,3,197,4
20,43.5,195.7890625,"[23, 26, 27, 26, 13]",7,3,206,4
21,50.400000000000006,197.375,"[23, 26, 27, 26, 13]",7,3,216,4
22,39.5,197.48046875,"[23, 26, 27, 26, 13]",7,3,226,4
23,38.5,197.671875,"[23, 26, 27, 26, 13]",7,3,235,4
24,41.5,198.59375,"[23, 26, 27, 26, 13]",7,3,245,4
25,35.6,199.25390625,"[23, 26, 27, 26, 13]",7,3,254,4
26,31.6,199.9140625,"[23, 26, 27, 26, 13]",7,3,265,4
27,35.5,202.12890625,"[23, 26, 27, 26, 13]",7,3,275,4
28,33.6,203.0859375,"[23, 26, 27, 26, 13]",7,3,283,4
29,37.5,204.39453125,"[23, 26, 27, 26, 13]",7,3,293,4
30,34.6,205.00390625,"[23, 26, 27, 26, 13]",7,3,303,4
31,34.6,206.09375,"[23, 26, 27, 26, 13]",7,3,314,4
32,38.5,206.265625,"[23, 26, 27, 26, 13]",7,3,326,4
33,34.6,207.69921875,"[23, 26, 27, 26, 13]",7,3,335,4
34,54.3,226.50390625,"[23, 26, 27, 12, 13]",7,3,353,4
35,25.7,229.1015625,"[23, 26, 27, 12, 13]",7,3,365,4
36,27.5,233.29296875,"[23, 26, 27, 12, 13]",7,3,375,4
37,39.4,242.96484375,"[23, 26, 27, 12, 13]",7,3,389,4
38,82.80000000000001,280.15234375,"[23, 26, 27, 12, 27]",7,3,409,4
39,137.0,311.64453125,"[23, 26, 27, 12, 27]",7,3,433,4
40,102.4,347.2265625,"[23, 26, 27, 12, 27]",7,3,456,4
41,102.5,380.078125,"[23, 26, 27, 12, 27]",7,3,494,4
42,109.4,414.5234375,"[23, 26, 27, 12, 27]",7,3,546,4
43,142.9,455.00390625,"[23, 26, 27, 10, 13]",7,3,569,4
44,171.5,491.1953125,"[23, 26, 27, 27, 13]",7,3,596,4
45,185.6,535.9765625,"[23, 26, 27, 27, 13]",7,3,626,4
46,180.2,580.54296875,"[23, 26, 27, 27, 13]",7,3,645,4
47,176.39999999999998,618.73828125,"[23, 26, 27, 31, 13]",7,3,668,4
48,147.9,655.47265625,"[23, 26, 27, 31, 13]",7,3,690,4
49,152.8,708.5703125,"[23, 26, 27, 27, 13]",7,3,714,4
50,136.9,753.05078125,"[23, 26, 27, 27, 13]",7,3,737,4
51,141.9,790.57421875,"[23, 26, 27, 14, 13]",7,3,758,4
52,137.1,831.78515625,"[23, 26, 27, 30, 13]",7,3,779,4
53,113.39999999999999,865.3984375,"[23, 26, 27, 11, 13]",7,3,796,4
54,138.9,913.6015625,"[23, 26, 27, 26, 13]",7,3,816,4
55,177.3,966.8828125,"[23, 26, 27, 29, 13]",7,3,850,4
56,136.9,1004.078125,"[23, 26, 27, 9, 13]",7,3,871,4
57,129.2,1042.18359375,"[23, 26, 27, 30, 13]",7,3,894,4
58,122.1,1066.12109375,"[23, 26, 27, 14, 13]",7,3,925,4
59,110.5,1091.75,"[23, 26, 27, 14, 27]",7,3,941,4
60,74.0,1122.27734375,"[23, 26, 27, 14, 27]",7,3,963,4
61,37.400000000000006,1138.25390625,"[23, 26, 27, 14, 27]",7,3,973,4
62,48.3,1157.01953125,"[23, 26, 27, 14, 27]",7,3,989,4
63,42.5,1173.7421875,"[23, 26, 27, 14, 27]",7,3,1000,4
