  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
16:06:49    122.03      0.00
16:06:50    122.15      0.00
16:06:51    122.17      0.00
16:06:52    121.40      0.00
16:06:53    122.90      0.00
16:06:54    122.00      0.00
16:06:55    122.15      0.00
16:06:56    122.04      0.00
16:06:57    122.08      0.00
16:06:58    121.97      0.00
16:06:59    121.22      0.00
16:07:00    122.84      0.00
16:07:01    122.10      0.00
16:07:02    120.81      0.00
16:07:03    123.48      0.00
16:07:04    120.79      0.00
16:07:05    122.92      0.00
16:07:06    122.53      0.00
16:07:07    121.21      0.00
16:07:08    121.75      0.00
16:07:09    122.78      0.00
16:07:10    121.53      0.00
16:07:11    122.80      0.00
16:07:12    122.15      0.00
16:07:13    121.87      0.00
16:07:14    122.43      0.00
16:07:15    121.77      0.00
16:07:16    121.42      0.00
16:07:17    122.17      0.00
16:07:18    122.87      0.00
16:07:19    122.12      0.00
16:07:20    121.35      0.00
16:07:21    122.59      0.00
16:07:22    121.72      0.00
16:07:23    121.92      0.00
16:07:24    122.29      0.00
16:07:25    122.45      0.00
16:07:26    121.75      0.00
16:07:27    121.66      0.00
16:07:28    122.22      0.00
16:07:29    121.79      0.00
16:07:30    122.76      0.00
16:07:31    121.93      0.00
16:07:32    122.44      0.00
16:07:33    121.54      0.00
16:07:34    122.47      0.00
16:07:35    121.45      0.00
16:07:36    122.24      0.00
16:07:37    122.83      0.00
16:07:38    122.12      0.00
16:07:39    121.18      0.00
16:07:40    122.08      0.00
16:07:41    122.27      0.00
16:07:42    122.81      0.00
16:07:43    121.57      0.00
16:07:44    121.46      0.00
16:07:45    123.15      0.00
16:07:46    121.32      0.00
16:07:47    122.78      0.00
16:07:48    121.26      0.00
16:07:49    122.27      0.00
16:07:50    122.65      0.00
16:07:51    121.42      0.00
16:07:52    122.42      0.00
16:07:53    122.05      0.00
16:07:54    121.59      0.00
16:07:55    122.19      0.00
16:07:56    123.00      0.00
16:07:57    121.88      0.00
16:07:58    122.21      0.00
16:07:59    122.27      0.00
16:08:00    121.91      0.00
16:08:01    121.55      0.00
16:08:02    122.31      0.00
16:08:03    121.63      0.00
16:08:04    122.70      0.00
16:08:05    121.84      0.00
16:08:06    122.62      0.00
16:08:07    120.92      0.00
16:08:08    123.22      0.00
16:08:09    121.21      0.00
16:08:10    122.24      0.00
16:08:11    121.52      0.00
16:08:12    121.95      0.00
16:08:13    123.04      0.00
16:08:14    121.23      0.00
16:08:15    122.24      0.00
16:08:16    123.07      0.00
16:08:17    121.90      0.00
16:08:18    121.80      0.00
16:08:19    121.28      0.00
16:08:20    122.07      0.00
16:08:21    122.35      0.00
16:08:22    121.94      0.00
16:08:23    123.40      0.00
16:08:24    121.76      0.00
16:08:25    122.45      0.00
16:08:26    122.12      0.00
16:08:27    120.84      0.00
16:08:28    122.81      0.00
16:08:29    122.53      0.00
16:08:30    121.62      0.00
16:08:31    122.53      0.00
16:08:32    120.67      0.00
16:08:33    122.76      0.00
16:08:34    122.81      0.00
16:08:35    121.12      0.00
16:08:36    122.67      0.00
16:08:37    121.04      0.00
16:08:38    122.23      0.00
16:08:39    122.06      0.00
16:08:40    123.20      0.00
16:08:41    120.92      0.00
16:08:42    123.27      0.00
16:08:43    121.05      0.00
16:08:44    122.52      0.00
16:08:45    122.41      0.00
16:08:46    121.13      0.00
16:08:47    123.21      0.00
16:08:48    121.86      0.00
16:08:49    121.80      0.00
16:08:50    122.33      0.00
16:08:51    122.62      0.00
16:08:52    120.77      0.00
16:08:53    122.51      0.00
16:08:54    122.92      0.00
16:08:55    121.91      0.00
16:08:56    122.24      0.00
16:08:57    122.03      0.00
16:08:58    122.01      0.00
16:08:59    122.16      0.00
16:09:00    120.85      0.00
16:09:01    122.50      0.00
16:09:02    121.70      0.00
16:09:03    123.09      0.00
16:09:04    122.06      0.00
16:09:05    122.20      0.00
16:09:06    121.68      0.00
16:09:07    121.69      0.00
16:09:08    121.64      0.00
16:09:09    122.12      0.00
16:09:10    122.48      0.00
16:09:11    122.78      0.00
16:09:12    120.81      0.00
16:09:13    123.37      0.00
16:09:14    120.64      0.00
16:09:15    123.51      0.00
16:09:16    121.78      0.00
16:09:17    121.74      0.00
16:09:18    122.71      0.00
16:09:19    121.23      0.00
16:09:20    121.62      0.00
16:09:21    122.66      0.00
16:09:22    122.85      0.00
16:09:23    120.87      0.00
16:09:24    123.34      0.00
16:09:25    121.22      0.00
16:09:26    122.31      0.00
16:09:27    122.30      0.00
16:09:28    122.01      0.00
16:09:29    122.07      0.00
16:09:30    122.01      0.00
16:09:31    122.01      0.00
16:09:32    122.58      0.00
16:09:33    121.81      0.00
16:09:34    122.08      0.00
16:09:35    121.16      0.00
16:09:36    122.57      0.00
16:09:37    122.74      0.00
16:09:38    122.19      0.00
16:09:39    121.79      0.00
16:09:40    121.68      0.00
16:09:41    121.79      0.00
16:09:42    121.79      0.00
16:09:43    123.13      0.00
16:09:44    121.84      0.00
16:09:45    121.51      0.00
16:09:46    121.76      0.00
16:09:47    122.51      0.00
16:09:48    121.65      0.00
16:09:49    122.92      0.00
16:09:50    121.38      0.00
16:09:51    122.58      0.00
16:09:52    122.91      0.00
