Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.53515625,[22],1,1,4,0
2,0.0,30.7265625,"[22, 27]",2,2,525,1
3,64.3,33.3046875,"[22, 11]",2,2,1060,1
4,68.2,35.109375,"[22, 11]",2,2,1591,1
5,73.1,36.65625,"[22, 11]",2,2,2128,1
6,89.0,44.1328125,"[22, 11]",2,2,2484,1
7,99.9,50.578125,"[22, 11]",2,2,2486,1
8,99.9,51.609375,"[22, 13]",2,2,2490,1
9,99.9,54.4453125,"[22, 13]",2,2,2493,1
10,100.8,57.5390625,"[22, 13]",2,2,2495,1
11,99.9,58.3125,"[22, 13]",2,2,2497,1
12,99.9,58.5703125,"[22, 13]",2,2,2499,1
13,99.9,69.65625,"[22, 13]",2,2,2509,1
14,99.9,73.265625,"[22, 13]",2,2,2511,1
15,99.8,75.328125,"[22, 29]",2,2,2513,1
16,99.8,85.3828125,"[22, 13]",2,2,2516,1
17,99.9,85.640625,"[22, 13]",2,2,2518,1
18,100.9,85.640625,"[22, 13]",2,2,2521,1
19,99.9,85.640625,"[22, 29]",2,2,2524,1
20,99.9,85.640625,"[22, 29]",2,2,2525,1
21,99.9,85.640625,"[22, 29]",2,2,2526,1
22,98.9,85.640625,"[22, 13]",2,2,2527,1
23,100.9,85.640625,"[22, 13]",2,2,2528,1
24,99.9,85.640625,"[22, 13]",2,2,2529,1
25,100.9,85.640625,"[22, 13]",2,2,2533,1
26,98.9,85.640625,"[22, 29]",2,2,2538,1
27,100.8,85.640625,"[22, 29]",2,2,2539,1
28,99.9,85.640625,"[22, 29]",2,2,2539,1
29,99.9,85.640625,"[22, 29]",2,2,2542,1
30,99.9,85.640625,"[22, 13]",2,2,2545,1
31,98.9,85.640625,"[22, 13]",2,2,2546,1
32,100.9,85.640625,"[22, 13]",2,2,2547,1
33,99.9,85.640625,"[22, 13]",2,2,2549,1
34,100.8,85.640625,"[22, 13]",2,2,2554,1
35,99.8,85.640625,"[22, 13]",2,2,2555,1
36,98.9,88.21875,"[22, 8]",2,2,2557,1
37,100.7,88.4765625,"[22, 24]",2,2,2561,1
38,99.7,110.6484375,"[22, 24]",2,2,2583,1
39,98.8,129.984375,"[22, 24]",2,2,2600,1
40,100.7,152.4140625,"[22, 24]",2,2,2617,1
41,98.7,167.8828125,"[22, 24]",2,2,2627,1
42,100.7,183.09375,"[22, 24]",2,2,2639,1
43,99.7,194.6953125,"[22, 8]",2,2,2648,1
44,99.7,198.8203125,"[22, 24]",2,2,2666,1
45,100.7,198.8203125,"[22, 24]",2,2,2692,1
46,98.7,198.8203125,"[22, 29]",2,2,2712,1
47,100.6,198.8203125,"[22, 13]",2,2,2723,1
48,98.7,198.8203125,"[22, 29]",2,2,2739,1
49,100.6,198.8203125,"[22, 13]",2,2,2754,1
50,99.7,198.8203125,"[22, 13]",2,2,2777,1
51,99.7,198.8203125,"[22, 29]",2,2,2792,1
52,99.7,198.8203125,"[22, 13]",2,2,2805,1
53,100.8,198.8203125,"[22, 13]",2,2,2816,1
54,99.7,198.8203125,"[22, 13]",2,2,2827,1
55,99.7,198.8203125,"[22, 13]",2,2,2842,1
56,99.7,198.8203125,"[22, 29]",2,2,2854,1
57,99.6,198.8203125,"[22, 13]",2,2,2870,1
58,100.7,198.8203125,"[22, 13]",2,2,2886,1
59,99.7,198.8203125,"[22, 13]",2,2,2897,1
60,99.8,198.8203125,"[22, 13]",2,2,2902,1
61,99.8,198.8203125,"[22, 13]",2,2,2904,1
62,99.8,198.8203125,"[22, 13]",2,2,2909,1
63,99.9,198.8203125,"[22, 13]",2,2,2913,1
64,99.8,198.8203125,"[22, 13]",2,2,2917,1
65,100.9,198.8203125,"[22, 29]",2,2,2920,1
66,98.9,198.8203125,"[22, 29]",2,2,2921,1
67,100.8,198.8203125,"[22, 29]",2,2,2923,1
68,99.8,198.8203125,"[22, 13]",2,2,2925,1
69,99.9,198.8203125,"[22, 13]",2,2,2925,1
70,99.9,198.8203125,"[22, 13]",2,2,2927,1
71,99.9,198.8203125,"[22, 13]",2,2,2929,1
72,100.8,198.75,"[22, 13]",2,2,2932,1
73,99.9,198.75,"[22, 13]",2,2,2935,1
74,99.8,198.75,"[22, 13]",2,2,2938,1
75,99.9,198.75,"[22, 13]",2,2,2941,1
76,99.9,198.75,"[22, 29]",2,2,2946,1
77,99.9,198.75,"[22, 29]",2,2,2946,1
78,99.9,198.75,"[22, 13]",2,2,2951,1
79,99.9,198.75,"[22, 13]",2,2,2952,1
80,99.8,198.74609375,"[22, 13]",2,2,2958,1
81,99.9,198.74609375,"[22, 13]",2,2,2961,1
82,100.9,198.73828125,"[22, 29]",2,2,2962,1
83,98.8,198.73828125,"[22, 13]",2,2,2965,1
84,100.9,198.73828125,"[22, 13]",2,2,2969,1
85,99.8,198.73828125,"[22, 29]",2,2,2973,1
86,99.8,198.73828125,"[22, 29]",2,2,2974,1
87,99.8,198.73828125,"[22, 29]",2,2,2974,1
88,99.8,198.73828125,"[22, 29]",2,2,2976,1
89,99.8,196.171875,"[22, 29]",2,2,2977,1
90,100.9,196.171875,"[22, 29]",2,2,2978,1
91,100.9,196.171875,"[22, 29]",2,2,2980,1
92,98.8,190.6015625,"[22, 29]",2,2,2983,1
93,99.9,190.6015625,"[22, 13]",2,2,2985,1
94,100.8,190.59765625,"[22, 13]",2,2,2986,1
95,99.7,190.59765625,"[22, 29]",2,2,3005,1
96,99.7,190.59765625,"[22, 29]",2,2,3012,1
97,99.7,190.59765625,"[22, 29]",2,2,3012,1
98,99.9,190.59765625,"[22, 29]",2,2,3014,1
99,100.7,190.59765625,"[22, 29]",2,2,3025,1
100,99.7,190.59765625,"[22, 29]",2,2,3041,1
101,100.7,190.59765625,"[22, 13]",2,2,3047,1
102,98.8,190.59765625,"[22, 13]",2,2,3055,1
103,99.7,190.59765625,"[22, 29]",2,2,3065,1
104,100.6,190.59375,"[22, 29]",2,2,3077,1
105,99.7,190.59375,"[22, 29]",2,2,3090,1
106,99.7,190.59375,"[22, 14]",2,2,3113,1
