  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
16:49:19  12207.35      0.00
16:49:20  12206.84      0.00
16:49:21  12206.46      0.00
16:49:22  12208.08      0.00
16:49:23  12206.13      0.00
16:49:24  12206.87      0.00
16:49:25  12207.29      0.00
16:49:26  12207.42      0.00
16:49:27  12206.62      0.00
16:49:28  12207.04      0.00
16:49:29  12208.11      0.00
16:49:30  12205.85      0.00
16:49:31  12207.03      0.00
16:49:32  12208.09      0.00
16:49:33  12206.38      0.00
16:49:34  12207.64      0.00
16:49:35  12206.49      0.00
16:49:36  12206.62      0.00
16:49:37  12207.61      0.00
16:49:38  12206.36      0.00
16:49:39  12207.46      0.00
16:49:40  12206.66      0.00
16:49:41  12207.09      0.00
16:49:42  12207.01      0.00
16:49:43  12206.62      0.00
16:49:44  12208.02      0.00
16:49:45  12206.79      0.00
16:49:46  12207.37      0.00
16:49:47  12207.13      0.00
16:49:48  12207.15      0.00
16:49:49  12207.06      0.00
16:49:50  12206.26      0.00
16:49:51  12207.34      0.00
16:49:52  12207.54      0.00
16:49:53  12206.31      0.00
16:49:54  12207.44      0.00
16:49:55  12206.74      0.00
16:49:56  12207.41      0.00
16:49:57  12206.54      0.00
16:49:58  12207.03      0.00
16:49:59  12207.55      0.00
16:50:00  12207.28      0.00
16:50:01  12207.31      0.00
16:50:02  12206.11      0.00
16:50:03  12207.02      0.00
16:50:04  12206.54      0.00
16:50:05  12207.06      0.00
16:50:06  12207.28      0.00
16:50:07  12207.52      0.00
16:50:08  12206.56      0.00
16:50:09  12206.78      0.00
16:50:10  12208.42      0.00
16:50:11  12206.27      0.00
16:50:12  12207.03      0.00
16:50:13  12207.67      0.00
16:50:14  12206.76      0.00
16:50:15  12206.88      0.00
16:50:16  12206.10      0.00
16:50:17  12208.16      0.00
16:50:18  12207.37      0.00
16:50:19  12206.60      0.00
16:50:20  12207.45      0.00
16:50:21  12205.88      0.00
16:50:22  12207.52      0.00
16:50:23  12206.93      0.00
16:50:24  12207.88      0.00
16:50:25  12206.47      0.00
16:50:26  12207.29      0.00
16:50:27  12207.11      0.00
16:50:28  12206.33      0.00
16:50:29  12206.77      0.00
16:50:30  12206.97      0.00
16:50:31  12207.10      0.00
16:50:32  12208.36      0.00
16:50:33  12206.39      0.00
16:50:34  12206.77      0.00
16:50:35  12207.94      0.00
16:50:36  12206.51      0.00
16:50:37  12207.07      0.00
16:50:38  12206.21      0.00
16:50:39  12207.82      0.00
16:50:40  12206.41      0.00
16:50:41  12207.63      0.00
16:50:42  12206.39      0.00
16:50:43  12207.26      0.00
16:50:44  12206.82      0.00
16:50:45  12206.99      0.00
16:50:46  12207.46      0.00
16:50:47  12207.36      0.00
16:50:48  12207.45      0.00
16:50:49  12205.73      0.00
16:50:50  12207.66      0.00
16:50:51  12207.16      0.00
16:50:52  12207.79      0.00
16:50:53  12206.48      0.00
16:50:54  12206.46      0.00
16:50:55  12207.98      0.00
16:50:56  12206.71      0.00
16:50:57  12206.24      0.00
16:50:58  12208.11      0.00
16:50:59  12207.03      0.00
16:51:01  12206.14      0.00
16:51:02  12208.04      0.00
16:51:03  12207.14      0.00
16:51:04  12206.12      0.00
16:51:05  12207.38      0.00
16:51:06  12207.41      0.00
16:51:07  12206.68      0.00
16:51:08  12206.17      0.00
16:51:09  12207.60      0.00
16:51:10  12206.71      0.00
16:51:11  12207.26      0.00
16:51:12  12206.64      0.00
16:51:13  12207.63      0.00
16:51:14  12206.91      0.00
16:51:15  12206.67      0.00
16:51:16  12207.78      0.00
16:51:17  12206.78      0.00
16:51:18  12207.59      0.00
16:51:19  12206.06      0.00
16:51:20  12207.26      0.00
16:51:21  12207.09      0.00
16:51:22  12206.43      0.00
16:51:23  12207.40      0.00
16:51:24  12207.75      0.00
16:51:25  12206.77      0.00
16:51:26  12207.69      0.00
16:51:27  12205.66      0.00
16:51:28  12208.09      0.00
16:51:29  12206.49      0.00
16:51:30  12207.82      0.00
16:51:31  12206.13      0.00
16:51:32  12206.89      0.00
16:51:33  12207.37      0.00
16:51:34  12207.61      0.00
16:51:35  12206.71      0.00
16:51:36  12206.81      0.00
16:51:37  12207.39      0.00
16:51:38  12207.49      0.00
16:51:39  12205.97      0.00
16:51:40  12207.13      0.00
16:51:41  12207.74      0.00
16:51:42  12206.32      0.00
16:51:43  12207.00      0.00
16:51:44  12207.52      0.00
16:51:45  12206.71      0.00
16:51:46  12206.77      0.00
16:51:47  12207.80      0.00
16:51:48  12206.10      0.00
16:51:49  12208.28      0.00
