Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.421875,[1],1,0,4,0
2,0.0,1505.390625,"[1, 0, 3, 4, 6, 8, 10, 13, 14, 16, 18, 20, 23, 24, 26, 28, 31, 1, 2, 4, 7, 9, 11, 12, 15, 16, 19, 21, 22, 25, 27, 28, 30]",34,0,408,32
3,91.2,1538.15234375,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 23, 24, 26, 29, 31, 1, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 22, 25, 27, 28, 30]",34,0,926,32
4,90.3,1538.15234375,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 26, 29, 31, 1, 2, 4, 7, 9, 10, 13, 15, 16, 19, 21, 22, 24, 27, 28, 30]",34,0,1472,32
5,95.2,1538.37890625,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 26, 29, 31, 1, 2, 4, 7, 9, 10, 13, 15, 16, 19, 21, 22, 24, 27, 28, 30]",34,0,2010,32
6,97.2,1539.64453125,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 26, 29, 31, 1, 2, 4, 7, 9, 10, 13, 15, 16, 19, 21, 23, 25, 27, 28, 30]",34,0,2529,32
7,106.10000000000001,1542.109375,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 26, 29, 31, 1, 2, 4, 7, 9, 10, 13, 15, 16, 19, 21, 23, 25, 27, 28, 30]",34,0,3039,32
8,95.2,1542.109375,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 26, 29, 31, 1, 2, 4, 6, 9, 10, 13, 15, 16, 19, 21, 23, 25, 27, 28, 30]",34,0,3583,32
9,101.2,1542.3671875,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31, 1, 2, 4, 6, 9, 10, 13, 15, 17, 19, 21, 23, 25, 26, 28, 30]",34,0,3965,32
10,114.9,1542.87890625,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31, 1, 2, 4, 6, 9, 10, 13, 15, 17, 19, 21, 23, 25, 26, 28, 30]",34,0,4106,32
11,108.0,1543.90234375,"[1, 0, 3, 4, 6, 8, 11, 13, 14, 17, 18, 20, 22, 24, 27, 29, 31, 1, 2, 4, 6, 9, 10, 13, 15, 17, 19, 21, 23, 25, 26, 28, 30]",34,0,4237,32
12,108.0,1546.72265625,"[1, 0, 3, 4, 7, 8, 11, 13, 14, 16, 18, 20, 22, 24, 27, 29, 31, 1, 2, 4, 6, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",34,0,4376,32
13,169.3,1558.66796875,"[1, 0, 3, 4, 7, 8, 10, 12, 15, 16, 18, 20, 22, 25, 27, 29, 31, 1, 2, 4, 6, 9, 11, 13, 15, 16, 19, 21, 23, 24, 27, 28, 30]",34,0,4652,32
14,122.8,1565.625,"[1, 0, 3, 4, 7, 8, 10, 12, 15, 16, 18, 20, 22, 25, 27, 29, 31, 1, 2, 4, 6, 9, 11, 13, 15, 16, 19, 21, 23, 24, 27, 28, 30]",34,0,5108,32
15,112.0,1566.75,"[1, 0, 3, 4, 7, 8, 10, 12, 15, 16, 18, 20, 22, 25, 27, 29, 31, 1, 2, 4, 6, 9, 11, 13, 15, 16, 19, 21, 23, 24, 27, 28, 30]",34,0,5562,32
16,172.60000000000002,1580.671875,"[1, 0, 3, 4, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,6011,32
17,107.2,1582.58203125,"[1, 0, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,6524,32
18,95.3,1584.40625,"[1, 0, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,7040,32
19,100.2,1585.71875,"[1, 0, 3, 4, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,7573,32
20,94.3,1587.28125,"[1, 0, 3, 4, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 4, 6, 9, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,8098,32
21,91.3,1587.28125,"[1, 0, 3, 4, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 4, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,8643,32
22,89.3,1587.5390625,"[1, 0, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,9199,32
23,89.2,1587.5625,"[1, 0, 3, 5, 7, 9, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,9737,32
24,93.2,1589.1640625,"[1, 0, 3, 5, 7, 9, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",34,0,10268,32
25,100.2,1590.19921875,"[1, 0, 3, 5, 7, 9, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 26, 29, 31]",34,0,10786,32
26,100.2,1590.98046875,"[1, 0, 2, 5, 7, 9, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 27, 29, 31]",34,0,11293,32
27,102.10000000000001,1594.04296875,"[1, 0, 2, 5, 7, 9, 10, 12, 14, 16, 18, 20, 22, 25, 27, 29, 30, 0, 2, 5, 6, 8, 10, 13, 14, 16, 19, 21, 23, 24, 27, 29, 31]",34,0,11743,32
