  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
13:33:36   1219.87      0.00
13:33:37   1220.42      0.00
13:33:38   1221.69      0.00
13:33:39   1219.78      0.00
13:33:40   1221.65      0.00
13:33:41   1219.45      0.00
13:33:42   1221.93      0.00
13:33:43   1219.63      0.00
13:33:44   1221.27      0.00
13:33:45   1220.10      0.00
13:33:46   1221.78      0.00
13:33:47   1220.63      0.00
13:33:48   1219.96      0.00
13:33:49   1220.98      0.00
13:33:50   1221.52      0.00
13:33:51   1220.59      0.00
13:33:52   1220.04      0.00
13:33:53   1221.60      0.00
13:33:54   1220.55      0.00
13:33:55   1219.74      0.00
13:33:56   1220.63      0.00
13:33:57   1221.61      0.00
13:33:58   1220.86      0.00
13:33:59   1220.57      0.00
13:34:00   1219.76      0.00
13:34:01   1221.96      0.00
13:34:02   1220.74      0.00
13:34:03   1220.38      0.00
13:34:04   1220.98      0.00
13:34:05   1220.33      0.00
13:34:06   1221.12      0.00
13:34:07   1220.59      0.00
13:34:08   1220.65      0.00
13:34:09   1219.81      0.00
13:34:10   1221.20      0.00
13:34:11   1220.54      0.00
13:34:12   1221.16      0.00
13:34:13   1220.14      0.00
13:34:14   1221.46      0.00
13:34:15   1219.55      0.00
13:34:16   1220.48      0.00
13:34:17   1221.87      0.00
13:34:18   1220.45      0.00
13:34:19   1221.49      0.00
13:34:20   1219.60      0.00
13:34:21   1221.38      0.00
13:34:22   1220.42      0.00
13:34:23   1221.25      0.00
13:34:24   1220.11      0.00
13:34:25   1220.47      0.00
13:34:26   1220.74      0.00
13:34:27   1220.90      0.00
13:34:28   1221.30      0.00
13:34:29   1220.70      0.00
13:34:30   1220.79      0.00
13:34:31   1220.60      0.00
13:34:32   1219.96      0.00
13:34:33   1221.24      0.00
13:34:34   1219.64      0.00
13:34:35   1220.85      0.00
13:34:36   1221.41      0.00
13:34:37   1219.92      0.00
13:34:38   1222.07      0.00
13:34:39   1220.33      0.00
13:34:40   1219.88      0.00
13:34:41   1221.70      0.00
13:34:42   1220.89      0.00
13:34:43   1220.58      0.00
13:34:44   1220.52      0.00
13:34:45   1220.15      0.00
13:34:46   1220.89      0.00
13:34:47   1221.23      0.00
13:34:48   1220.74      0.00
13:34:49   1220.61      0.00
13:34:50   1220.66      0.00
13:34:51   1220.86      0.00
13:34:52   1219.73      0.00
13:34:53   1221.14      0.00
13:34:54   1220.72      0.00
13:34:55   1220.16      0.00
13:34:56   1221.58      0.00
13:34:57   1220.37      0.00
13:34:58   1220.83      0.00
13:34:59   1221.33      0.00
13:35:00   1219.62      0.00
13:35:01   1221.89      0.00
13:35:02   1220.47      0.00
13:35:03   1220.71      0.00
13:35:04   1220.40      0.00
13:35:05   1220.16      0.00
13:35:06   1221.18      0.00
13:35:07   1221.34      0.00
13:35:08   1219.29      0.00
13:35:09   1220.73      0.00
13:35:10   1221.10      0.00
13:35:11   1221.53      0.00
13:35:12   1220.71      0.00
13:35:13   1219.89      0.00
13:35:14   1221.43      0.00
13:35:15   1219.76      0.00
13:35:16   1221.26      0.00
13:35:17   1221.01      0.00
13:35:18   1220.38      0.00
13:35:19   1221.39      0.00
13:35:20   1219.55      0.00
13:35:21   1221.11      0.00
13:35:22   1220.78      0.00
13:35:23   1220.60      0.00
13:35:24   1221.59      0.00
13:35:25   1220.39      0.00
13:35:26   1220.84      0.00
13:35:27   1219.73      0.00
13:35:28   1221.53      0.00
13:35:29   1221.07      0.00
13:35:30   1220.53      0.00
13:35:31   1219.70      0.00
13:35:32   1221.92      0.00
13:35:33   1219.64      0.00
13:35:34   1220.45      0.00
13:35:35   1220.72      0.00
13:35:36   1220.90      0.00
13:35:37   1221.08      0.00
13:35:38   1221.21      0.00
13:35:39   1219.56      0.00
13:35:40   1221.71      0.00
13:35:41   1219.85      0.00
13:35:42   1221.18      0.00
13:35:43   1220.91      0.00
13:35:44   1221.10      0.00
13:35:45   1220.53      0.00
13:35:46   1220.29      0.00
13:35:47   1220.69      0.00
13:35:48   1221.42      0.00
13:35:49   1220.49      0.00
13:35:50   1220.17      0.00
13:35:51   1220.47      0.00
13:35:52   1221.92      0.00
13:35:53   1219.60      0.00
13:35:54   1220.50      0.00
13:35:55   1222.02      0.00
13:35:56   1219.83      0.00
13:35:57   1221.42      0.00
13:35:58   1220.65      0.00
13:35:59   1220.05      0.00
13:36:00   1221.40      0.00
13:36:01   1220.90      0.00
13:36:02   1220.30      0.00
