Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.41796875,[2],1,0,3,0
2,0.0,1493.62890625,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 30]",34,0,141,32
3,0.0,1533.3359375,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,166,32
4,0.0,1535.88671875,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,195,32
5,0.0,1537.171875,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,219,32
6,0.0,1537.8125,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,250,32
7,0.0,1538.96484375,"[2, 0, 2, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,279,32
8,1.0,1539.3828125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,309,32
9,1.0,1539.3828125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,335,32
10,0.0,1539.3828125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,365,32
11,2.0,1539.3828125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,395,32
12,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,402,32
13,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,423,32
14,3.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,448,32
15,1.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,467,32
16,1.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,469,32
17,2.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,499,32
18,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,513,32
19,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,516,32
20,1.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,520,32
21,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,522,32
22,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,524,32
23,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,525,32
24,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,528,32
25,0.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,529,32
26,1.0,1539.39453125,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,554,32
27,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 31, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,583,32
28,3.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,626,32
29,3.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 2, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,658,32
30,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,665,32
31,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,668,32
32,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,671,32
33,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,674,32
34,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,677,32
35,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,680,32
36,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,685,32
37,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,688,32
38,1.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,691,32
39,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,694,32
40,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,697,32
41,0.0,1539.3984375,"[2, 0, 3, 5, 6, 8, 10, 12, 14, 17, 18, 20, 22, 24, 27, 28, 30, 0, 3, 4, 7, 9, 11, 13, 15, 16, 19, 21, 23, 25, 26, 29, 31]",34,0,700,32
