Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,21.71484375,[0],1,8,1,0
2,35.5,98.1796875,[0],4,7,3,0
3,25.6,104.8828125,[0],4,7,4,0
4,24.7,109.78125,[0],4,7,5,0
5,24.6,116.13671875,[0],4,7,6,0
6,29.6,135.3671875,[2],4,7,8,0
7,28.6,158.375,[2],4,7,9,0
8,24.7,162.15625,[2],4,7,10,0
9,25.6,171.9765625,[2],4,7,11,0
10,26.6,182.984375,[2],4,7,12,0
11,24.7,187.84375,[2],4,7,13,0
12,32.5,234.6875,[2],4,7,14,0
13,48.4,382.7890625,[2],4,7,15,0
14,31.5,420.2109375,[2],4,7,16,0
15,28.6,435.49609375,[2],4,7,17,0
16,54.3,585.01953125,[2],4,7,18,0
17,24.7,593.41796875,[2],4,7,19,0
18,29.6,619.61328125,[2],4,7,20,0
19,23.7,620.84375,[2],4,7,21,0
20,25.7,631.27734375,[2],4,7,22,0
21,24.7,633.5625,[2],4,7,23,0
22,22.7,634.30859375,[2],4,7,24,0
23,23.7,638.92578125,[2],4,7,25,0
24,27.7,660.96875,[2],4,7,26,0
25,27.7,683.23828125,[2],4,7,27,0
26,26.7,692.15625,[2],4,7,28,0
27,30.6,722.59765625,[2],4,7,29,0
28,27.6,733.6875,[2],4,7,30,0
29,27.7,752.15234375,[2],4,7,31,0
30,25.7,761.2734375,[2],4,7,32,0
31,27.7,778.09375,[2],4,7,33,0
32,24.7,780.86328125,[2],4,7,34,0
33,27.7,799.8203125,[2],4,7,35,0
34,68.1,1086.16015625,[2],4,7,36,0
35,32.6,1124.5546875,[2],4,7,37,0
36,37.5,1188.8515625,[2],4,7,38,0
37,43.4,1303.99609375,[2],4,7,39,0
38,100.5,1771.6953125,[2],4,7,40,0
39,96.7,2194.39453125,[2],4,7,41,0
40,100.6,2648.4765625,[2],4,7,42,0
41,99.6,3095.1484375,[2],4,7,43,0
42,100.6,3568.703125,[2],4,7,44,0
43,92.7,3942.12890625,[2],4,7,45,0
44,96.6,4340.4921875,[2],4,7,46,0
45,99.6,4762.69140625,[2],4,7,47,0
46,99.6,5178.29296875,[2],4,7,48,0
47,99.7,5585.4296875,[2],4,7,49,0
48,98.6,6041.8671875,[2],4,7,50,0
49,100.6,6577.03125,[2],4,7,51,0
50,97.6,7053.61328125,[2],4,7,52,0
51,96.6,7480.9375,[2],4,7,53,0
52,93.7,7899.0,[2],4,7,54,0
53,77.9,8196.80859375,[2],4,7,55,0
54,78.9,8529.609375,[2],4,7,56,0
55,99.6,9044.078125,[2],4,7,57,0
56,86.8,9421.42578125,[2],4,7,58,0
57,95.7,9883.98046875,[2],4,7,59,0
58,72.0,10182.4375,[2],4,7,60,0
59,73.0,10488.140625,[2],4,7,61,0
60,42.4,10585.671875,[2],4,7,62,0
