  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
18:42:18   1219.59      0.00
18:42:19   1221.81      0.00
18:42:20   1220.65      0.00
18:42:21   1219.69      0.00
18:42:22   1220.73      0.00
18:42:23   1220.73      0.00
18:42:24   1221.23      0.00
18:42:25   1220.59      0.00
18:42:26   1220.62      0.00
18:42:27   1221.13      0.00
18:42:28   1220.98      0.00
18:42:29   1220.64      0.00
18:42:30   1220.14      0.00
18:42:31   1220.74      0.00
18:42:32   1220.35      0.00
18:42:33   1221.79      0.00
18:42:34   1220.48      0.00
18:42:35   1221.19      0.00
18:42:36   1220.29      0.00
18:42:37   1220.49      0.00
18:42:38   1220.06      0.00
18:42:39   1221.42      0.00
18:42:40   1220.30      0.00
18:42:41   1221.51      0.00
18:42:42   1220.31      0.00
18:42:43   1221.12      0.00
18:42:44   1220.85      0.00
18:42:45   1219.84      0.00
18:42:46   1220.88      0.00
18:42:47   1220.29      0.00
18:42:48   1221.42      0.00
18:42:49   1219.68      0.00
18:42:50   1222.06      0.00
18:42:51   1220.46      0.00
18:42:52   1220.29      0.00
18:42:53   1220.00      0.00
18:42:54   1222.30      0.00
18:42:55   1220.62      0.00
18:42:56   1220.29      0.00
18:42:57   1220.85      0.00
18:42:58   1220.19      0.00
18:42:59   1221.12      0.00
18:43:00   1220.12      0.00
18:43:01   1221.64      0.00
18:43:02   1220.06      0.00
18:43:03   1221.37      0.00
18:43:04   1219.74      0.00
18:43:05   1220.41      0.00
18:43:06   1221.78      0.00
18:43:07   1219.54      0.00
18:43:08   1221.48      0.00
18:43:09   1221.10      0.00
18:43:10   1219.67      0.00
18:43:11   1220.60      0.00
18:43:12   1220.98      0.00
18:43:13   1221.63      0.00
18:43:14   1220.17      0.00
18:43:15   1221.38      0.00
18:43:16   1219.68      0.00
18:43:17   1220.78      0.00
18:43:18   1221.38      0.00
18:43:19   1219.96      0.00
18:43:20   1220.82      0.00
18:43:21   1221.56      0.00
18:43:22   1219.88      0.00
18:43:23   1220.16      0.00
18:43:24   1221.33      0.00
18:43:25   1220.60      0.00
18:43:26   1220.71      0.00
18:43:27   1221.39      0.00
18:43:28   1220.95      0.00
18:43:29   1219.58      0.00
18:43:30   1220.73      0.00
18:43:31   1221.75      0.00
18:43:32   1220.79      0.00
18:43:33   1219.56      0.00
18:43:34   1220.85      0.00
18:43:35   1221.13      0.00
18:43:36   1220.79      0.00
18:43:37   1220.07      0.00
18:43:38   1221.52      0.00
18:43:39   1220.42      0.00
18:43:40   1220.93      0.00
18:43:41   1221.20      0.00
18:43:42   1219.62      0.00
18:43:43   1220.46      0.00
18:43:44   1220.71      0.00
18:43:45   1220.71      0.00
18:43:46   1221.82      0.00
18:43:47   1220.58      0.00
18:43:48   1220.81      0.00
18:43:49   1220.96      0.00
18:43:50   1220.57      0.00
18:43:51   1220.18      0.00
18:43:52   1220.43      0.00
18:43:53   1221.39      0.00
18:43:54   1220.13      0.00
18:43:55   1221.35      0.00
18:43:56   1221.03      0.00
18:43:57   1219.69      0.00
18:43:58   1221.24      0.00
18:43:59   1220.12      0.00
18:44:00   1220.69      0.00
18:44:01   1221.72      0.00
18:44:02   1219.69      0.00
18:44:03   1221.10      0.00
18:44:04   1221.12      0.00
18:44:05   1220.11      0.00
18:44:06   1221.64      0.00
18:44:07   1220.30      0.00
18:44:08   1220.92      0.00
18:44:09   1219.78      0.00
18:44:10   1221.81      0.00
18:44:11   1220.59      0.00
18:44:12   1220.71      0.00
18:44:13   1220.76      0.00
18:44:14   1220.64      0.00
18:44:15   1219.90      0.00
18:44:16   1220.39      0.00
18:44:17   1221.06      0.00
18:44:18   1220.61      0.00
18:44:19   1221.12      0.00
18:44:20   1221.21      0.00
18:44:21   1219.58      0.00
18:44:22   1221.78      0.00
18:44:23   1219.96      0.00
18:44:24   1221.31      0.00
18:44:25   1220.70      0.00
18:44:26   1219.82      0.00
18:44:27   1221.90      0.00
18:44:28   1220.24      0.00
18:44:29   1220.84      0.00
18:44:30   1221.04      0.00
18:44:31   1220.29      0.00
18:44:32   1220.41      0.00
18:44:33   1220.39      0.00
18:44:34   1220.92      0.00
18:44:35   1221.57      0.00
18:44:36   1220.09      0.00
18:44:37   1220.62      0.00
18:44:38   1221.48      0.00
18:44:39   1219.72      0.00
18:44:40   1220.65      0.00
18:44:41   1221.54      0.00
18:44:42   1219.88      0.00
18:44:43   1220.87      0.00
18:44:44   1220.33      0.00
18:44:45   1221.18      0.00
18:44:46   1221.14      0.00
18:44:47   1220.94      0.00
18:44:48   1220.17      0.00
18:44:49   1219.90      0.00
18:44:50   1221.79      0.00
18:44:51   1220.87      0.00
18:44:52   1220.38      0.00
18:44:53   1221.07      0.00
18:44:54   1220.77      0.00
18:44:55   1220.29      0.00
18:44:56   1221.31      0.00
18:44:57   1220.27      0.00
18:44:58   1219.95      0.00
18:44:59   1221.37      0.00
18:45:00   1220.93      0.00
18:45:01   1220.79      0.00
18:45:02   1220.35      0.00
18:45:03   1220.98      0.00
18:45:04   1219.81      0.00
18:45:05   1221.66      0.00
18:45:06   1220.78      0.00
18:45:07   1220.11      0.00
18:45:08   1221.22      0.00
18:45:09   1220.83      0.00
18:45:10   1219.82      0.00
18:45:11   1220.47      0.00
18:45:12   1221.69      0.00
18:45:13   1220.76      0.00
18:45:14   1220.87      0.00
18:45:15   1220.57      0.00
18:45:16   1219.58      0.00
18:45:17   1221.80      0.00
18:45:18   1219.68      0.00
18:45:19   1221.35      0.00
18:45:20   1219.93      0.00
18:45:21   1222.03      0.00
18:45:22   1219.71      0.00
18:45:23   1220.51      0.00
18:45:24   1221.34      0.00
18:45:25   1220.82      0.00
18:45:26   1221.19      0.00
18:45:27   1219.73      0.00
18:45:28   1220.67      0.00
18:45:29   1221.29      0.00
18:45:30   1221.30      0.00
18:45:31   1219.86      0.00
18:45:32   1220.62      0.00
18:45:33   1220.78      0.00
18:45:34   1221.69      0.00
18:45:35   1220.53      0.00
18:45:36   1219.88      0.00
18:45:37   1221.65      0.00
18:45:38   1219.29      0.00
18:45:39   1221.34      0.00
18:45:40   1220.26      0.00
18:45:41   1221.09      0.00
18:45:42   1220.39      0.00
18:45:43   1220.83      0.00
18:45:44   1221.63      0.00
18:45:45   1219.82      0.00
18:45:46   1221.32      0.00
18:45:47   1220.52      0.00
18:45:48   1219.85      0.00
18:45:49   1222.14      0.00
18:45:50   1219.28      0.00
18:45:51   1221.19      0.00
18:45:52   1220.41      0.00
18:45:53   1220.74      0.00
18:45:54   1221.51      0.00
18:45:55   1221.17      0.00
18:45:56   1220.17      0.00
18:45:57   1220.03      0.00
18:45:58   1221.21      0.00
18:45:59   1220.61      0.00
18:46:00   1221.02      0.00
18:46:01   1220.00      0.00
18:46:02   1220.77      0.00
18:46:03   1220.56      0.00
18:46:04   1220.80      0.00
18:46:05   1220.56      0.00
18:46:06   1221.63      0.00
18:46:07   1220.81      0.00
18:46:08   1220.08      0.00
18:46:09   1221.62      0.00
18:46:10   1220.64      0.00
18:46:11   1220.91      0.00
18:46:12   1220.06      0.00
18:46:13   1221.30      0.00
18:46:14   1220.71      0.00
18:46:15   1220.76      0.00
18:46:16   1220.01      0.00
18:46:17   1220.34      0.00
18:46:18   1221.39      0.00
18:46:19   1221.03      0.00
18:46:20   1220.43      0.00
18:46:21   1220.03      0.00
18:46:22   1221.37      0.00
18:46:23   1220.75      0.00
18:46:24   1221.06      0.00
18:46:25   1220.59      0.00
18:46:26   1220.06      0.00
18:46:27   1220.61      0.00
18:46:28   1221.01      0.00
18:46:29   1221.41      0.00
18:46:30   1220.65      0.00
18:46:31   1220.49      0.00
18:46:32   1219.60      0.00
18:46:33   1221.44      0.00
18:46:34   1220.38      0.00
18:46:35   1220.77      0.00
18:46:36   1221.59      0.00
18:46:37   1219.40      0.00
18:46:38   1222.04      0.00
18:46:39   1220.13      0.00
18:46:40   1220.32      0.00
18:46:41   1221.50      0.00
18:46:42   1219.99      0.00
18:46:43   1221.07      0.00
18:46:44   1221.15      0.00
18:46:45   1219.29      0.00
18:46:46   1220.98      0.00
18:46:47   1221.53      0.00
18:46:48   1220.57      0.00
18:46:49   1220.31      0.00
18:46:50   1220.73      0.00
18:46:51   1220.38      0.00
18:46:52   1220.42      0.00
18:46:53   1220.74      0.00
18:46:54   1221.14      0.00
18:46:55   1221.54      0.00
18:46:56   1220.06      0.00
18:46:57   1220.41      0.00
18:46:58   1221.40      0.00
18:46:59   1220.55      0.00
18:47:00   1220.26      0.00
18:47:01   1221.38      0.00
18:47:02   1220.40      0.00
18:47:03   1220.45      0.00
18:47:04   1221.79      0.00
18:47:05   1220.64      0.00
18:47:06   1220.01      0.00
18:47:07   1221.35      0.00
18:47:08   1220.87      0.00
18:47:09   1219.58      0.00
18:47:10   1221.58      0.00
18:47:11   1220.81      0.00
18:47:12   1219.49      0.00
18:47:13   1221.92      0.00
18:47:14   1151.78      0.42
18:47:15      0.00      0.00
18:47:16      0.00      0.00
18:47:17      0.00      0.00
