Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,16.69921875,[0],1,8,1,0
2,19.7,104.03515625,[0],4,7,3,0
3,7.9,117.1796875,[0],4,7,4,0
4,5.9,121.81640625,[0],4,7,5,0
5,5.9,125.16796875,[0],4,7,6,0
6,4.9,125.16796875,[0],4,7,8,0
7,4.0,125.42578125,[0],4,7,9,0
8,4.9,127.48828125,[0],4,7,10,0
9,5.9,131.61328125,[0],4,7,11,0
10,4.9,131.61328125,[0],4,7,12,0
11,4.0,131.61328125,[0],4,7,13,0
12,4.9,131.87109375,[0],4,7,14,0
13,4.9,131.87109375,[0],4,7,15,0
14,4.0,131.87109375,[0],4,7,16,0
15,4.0,131.87109375,[0],4,7,17,0
16,4.9,131.87109375,[0],4,7,18,0
17,4.0,131.87109375,[0],4,7,19,0
18,5.9,134.4453125,[0],4,7,20,0
19,5.9,137.6875,[0],4,7,21,0
20,7.9,152.86328125,[0],4,7,22,0
21,4.0,153.16015625,[0],4,7,23,0
22,5.9,155.03125,[0],4,7,24,0
23,4.0,155.2734375,[0],4,7,25,0
24,4.9,156.1640625,[0],4,7,26,0
25,5.9,158.78125,[0],4,7,27,0
26,5.9,161.1484375,[0],4,7,28,0
27,4.9,166.0859375,[0],4,7,29,0
28,8.9,187.3125,[0],4,7,30,0
29,6.9,195.921875,[0],4,7,31,0
30,4.9,196.41015625,[0],4,7,32,0
31,4.0,197.14453125,[0],4,7,33,0
32,5.9,198.87890625,[0],4,7,34,0
33,4.9,198.87890625,[0],4,7,35,0
34,4.9,199.35546875,[0],4,7,36,0
35,4.0,200.04296875,[0],4,7,37,0
36,4.9,202.03125,[0],4,7,38,0
37,4.9,202.03125,[0],4,7,39,0
38,4.9,202.26953125,[0],4,7,40,0
39,4.9,202.26953125,[0],4,7,41,0
40,4.9,205.27734375,[0],4,6,42,0
41,4.0,205.50390625,[0],4,6,43,0
42,5.9,207.03515625,[0],4,6,44,0
43,4.9,207.03515625,[0],4,6,45,0
44,4.9,207.53125,[0],4,6,46,0
45,4.0,207.53125,[0],4,6,47,0
46,4.0,207.53125,[0],4,6,48,0
47,4.9,207.53125,[0],4,6,49,0
48,4.9,207.53125,[0],4,6,50,0
49,4.9,208.796875,[0],4,6,51,0
50,4.0,209.0546875,[0],4,6,52,0
51,4.9,209.0546875,[0],4,6,53,0
52,4.9,209.29296875,[0],4,6,54,0
53,4.9,211.296875,[0],4,7,55,0
54,4.0,211.796875,[0],4,7,56,0
55,5.9,211.796875,[0],4,7,57,0
56,4.0,212.0546875,[0],4,7,58,0
57,4.0,212.0546875,[0],4,7,59,0
58,5.9,212.0546875,[0],4,7,60,0
59,4.0,212.296875,[0],4,7,61,0
60,5.9,212.4921875,[0],4,7,62,0
61,4.0,212.59765625,[0],4,7,63,0
62,4.9,212.94140625,[0],4,7,64,0
63,4.0,213.12890625,[0],4,7,65,0
64,4.9,213.12890625,[0],4,7,66,0
65,4.9,214.64453125,[0],4,7,67,0
66,4.9,218.37890625,[0],4,7,68,0
67,4.9,219.07421875,[0],4,7,69,0
68,4.9,219.21875,[0],4,7,70,0
69,4.9,219.67578125,[0],4,7,71,0
70,4.9,220.484375,[0],4,7,72,0
71,4.9,221.87890625,[0],4,7,73,0
72,4.9,223.01953125,[0],4,7,74,0
73,4.9,225.09765625,[0],4,7,75,0
74,7.9,236.02734375,[0],4,7,76,0
75,4.0,236.515625,[0],4,7,77,0
76,4.9,236.65625,[0],4,7,78,0
77,4.9,236.65625,[0],4,7,79,0
78,5.9,240.73046875,[0],4,7,80,0
79,6.9,246.21875,[0],4,7,81,0
80,4.0,246.43359375,[0],4,7,82,0
81,4.9,247.703125,[0],4,7,83,0
82,4.9,249.71875,[0],4,7,84,0
83,4.9,251.25,[0],4,7,85,0
84,4.9,251.765625,[0],4,7,86,0
85,5.9,258.1171875,[0],4,7,87,0
86,4.9,258.87109375,[0],4,7,88,0
87,4.9,258.87109375,[0],4,7,89,0
88,4.9,259.62890625,[0],4,7,90,0
89,4.9,259.86328125,[0],4,7,91,0
90,3.0,259.86328125,[0],4,7,92,0
91,4.9,259.86328125,[0],4,7,94,0
92,4.9,260.625,[0],4,7,95,0
93,5.9,260.87890625,[0],4,7,96,0
94,4.0,260.87890625,[0],4,7,97,0
95,4.9,261.1328125,[0],4,7,98,0
96,4.9,261.63671875,[0],4,7,99,0
97,4.0,261.8828125,[0],4,7,100,0
98,4.9,261.8828125,[0],4,7,101,0
99,4.9,262.08984375,[0],4,7,102,0
100,4.0,262.30078125,[0],4,7,103,0
101,4.9,263.04296875,[0],4,7,104,0
102,4.9,263.23046875,[0],4,7,105,0
103,5.9,267.18359375,[0],4,7,106,0
104,4.9,269.86328125,[0],4,7,107,0
105,4.9,270.3359375,[0],4,7,108,0
106,4.9,270.83984375,[0],4,7,109,0
107,4.9,271.81640625,[0],4,7,110,0
108,4.9,272.69140625,[0],4,7,111,0
109,4.0,273.68359375,[0],4,7,112,0
110,5.9,274.1796875,[0],4,7,113,0
111,4.9,275.921875,[0],4,7,114,0
112,4.9,278.4453125,[0],4,7,115,0
113,4.9,280.23828125,[0],4,7,116,0
114,4.9,280.23828125,[0],4,7,117,0
115,4.9,281.4453125,[0],4,7,118,0
116,4.9,282.46484375,[0],4,7,119,0
117,4.9,283.48046875,[0],4,7,120,0
118,4.9,284.97265625,[0],4,7,121,0
119,4.0,284.97265625,[0],4,7,122,0
120,4.9,285.57421875,[0],4,7,123,0
121,5.9,285.59765625,[0],4,7,124,0
122,6.9,285.6328125,[0],4,7,125,0
123,5.9,285.65625,[0],4,7,126,0
124,4.9,285.69140625,[0],4,7,127,0
125,4.9,285.9140625,[0],4,7,128,0
126,4.9,286.16796875,[0],4,7,129,0
127,4.9,286.5234375,[0],4,7,130,0
128,4.9,287.11328125,[0],4,7,131,0
129,5.9,287.578125,[0],4,7,132,0
130,4.0,287.8515625,[0],4,7,133,0
131,4.9,288.375,[0],4,7,134,0
132,4.0,288.7109375,[0],4,7,135,0
133,5.9,289.53515625,[0],4,7,136,0
134,7.9,297.98828125,[0],4,7,137,0
135,6.9,302.12109375,[0],4,7,138,0
136,4.9,302.7578125,[0],4,7,139,0
137,4.0,303.0078125,[0],4,7,140,0
138,4.9,303.12109375,[0],4,7,141,0
139,4.9,303.234375,[0],4,7,142,0
140,6.9,303.34375,[0],4,7,143,0
141,4.9,306.00390625,[0],4,7,144,0
142,11.8,317.203125,[0],4,7,145,0
143,8.9,328.69140625,[0],4,7,146,0
144,20.7,400.203125,[0],4,7,147,0
145,4.0,400.30078125,[0],4,7,148,0
146,5.9,400.3125,[0],4,7,149,0
147,4.9,400.41015625,[0],4,7,150,0
148,9.9,407.578125,[0],4,7,151,0
149,5.9,409.45703125,[0],4,7,152,0
