  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
10:58:42  12206.15      0.00
10:58:43  12206.87      0.00
10:58:44  12208.09      0.00
10:58:45  12206.52      0.00
10:58:46  12206.31      0.00
10:58:47  12207.15      0.00
10:58:48  12207.62      0.00
10:58:49  12207.71      0.00
10:58:50  12206.46      0.00
10:58:51  12207.42      0.00
10:58:52  12206.43      0.00
10:58:53  12207.40      0.00
10:58:54  12206.51      0.00
10:58:55  12206.69      0.00
10:58:56  12207.73      0.00
10:58:57  12206.23      0.00
10:58:58  12206.80      0.00
10:58:59  12207.30      0.00
10:59:00  12208.23      0.00
10:59:01  12205.86      0.00
10:59:02  12207.43      0.00
10:59:03  12207.66      0.00
10:59:04  12206.54      0.00
10:59:05  12206.46      0.00
10:59:06  12206.88      0.00
10:59:07  12208.03      0.00
10:59:08  12206.56      0.00
10:59:09  12208.00      0.00
10:59:10  12206.54      0.00
10:59:11  12207.51      0.00
10:59:12  12206.22      0.00
10:59:13  12206.45      0.00
10:59:14  12207.22      0.00
10:59:15  12208.20      0.00
10:59:16  12206.79      0.00
10:59:17  12206.33      0.00
10:59:18  12208.02      0.00
10:59:19  12205.74      0.00
10:59:20  12208.37      0.00
10:59:21  12205.86      0.00
10:59:22  12208.46      0.00
10:59:23  12205.74      0.00
10:59:24  12207.72      0.00
10:59:25  12207.68      0.00
10:59:26  12207.12      0.00
10:59:27  12206.58      0.00
10:59:28  12207.36      0.00
10:59:29  12205.90      0.00
10:59:30  12207.90      0.00
10:59:31  12206.59      0.00
10:59:32  12206.90      0.00
10:59:33  12207.15      0.00
10:59:34  12207.25      0.00
10:59:35  12207.11      0.00
10:59:36  12206.37      0.00
10:59:37  12207.02      0.00
10:59:38  12207.68      0.00
10:59:39  12206.09      0.00
10:59:40  12207.46      0.00
10:59:41  12207.24      0.00
10:59:42  12206.91      0.00
10:59:43  12207.43      0.00
10:59:44  12207.57      0.00
10:59:45  12206.41      0.00
10:59:46  12208.00      0.00
10:59:47  12206.00      0.00
10:59:48  12207.58      0.00
10:59:49  12207.41      0.00
10:59:50  12205.73      0.00
10:59:51  12207.23      0.00
10:59:52  12208.21      0.00
10:59:53  12205.62      0.00
10:59:54  12207.39      0.00
10:59:55  12206.93      0.00
10:59:56  12206.78      0.00
10:59:57  12208.49      0.00
10:59:58  12206.96      0.00
10:59:59  12205.70      0.00
11:00:00  12207.63      0.00
11:00:01  12206.83      0.00
11:00:02  12207.24      0.00
