Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.41015625,[20],1,0,3,0
2,0.0,122.93359375,"[20, 6]",34,0,46,1
3,18.8,123.1875,"[20, 6]",34,0,46,1
4,16.8,123.1875,"[20, 6]",34,0,46,1
5,18.8,123.4453125,"[20, 6]",34,0,46,1
6,11.9,123.4453125,"[20, 6]",34,0,46,1
7,13.8,123.4453125,"[20, 6]",34,0,46,1
8,14.8,123.4453125,"[20, 6]",34,0,46,1
9,14.8,123.4453125,"[20, 6]",34,0,46,1
10,11.9,123.4453125,"[20, 6]",34,0,46,1
11,10.9,123.4453125,"[20, 6]",34,0,46,1
12,12.9,123.4453125,"[20, 6]",34,0,46,1
13,11.9,123.4453125,"[20, 6]",34,0,46,1
14,10.9,123.4453125,"[20, 6]",34,0,46,1
15,11.9,123.4453125,"[20, 6]",34,0,46,1
16,10.9,123.4453125,"[20, 6]",34,0,46,1
17,11.9,123.4453125,"[20, 6]",34,0,46,1
18,16.8,123.4453125,"[20, 6]",34,0,46,1
19,15.8,123.4453125,"[20, 6]",34,0,46,1
20,17.8,123.4453125,"[20, 6]",34,0,46,1
21,19.8,124.125,"[20, 6]",34,0,46,1
22,14.8,124.35546875,"[20, 6]",34,0,46,1
23,15.8,124.35546875,"[20, 6]",34,0,46,1
24,15.8,124.35546875,"[20, 6]",34,0,46,1
25,14.8,124.36328125,"[20, 6]",34,0,46,1
26,15.8,124.36328125,"[20, 6]",34,0,46,1
27,12.9,124.36328125,"[20, 6]",34,0,46,1
28,18.8,124.36328125,"[20, 6]",34,0,46,1
29,17.8,125.05078125,"[20, 6]",34,0,46,1
30,16.8,125.05078125,"[20, 6]",34,0,46,1
31,21.8,125.05078125,"[20, 6]",34,0,46,1
32,22.7,125.27734375,"[20, 6]",34,0,46,1
33,17.8,125.27734375,"[20, 6]",34,0,46,1
34,22.7,125.51171875,"[20, 6]",34,0,46,1
35,19.8,125.51171875,"[20, 6]",34,0,46,1
36,16.8,125.51171875,"[20, 6]",34,0,46,1
37,18.8,125.51171875,"[20, 6]",34,0,46,1
38,13.8,125.51171875,"[20, 6]",34,0,46,1
39,16.8,125.51171875,"[20, 6]",34,0,46,1
40,20.8,125.984375,"[20, 6]",34,0,46,1
41,22.7,126.0390625,"[20, 6]",34,0,46,1
42,17.8,126.0390625,"[20, 6]",34,0,46,1
43,20.8,126.0390625,"[20, 6]",34,0,46,1
44,11.9,126.0390625,"[20, 6]",34,0,46,1
45,10.9,126.046875,"[20, 6]",34,0,46,1
46,17.8,126.046875,"[20, 6]",34,0,46,1
47,18.8,126.046875,"[20, 6]",34,0,46,1
48,20.8,126.046875,"[20, 6]",34,0,46,1
49,22.7,126.046875,"[20, 6]",34,0,46,1
50,14.8,126.046875,"[20, 6]",34,0,46,1
51,21.8,126.046875,"[20, 6]",34,0,46,1
52,15.8,126.046875,"[20, 6]",34,0,46,1
53,12.9,126.046875,"[20, 6]",34,0,46,1
54,15.8,126.046875,"[20, 6]",34,0,46,1
55,13.8,126.046875,"[20, 6]",34,0,46,1
56,11.9,126.046875,"[20, 6]",34,0,46,1
57,10.9,126.046875,"[20, 6]",34,0,46,1
58,16.8,126.046875,"[20, 6]",34,0,46,1
59,21.8,126.046875,"[20, 6]",34,0,46,1
60,18.8,126.046875,"[20, 6]",34,0,46,1
61,18.8,126.046875,"[20, 6]",34,0,46,1
62,15.8,126.046875,"[20, 6]",34,0,46,1
63,16.8,126.046875,"[20, 6]",34,0,46,1
64,12.9,126.046875,"[20, 6]",34,0,46,1
65,13.8,126.046875,"[20, 6]",34,0,46,1
66,13.8,126.046875,"[20, 6]",34,0,46,1
67,11.9,126.046875,"[20, 6]",34,0,46,1
68,10.9,126.046875,"[20, 6]",34,0,46,1
69,13.8,126.046875,"[20, 6]",34,0,46,1
70,13.8,126.05859375,"[20, 6]",34,0,46,1
71,11.9,126.05859375,"[20, 6]",34,0,46,1
72,13.8,126.05859375,"[20, 6]",34,0,46,1
73,12.9,126.05859375,"[20, 6]",34,0,46,1
74,15.8,126.06640625,"[20, 6]",34,0,46,1
75,11.9,126.06640625,"[20, 6]",34,0,46,1
76,10.9,126.06640625,"[20, 6]",34,0,46,1
77,10.9,126.06640625,"[20, 6]",34,0,46,1
78,12.9,126.06640625,"[20, 6]",34,0,46,1
79,14.8,126.09375,"[20, 6]",34,0,46,1
80,10.9,126.09375,"[20, 6]",34,0,46,1
81,11.9,126.09375,"[20, 6]",34,0,46,1
82,11.9,126.09375,"[20, 6]",34,0,46,1
83,11.9,126.09375,"[20, 6]",34,0,46,1
84,11.9,126.09375,"[20, 6]",34,0,46,1
85,14.8,126.09375,"[20, 6]",34,0,46,1
86,10.9,126.09375,"[20, 6]",34,0,46,1
87,11.9,126.09375,"[20, 6]",34,0,46,1
88,11.9,126.09375,"[20, 6]",34,0,46,1
89,11.9,126.09375,"[20, 6]",34,0,46,1
90,10.9,126.09375,"[20, 6]",34,0,46,1
91,11.9,126.09375,"[20, 6]",34,0,46,1
92,10.9,126.09375,"[20, 6]",34,0,46,1
93,13.8,126.09375,"[20, 6]",34,0,46,1
94,16.8,126.09375,"[20, 6]",34,0,46,1
95,14.8,126.09375,"[20, 6]",34,0,46,1
96,15.8,126.09375,"[20, 6]",34,0,46,1
97,20.8,126.09375,"[20, 6]",34,0,46,1
98,14.8,126.09375,"[20, 6]",34,0,46,1
99,10.9,126.09375,"[20, 6]",34,0,46,1
100,11.9,126.09375,"[20, 6]",34,0,46,1
101,13.8,126.09375,"[20, 6]",34,0,46,1
102,19.8,126.09375,"[20, 6]",34,0,46,1
103,13.8,126.171875,"[20, 6]",34,0,46,1
104,15.8,126.171875,"[20, 6]",34,0,46,1
105,14.8,126.171875,"[20, 6]",34,0,46,1
106,13.8,126.18359375,"[20, 6]",34,0,46,1
107,20.8,126.18359375,"[20, 6]",34,0,46,1
108,13.8,126.18359375,"[20, 6]",34,0,46,1
109,13.8,126.18359375,"[20, 6]",34,0,46,1
110,11.9,126.18359375,"[20, 6]",34,0,46,1
111,12.8,126.18359375,"[20, 6]",34,0,46,1
112,13.8,126.18359375,"[20, 6]",34,0,46,1
113,12.9,126.18359375,"[20, 6]",34,0,46,1
114,13.8,126.18359375,"[20, 6]",34,0,46,1
115,13.8,126.18359375,"[20, 6]",34,0,46,1
116,13.8,126.18359375,"[20, 6]",34,0,46,1
117,14.8,126.18359375,"[20, 6]",34,0,46,1
118,16.8,126.18359375,"[20, 6]",34,0,46,1
119,17.8,126.18359375,"[20, 6]",34,0,46,1
120,17.8,126.18359375,"[20, 6]",34,0,46,1
121,12.9,126.18359375,"[20, 6]",34,0,46,1
122,11.9,126.18359375,"[20, 6]",34,0,46,1
123,11.9,126.18359375,"[20, 6]",34,0,46,1
124,11.9,126.18359375,"[20, 6]",34,0,46,1
125,12.9,126.18359375,"[20, 6]",34,0,46,1
126,10.9,126.18359375,"[20, 6]",34,0,46,1
127,12.9,126.18359375,"[20, 6]",34,0,46,1
128,11.9,126.2265625,"[20, 6]",34,0,46,1
129,13.8,126.23046875,"[20, 6]",34,0,46,1
130,14.8,126.23046875,"[20, 6]",34,0,46,1
131,15.8,126.23046875,"[20, 6]",34,0,46,1
132,15.8,126.23046875,"[20, 6]",34,0,46,1
133,14.8,126.23046875,"[20, 6]",34,0,46,1
134,18.8,126.2734375,"[20, 6]",34,0,46,1
135,21.8,126.2734375,"[20, 6]",34,0,46,1
136,16.8,126.2734375,"[20, 6]",34,0,46,1
137,14.8,126.2734375,"[20, 6]",34,0,46,1
138,14.8,126.2734375,"[20, 6]",34,0,46,1
139,23.7,126.2734375,"[20, 6]",34,0,46,1
140,16.8,126.2734375,"[20, 6]",34,0,46,1
141,24.7,126.2734375,"[20, 6]",34,0,46,1
142,27.7,127.72265625,"[20, 6]",34,0,46,1
143,20.8,128.234375,"[20, 6]",34,0,46,1
144,43.5,128.69140625,"[20, 6]",34,0,46,1
145,15.8,128.69140625,"[20, 6]",34,0,46,1
146,16.8,128.69140625,"[20, 6]",34,0,46,1
147,12.9,128.69140625,"[20, 6]",34,0,46,1
148,22.7,128.94921875,"[20, 6]",34,0,46,1
149,18.8,128.94921875,"[20, 6]",34,0,46,1
150,18.8,128.94921875,"[20, 6]",34,0,46,1
151,13.8,128.94921875,"[20, 6]",34,0,46,1
152,14.8,128.94921875,"[20, 6]",34,0,46,1
153,19.8,128.9765625,"[20, 6]",34,0,46,1
154,18.8,128.9765625,"[20, 6]",34,0,46,1
155,16.8,128.9765625,"[20, 6]",34,0,46,1
156,16.8,128.9765625,"[20, 6]",34,0,46,1
157,13.8,128.9765625,"[20, 6]",34,0,46,1
158,12.9,128.9765625,"[20, 6]",34,0,46,1
159,14.8,128.9765625,"[20, 6]",34,0,46,1
160,12.9,128.9765625,"[20, 6]",34,0,46,1
161,12.9,128.9765625,"[20, 6]",34,0,46,1
162,13.8,128.9765625,"[20, 6]",34,0,46,1
163,12.9,128.9765625,"[20, 6]",34,0,46,1
164,12.9,128.9765625,"[20, 6]",34,0,46,1
165,12.9,128.9765625,"[20, 6]",34,0,46,1
166,12.9,128.9765625,"[20, 6]",34,0,46,1
167,10.9,128.9765625,"[20, 6]",34,0,46,1
168,25.7,129.23828125,"[20, 6]",34,0,46,1
169,34.6,129.23828125,"[20, 6]",34,0,46,1
170,20.8,129.23828125,"[20, 6]",34,0,46,1
171,24.7,129.23828125,"[20, 6]",34,0,46,1
172,24.7,129.23828125,"[20, 6]",34,0,46,1
173,30.7,129.23828125,"[20, 6]",34,0,46,1
174,16.8,129.23828125,"[20, 6]",34,0,46,1
175,16.8,129.4921875,"[20, 6]",34,0,46,1
176,15.8,129.4921875,"[20, 6]",34,0,46,1
177,15.8,129.49609375,"[20, 6]",34,0,46,1
178,15.8,129.49609375,"[20, 6]",34,0,46,1
179,17.8,129.5,"[20, 6]",34,0,46,1
180,15.8,129.5,"[20, 6]",34,0,46,1
181,13.8,129.5,"[20, 6]",34,0,46,1
182,12.9,129.5,"[20, 6]",34,0,46,1
183,10.9,129.5,"[20, 6]",34,0,46,1
184,11.9,129.5,"[20, 6]",34,0,46,1
185,10.9,129.5,"[20, 6]",34,0,46,1
186,11.9,129.5,"[20, 6]",34,0,46,1
187,13.8,129.5,"[20, 6]",34,0,46,1
188,19.8,129.5,"[20, 6]",34,0,46,1
189,21.8,129.5,"[20, 6]",34,0,46,1
190,19.8,129.5,"[20, 6]",34,0,46,1
191,19.8,129.5,"[20, 6]",34,0,46,1
192,19.8,129.5390625,"[20, 6]",34,0,46,1
193,16.8,129.5390625,"[20, 6]",34,0,46,1
194,17.8,129.5390625,"[20, 6]",34,0,46,1
195,13.8,129.5390625,"[20, 6]",34,0,46,1
196,11.9,129.5390625,"[20, 6]",34,0,46,1
197,17.8,129.5390625,"[20, 6]",34,0,46,1
198,23.7,129.5390625,"[20, 6]",34,0,46,1
199,11.9,129.5390625,"[20, 6]",34,0,46,1
200,11.9,129.5390625,"[20, 6]",34,0,46,1
201,10.9,129.5390625,"[20, 6]",34,0,46,1
202,16.8,129.5390625,"[20, 6]",34,0,46,1
203,17.8,129.5390625,"[20, 6]",34,0,46,1
204,15.8,129.5390625,"[20, 6]",34,0,46,1
205,11.9,129.5390625,"[20, 6]",34,0,46,1
206,16.8,129.5390625,"[20, 6]",34,0,46,1
207,14.8,129.5390625,"[20, 6]",34,0,46,1
208,14.8,129.5390625,"[20, 6]",34,0,46,1
209,12.9,129.5390625,"[20, 6]",34,0,46,1
210,13.8,129.5390625,"[20, 6]",34,0,46,1
211,16.8,129.5390625,"[20, 6]",34,0,46,1
212,19.8,129.5390625,"[20, 6]",34,0,46,1
213,17.8,129.5390625,"[20, 6]",34,0,46,1
214,12.9,129.5546875,"[20, 6]",34,0,46,1
215,14.8,129.69140625,"[20, 6]",34,0,46,1
216,13.8,129.69140625,"[20, 6]",34,0,46,1
217,10.9,129.69140625,"[20, 6]",34,0,46,1
218,11.9,129.69140625,"[20, 6]",34,0,46,1
219,11.9,129.69140625,"[20, 6]",34,0,46,1
220,10.9,129.69140625,"[20, 6]",34,0,46,1
221,11.9,129.69140625,"[20, 6]",34,0,46,1
222,11.9,129.69140625,"[20, 6]",34,0,46,1
223,10.9,129.69140625,"[20, 6]",34,0,46,1
224,11.9,129.69140625,"[20, 6]",34,0,46,1
225,10.9,129.69140625,"[20, 6]",34,0,46,1
226,11.9,129.69140625,"[20, 6]",34,0,46,1
227,10.9,129.69140625,"[20, 6]",34,0,46,1
228,10.9,129.69140625,"[20, 6]",34,0,46,1
229,11.9,129.69140625,"[20, 6]",34,0,46,1
230,15.8,129.69140625,"[20, 6]",34,0,46,1
231,13.8,129.69140625,"[20, 6]",34,0,46,1
232,22.8,129.69140625,"[20, 6]",34,0,46,1
233,9.9,129.69140625,"[20, 6]",34,0,46,1
234,11.9,129.69140625,"[20, 6]",34,0,46,1
235,10.9,129.69140625,"[20, 6]",34,0,46,1
236,9.9,129.69140625,"[20, 6]",34,0,46,1
237,11.9,129.69140625,"[20, 6]",34,0,46,1
238,10.9,129.69140625,"[20, 6]",34,0,46,1
239,10.9,129.7109375,"[20, 6]",34,0,46,1
240,13.8,129.7109375,"[20, 6]",34,0,46,1
241,15.8,129.7109375,"[20, 6]",34,0,46,1
242,21.8,129.7109375,"[20, 6]",34,0,46,1
243,13.8,129.7109375,"[20, 6]",34,0,46,1
