  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
11:49:26   1220.13      0.00
11:49:27   1220.75      0.00
11:49:28   1220.76      0.00
11:49:29   1220.34      0.00
11:49:30   1220.76      0.00
11:49:31   1221.98      0.00
11:49:32   1219.37      0.00
11:49:33   1221.94      0.00
11:49:34   1220.61      0.00
11:49:35   1220.54      0.00
11:49:36   1220.75      0.00
11:49:37   1221.07      0.00
11:49:38   1219.44      0.00
11:49:39   1220.63      0.00
11:49:40   1221.56      0.00
11:49:41   1221.03      0.00
11:49:42   1220.81      0.00
11:49:43   1219.74      0.00
11:49:44   1221.50      0.00
11:49:45   1220.58      0.00
11:49:46   1220.94      0.00
11:49:47   1220.79      0.00
11:49:48   1220.63      0.00
11:49:49   1220.86      0.00
11:49:50   1219.99      0.00
11:49:51   1221.51      0.00
11:49:52   1220.32      0.00
11:49:53   1220.50      0.00
11:49:54   1221.33      0.00
11:49:55   1219.62      0.00
11:49:56   1221.73      0.00
11:49:57   1220.26      0.00
11:49:58   1220.92      0.00
11:49:59   1220.76      0.00
11:50:00   1219.92      0.00
11:50:01   1220.35      0.00
11:50:02   1221.14      0.00
11:50:03   1220.22      0.00
11:50:04   1221.45      0.00
11:50:05   1221.08      0.00
11:50:06   1219.93      0.00
11:50:07   1221.69      0.00
11:50:08   1219.67      0.00
11:50:09   1220.46      0.00
11:50:10   1222.02      0.00
11:50:11   1220.44      0.00
11:50:12   1220.95      0.00
11:50:13   1220.52      0.00
11:50:14   1220.69      0.00
11:50:15   1220.16      0.00
11:50:16   1220.11      0.00
11:50:17   1222.20      0.00
11:50:18   1219.75      0.00
11:50:19   1220.78      0.00
11:50:20   1220.66      0.00
11:50:21   1220.89      0.00
11:50:22   1221.46      0.00
11:50:23   1219.71      0.00
11:50:24   1220.80      0.00
11:50:25   1220.72      0.00
11:50:26   1221.42      0.00
11:50:27   1220.27      0.00
11:50:28   1220.45      0.00
11:50:29   1220.45      0.00
11:50:30   1221.42      0.00
11:50:31   1220.13      0.00
11:50:32   1220.89      0.00
11:50:33   1220.53      0.00
11:50:34   1220.39      0.00
11:50:35   1221.31      0.00
11:50:36   1221.40      0.00
11:50:37   1219.71      0.00
11:50:38   1220.80      0.00
11:50:39   1220.24      0.00
11:50:40   1221.97      0.00
11:50:41   1220.64      0.00
11:50:42   1219.88      0.00
11:50:43   1221.09      0.00
11:50:44   1220.58      0.00
11:50:45   1220.31      0.00
11:50:46   1221.26      0.00
11:50:47   1220.78      0.00
11:50:48   1220.95      0.00
11:50:49   1219.88      0.00
11:50:50   1221.06      0.00
11:50:51   1220.32      0.00
11:50:52   1222.05      0.00
11:50:53   1219.48      0.00
11:50:54   1221.34      0.00
11:50:55   1220.59      0.00
11:50:56   1221.16      0.00
11:50:57   1220.72      0.00
11:50:58   1220.39      0.00
11:50:59   1219.82      0.00
11:51:00   1221.00      0.00
11:51:01   1221.02      0.00
11:51:02   1221.56      0.00
11:51:03   1220.45      0.00
11:51:04   1220.64      0.00
11:51:05   1219.62      0.00
11:51:06   1221.70      0.00
11:51:07   1221.15      0.00
11:51:08   1220.24      0.00
11:51:09   1220.53      0.00
11:51:10   1221.26      0.00
11:51:11   1219.47      0.00
11:51:12   1221.12      0.00
11:51:13   1220.68      0.00
11:51:14   1221.47      0.00
11:51:15   1220.53      0.00
11:51:16   1220.58      0.00
11:51:17   1220.36      0.00
11:51:18   1220.99      0.00
11:51:19   1220.07      0.00
11:51:20   1221.92      0.00
11:51:21   1220.41      0.00
11:51:22   1219.91      0.00
11:51:23   1221.17      0.00
11:51:24   1220.53      0.00
11:51:25   1220.68      0.00
11:51:26   1220.84      0.00
11:51:27   1221.14      0.00
11:51:28   1220.81      0.00
11:51:29   1219.95      0.00
11:51:30   1221.60      0.00
11:51:31   1219.99      0.00
11:51:32   1221.10      0.00
11:51:33   1220.86      0.00
11:51:34   1219.64      0.00
11:51:35   1221.93      0.00
11:51:36   1220.52      0.00
11:51:37   1220.28      0.00
11:51:38   1221.02      0.00
11:51:39   1220.73      0.00
11:51:40   1220.20      0.00
11:51:41   1220.71      0.00
11:51:42   1220.78      0.00
11:51:43   1221.11      0.00
11:51:44   1220.53      0.00
11:51:45   1220.25      0.00
11:51:46   1221.59      0.00
11:51:47   1220.35      0.00
11:51:48   1220.53      0.00
11:51:49   1221.66      0.00
11:51:50   1219.75      0.00
11:51:51   1221.09      0.00
11:51:52   1220.27      0.00
11:51:53   1220.54      0.00
11:51:54   1221.66      0.00
11:51:55   1220.78      0.00
11:51:56   1220.44      0.00
11:51:57   1219.84      0.00
11:51:58   1220.90      0.00
11:51:59   1221.70      0.00
11:52:00   1220.32      0.00
11:52:01   1220.99      0.00
11:52:02   1220.51      0.00
11:52:03   1220.00      0.00
11:52:04   1221.67      0.00
11:52:05   1219.92      0.00
11:52:06   1220.45      0.00
11:52:07   1221.14      0.00
11:52:08   1221.09      0.00
11:52:09   1221.00      0.00
11:52:10   1220.19      0.00
11:52:11   1221.02      0.00
11:52:12   1219.85      0.00
11:52:13   1221.53      0.00
11:52:14   1220.83      0.00
11:52:15   1220.02      0.00
11:52:16   1221.24      0.00
11:52:17   1221.08      0.00
11:52:18   1219.91      0.00
11:52:19   1221.48      0.00
11:52:20   1220.23      0.00
11:52:21   1221.19      0.00
11:52:22   1219.42      0.00
11:52:23   1222.10      0.00
11:52:24   1219.40      0.00
11:52:25   1221.86      0.00
11:52:26   1219.64      0.00
11:52:27   1221.43      0.00
11:52:28   1219.80      0.00
11:52:29   1220.72      0.00
11:52:30   1221.27      0.00
11:52:31   1220.34      0.00
11:52:32   1221.24      0.00
11:52:33   1220.88      0.00
11:52:34   1220.82      0.00
11:52:35   1219.89      0.00
11:52:36   1221.84      0.00
11:52:37   1220.47      0.00
11:52:38   1219.91      0.00
11:52:39   1220.95      0.00
11:52:40   1220.16      0.00
11:52:41   1221.64      0.00
11:52:42   1219.95      0.00
11:52:43   1221.55      0.00
11:52:44   1219.93      0.00
11:52:45   1220.36      0.00
11:52:46   1221.86      0.00
11:52:47   1220.98      0.00
11:52:48   1219.78      0.00
11:52:49   1221.40      0.00
11:52:50   1219.92      0.00
11:52:51   1221.70      0.00
11:52:53   1219.67      0.00
11:52:54   1221.45      0.00
11:52:55   1220.94      0.00
11:52:56   1220.40      0.00
11:52:57   1220.87      0.00
11:52:58   1220.33      0.00
11:52:59   1220.46      0.00
11:53:00   1220.59      0.00
11:53:01   1221.75      0.00
11:53:02   1219.86      0.00
11:53:03   1221.37      0.00
11:53:04   1219.61      0.00
11:53:05   1221.66      0.00
11:53:06   1220.15      0.00
11:53:07   1220.73      0.00
11:53:08   1220.89      0.00
11:53:09   1221.18      0.00
11:53:10   1219.56      0.00
11:53:11   1221.09      0.00
11:53:12   1220.63      0.00
11:53:13   1220.72      0.00
11:53:14   1220.73      0.00
11:53:15   1221.62      0.00
11:53:16   1220.73      0.00
11:53:17   1220.85      0.00
11:53:18   1220.58      0.00
11:53:19   1219.77      0.00
11:53:20   1220.94      0.00
11:53:21   1221.61      0.00
11:53:22   1219.71      0.00
11:53:23   1220.62      0.00
11:53:24   1220.75      0.00
11:53:25   1221.61      0.00
11:53:26   1220.24      0.00
11:53:27   1221.39      0.00
11:53:28   1219.44      0.00
11:53:29   1221.58      0.00
11:53:30   1220.30      0.00
11:53:31   1221.17      0.00
11:53:32   1220.95      0.00
11:53:33   1219.41      0.00
11:53:34   1221.16      0.00
11:53:35   1220.81      0.00
11:53:36   1220.39      0.00
11:53:37   1220.81      0.00
11:53:38   1221.26      0.00
11:53:39   1221.09      0.00
11:53:40   1220.61      0.00
11:53:41   1219.53      0.00
11:53:42   1221.44      0.00
11:53:43   1220.10      0.00
11:53:44   1221.00      0.00
11:53:45   1221.48      0.00
11:53:46   1220.86      0.00
11:53:47   1220.74      0.00
11:53:48   1220.55      0.00
11:53:49   1220.46      0.00
11:53:50   1220.65      0.00
11:53:51   1220.03      0.00
11:53:52   1221.64      0.00
11:53:53   1220.97      0.00
11:53:54   1219.68      0.00
11:53:55   1220.87      0.00
11:53:56   1221.23      0.00
11:53:57   1220.19      0.00
11:53:58   1220.75      0.00
11:53:59   1220.67      0.00
