Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.375,[19],1,0,3,0
2,0.0,132.3203125,"[19, 8]",34,0,49,1
3,141.0,136.9609375,"[19, 8]",34,0,49,1
4,162.8,143.1484375,"[19, 8]",34,0,49,1
5,254.6,171.25390625,"[19, 8]",34,0,49,1
6,208.0,189.99609375,"[19, 8]",34,0,49,1
7,130.0,192.13671875,"[19, 8]",34,0,49,1
8,122.1,192.97265625,"[19, 8]",34,0,49,1
9,120.2,193.421875,"[19, 8]",34,0,49,1
10,147.7,193.890625,"[19, 8]",34,0,49,1
11,141.8,199.22265625,"[19, 8]",34,0,49,1
12,138.8,219.08984375,"[19, 8]",34,0,49,1
13,189.6,229.6796875,"[19, 8]",34,0,49,1
14,159.7,233.0859375,"[19, 8]",34,0,49,1
15,270.8,279.9609375,"[19, 8]",34,0,49,1
16,329.3,291.859375,"[19, 8]",34,0,49,1
17,309.2,298.12890625,"[19, 8]",34,0,49,1
18,345.3,394.171875,"[19, 8]",34,0,49,1
19,338.4,405.828125,"[19, 8]",34,0,49,1
20,330.3,414.51171875,"[19, 8]",34,0,49,1
21,313.8,421.55859375,"[19, 8]",34,0,49,1
22,301.9,426.0703125,"[19, 8]",34,0,49,1
23,325.9,596.72265625,"[19, 8]",34,0,49,1
24,295.7,613.91796875,"[19, 8]",34,0,49,1
25,295.8,627.6328125,"[19, 8]",34,0,49,1
26,290.2,639.71484375,"[19, 8]",34,0,49,1
27,277.8,648.2734375,"[19, 8]",34,0,49,1
28,307.8,660.12890625,"[19, 8]",34,0,49,1
29,290.0,668.89453125,"[19, 8]",34,0,49,1
30,258.9,674.73046875,"[19, 8]",34,0,49,1
31,256.6,680.01953125,"[19, 8]",34,0,49,1
32,175.8,682.63671875,"[19, 8]",34,0,49,1
33,140.2,685.30078125,"[19, 8]",34,0,49,1
34,188.7,686.12109375,"[19, 8]",34,0,49,1
35,214.4,686.75,"[19, 8]",34,0,49,1
36,221.9,692.36328125,"[19, 8]",34,0,49,1
37,227.8,694.53125,"[19, 8]",34,0,49,1
38,230.2,694.9296875,"[19, 8]",34,0,49,1
39,235.5,695.12890625,"[19, 8]",34,0,49,1
40,159.6,698.56640625,"[19, 8]",34,0,49,1
41,166.8,699.03125,"[19, 8]",34,0,49,1
42,181.5,699.7109375,"[19, 8]",34,0,49,1
43,185.6,700.55078125,"[19, 8]",34,0,49,1
44,165.9,705.20703125,"[19, 8]",34,0,49,1
45,225.7,711.76171875,"[19, 8]",34,0,49,1
46,198.5,714.0859375,"[19, 8]",34,0,49,1
47,236.6,715.8515625,"[19, 8]",34,0,49,1
48,298.3,719.5859375,"[19, 8]",34,0,49,1
49,276.7,722.31640625,"[19, 8]",34,0,49,1
50,324.0,1113.8203125,"[19, 8]",34,0,49,1
51,389.2,1057.6015625,"[19, 8]",34,0,49,1
52,408.1,1070.41015625,"[19, 8]",34,0,49,1
53,423.5,1084.90234375,"[19, 8]",34,0,49,1
54,290.2,1094.109375,"[19, 8]",34,0,49,1
55,305.7,1105.98046875,"[19, 8]",34,0,49,1
56,297.2,1117.41015625,"[19, 8]",34,0,49,1
57,314.5,1129.3203125,"[19, 8]",34,0,49,1
58,359.0,1140.2578125,"[19, 8]",34,0,49,1
59,326.6,1150.65625,"[19, 8]",34,0,49,1
60,320.4,1161.09765625,"[19, 8]",34,0,49,1
61,268.3,1171.69921875,"[19, 8]",34,0,49,1
62,126.9,1172.90234375,"[19, 8]",34,0,49,1
63,114.1,1173.93359375,"[19, 8]",34,0,49,1
64,162.9,1177.125,"[19, 8]",34,0,49,1
65,177.6,1177.6875,"[19, 8]",34,0,49,1
66,168.9,1182.55078125,"[19, 8]",34,0,49,1
67,165.1,1183.21484375,"[19, 8]",34,0,49,1
68,122.2,1185.69140625,"[19, 8]",34,0,49,1
69,114.5,1186.19140625,"[19, 8]",34,0,49,1
70,135.3,1189.1875,"[19, 8]",34,0,49,1
71,109.7,1189.2265625,"[19, 8]",34,0,49,1
