  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
10:48:41    121.99      0.00
10:48:42    121.46      0.00
10:48:43    122.84      0.04
10:48:44    122.06      0.00
10:48:45    121.99      0.00
10:48:46    122.33      0.00
10:48:47    122.16      0.00
10:48:48    121.64      0.00
10:48:49    122.51      0.00
10:48:50    122.06      0.00
10:48:51    121.86      0.00
10:48:52    122.26      0.00
10:48:53    122.06      0.00
10:48:54    121.49      0.00
10:48:55    122.60      0.00
10:48:56    121.55      0.00
10:48:57    121.48      0.00
10:48:58    122.52      0.00
10:48:59    122.68      0.00
10:49:00    121.81      0.00
10:49:01    121.25      0.00
10:49:02    123.08      0.00
10:49:03    121.17      0.00
10:49:04    122.21      0.00
10:49:05    122.40      0.00
10:49:06    122.70      0.00
10:49:07    121.82      0.00
10:49:08    121.98      0.00
10:49:09    122.16      0.00
10:49:10    121.36      0.00
10:49:11    122.18      0.00
10:49:12    122.77      0.00
10:49:13    120.85      0.00
10:49:14    123.23      0.00
10:49:15    121.88      0.00
10:49:16    122.62      0.00
10:49:17    120.98      0.00
10:49:18    122.88      0.00
10:49:19    121.92      0.00
10:49:20    122.34      0.00
10:49:21    121.69      0.00
10:49:22    121.34      0.00
10:49:23    122.07      0.00
10:49:24    122.44      0.00
10:49:25    122.99      0.00
10:49:26    120.99      0.00
10:49:27    122.96      0.00
10:49:28    122.15      0.00
10:49:29    122.28      0.00
10:49:30    121.26      0.00
10:49:31    122.64      0.00
10:49:32    122.01      0.00
10:49:33    122.24      0.00
10:49:34    121.46      0.00
10:49:35    121.53      0.00
10:49:36    122.93      0.00
10:49:37    121.70      0.00
10:49:38    121.96      0.00
10:49:39    122.13      0.00
10:49:40    122.76      0.00
10:49:41    121.79      0.00
10:49:42    121.54      0.00
10:49:43    122.66      0.00
10:49:44    122.45      0.00
10:49:45    122.07      0.00
10:49:46    121.82      0.00
10:49:47    122.19      0.00
10:49:48    121.54      0.00
10:49:49    121.85      0.00
10:49:50    122.21      0.00
10:49:51    122.29      0.00
10:49:52    121.87      0.00
10:49:53    123.06      0.00
10:49:54    120.80      0.00
10:49:55    123.07      0.00
10:49:56    121.24      0.00
10:49:57    121.83      0.00
10:49:58    123.26      0.00
10:49:59    121.23      0.00
10:50:00    123.02      0.00
10:50:01    121.90      0.00
10:50:02    120.82      0.00
10:50:03    122.94      0.00
10:50:04    121.85      0.00
10:50:05    121.67      0.00
10:50:06    122.76      0.00
10:50:07    122.29      0.00
10:50:08    121.47      0.00
10:50:09    121.90      0.00
10:50:10    121.86      0.00
10:50:11    122.87      0.00
10:50:12    121.95      0.00
10:50:13    122.28      0.00
10:50:14    121.94      0.00
10:50:15    121.73      0.00
10:50:16    122.01      0.00
10:50:17    122.49      0.00
10:50:18    122.12      0.00
10:50:19    122.25      0.00
10:50:20    121.39      0.00
10:50:21    123.07      0.00
10:50:22    122.16      0.00
10:50:23    120.85      0.00
10:50:24    122.75      0.00
10:50:25    122.57      0.00
10:50:26    121.47      0.00
10:50:27    122.66      0.00
10:50:28    121.15      0.00
10:50:29    122.52      0.00
10:50:30    122.24      0.00
10:50:31    122.07      0.00
10:50:32    121.72      0.00
10:50:33    122.40      0.00
10:50:34    121.78      0.00
10:50:35    122.59      0.00
10:50:36    120.91      0.00
10:50:37    122.41      0.00
10:50:38    122.66      0.00
10:50:39    122.50      0.00
10:50:40    122.13      0.00
10:50:41    120.70      0.00
10:50:42    122.33      0.00
10:50:43    123.19      0.00
10:50:44    121.58      0.00
10:50:45    122.45      0.00
10:50:46    121.69      0.00
10:50:47    122.76      0.00
10:50:48    122.13      0.00
10:50:49    121.59      0.00
10:50:50    121.90      0.00
10:50:51    122.73      0.00
10:50:52    121.76      0.00
10:50:53    122.14      0.00
10:50:54    121.83      0.00
10:50:55    121.61      0.00
10:50:56    122.74      0.00
10:50:57    121.51      0.00
10:50:58    122.91      0.00
10:50:59    121.94      0.00
10:51:00    121.65      0.00
10:51:01    122.28      0.00
10:51:02    122.38      0.00
10:51:03    121.24      0.00
10:51:04    122.35      0.00
10:51:05    121.76      0.00
10:51:06    122.16      0.00
10:51:07    122.87      0.00
10:51:08    121.82      0.00
10:51:09    122.29      0.00
10:51:10    121.67      0.00
10:51:11    122.33      0.00
10:51:12    121.68      0.00
10:51:13    122.27      0.00
10:51:14    121.43      0.00
10:51:15    122.41      0.00
10:51:16    122.06      0.00
10:51:17    122.75      0.00
10:51:18    122.03      0.00
10:51:19    120.99      0.00
10:51:20    122.07      0.00
10:51:21    122.07      0.00
10:51:22    122.01      0.00
10:51:23    123.49      0.00
10:51:24    121.10      0.00
10:51:25    121.81      0.00
10:51:26    122.07      0.00
10:51:27    122.64      0.00
10:51:28    122.63      0.00
10:51:29    121.55      0.00
10:51:30    122.13      0.00
10:51:31    121.86      0.00
10:51:32    122.67      0.00
10:51:33    121.85      0.00
10:51:34    121.79      0.00
10:51:35    122.15      0.00
10:51:36    121.38      0.00
10:51:37    122.96      0.00
10:51:38    121.79      0.00
10:51:39    122.54      0.00
10:51:40    121.62      0.00
10:51:41    121.46      0.00
10:51:42    123.08      0.00
10:51:43    122.21      0.00
10:51:44    121.68      0.00
10:51:45    122.15      0.00
10:51:46    122.61      0.00
10:51:47    122.23      0.00
10:51:48    120.94      0.00
10:51:49    122.04      0.00
10:51:50    123.19      0.00
10:51:51    121.21      0.00
10:51:52    122.17      0.00
10:51:53    122.39      0.00
10:51:54    121.47      0.00
10:51:55    123.07      0.00
10:51:56    121.00      0.00
10:51:57    123.26      0.00
10:51:58    121.02      0.00
10:51:59    122.92      0.00
10:52:00    122.20      0.00
10:52:01    121.32      0.00
10:52:02    122.20      0.00
10:52:03    122.73      0.00
10:52:04    122.08      0.00
10:52:05    121.62      0.00
10:52:06    122.37      0.00
10:52:07    121.71      0.00
10:52:08    122.61      0.00
10:52:09    121.61      0.00
10:52:10    121.43      0.00
10:52:11    123.02      0.00
10:52:12    121.90      0.00
10:52:13    121.32      0.00
10:52:14    122.53      0.00
10:52:15    121.86      0.00
10:52:16    121.95      0.00
10:52:17    122.00      0.00
10:52:18    122.43      0.00
10:52:19    122.87      0.00
10:52:20    122.19      0.00
10:52:21    121.24      0.00
10:52:22    121.74      0.00
10:52:23    122.25      0.00
10:52:24    122.33      0.00
10:52:25    121.50      0.00
10:52:26    122.55      0.00
10:52:27    122.37      0.00
10:52:28    122.09      0.00
10:52:29    121.76      0.00
10:52:30    121.94      0.00
10:52:31    121.96      0.00
10:52:32    121.82      0.00
10:52:33    123.26      0.00
10:52:34    122.19      0.00
10:52:35    121.46      0.00
10:52:36    121.52      0.00
10:52:37    123.21      0.00
10:52:38    121.33      0.00
10:52:39    122.75      0.00
10:52:40    120.83      0.00
10:52:41    122.08      0.00
10:52:42    122.73      0.00
10:52:43    122.27      0.00
10:52:44    121.27      0.00
10:52:45    123.22      0.00
10:52:46    121.05      0.00
10:52:47    122.67      0.00
10:52:48    121.68      0.00
10:52:49    121.93      0.00
10:52:50    123.26      0.00
10:52:51    121.47      0.00
10:52:52    121.72      0.00
10:52:53    122.08      0.00
10:52:54    121.88      0.00
10:52:55    123.02      0.00
10:52:56    122.37      0.00
10:52:57    121.98      0.00
10:52:58    122.00      0.00
10:52:59    121.27      0.00
10:53:00    122.12      0.00
10:53:01    121.60      0.00
10:53:02    123.20      0.00
10:53:03    121.44      0.00
10:53:04    122.91      0.00
10:53:05    122.00      0.00
10:53:06    122.09      0.00
10:53:07    121.12      0.00
10:53:08    122.27      0.00
10:53:09    122.57      0.00
10:53:10    122.40      0.00
10:53:11    121.36      0.00
10:53:12    121.66      0.00
10:53:13    123.17      0.00
10:53:14    122.04      0.00
10:53:15    121.68      0.00
