Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,0.375,[16],1,0,3,0
2,0.0,10.578125,"[1, 2]",34,0,78,1
3,0.0,10.578125,"[1, 6]",34,0,102,1
4,1.0,10.578125,"[1, 2]",34,0,136,1
5,0.0,10.578125,"[1, 13]",34,0,182,1
6,1.0,10.578125,"[1, 3]",34,0,303,1
7,0.0,10.578125,"[1, 0]",34,0,357,1
8,1.0,10.578125,"[1, 3]",34,0,390,1
9,1.0,10.578125,"[1, 4]",34,0,461,1
10,19.5,26.2109375,"[1, 0]",34,0,489,1
11,78.5,131.05078125,"[1, 17]",34,0,501,1
12,130.2,138.77734375,"[1, 17]",34,0,501,1
13,116.5,140.58203125,"[1, 17]",34,0,501,1
14,211.9,184.6640625,"[1, 17]",34,0,501,1
15,195.3,209.13671875,"[1, 17]",34,0,501,1
16,328.8,219.4453125,"[1, 17]",34,0,501,1
17,337.6,273.6171875,"[1, 17]",34,0,501,1
18,307.1,282.87109375,"[1, 17]",34,0,501,1
19,328.4,372.56640625,"[1, 17]",34,0,501,1
20,297.3,387.8203125,"[1, 17]",34,0,501,1
21,309.8,399.55859375,"[1, 17]",34,0,501,1
22,338.5,410.046875,"[1, 17]",34,0,501,1
23,309.0,416.11328125,"[1, 17]",34,0,501,1
24,287.5,497.28515625,"[1, 17]",34,0,501,1
25,310.9,598.73046875,"[1, 17]",34,0,501,1
26,285.3,615.50390625,"[1, 17]",34,0,501,1
27,284.0,629.53515625,"[1, 17]",34,0,501,1
28,272.4,638.859375,"[1, 17]",34,0,501,1
29,283.1,651.1484375,"[1, 17]",34,0,501,1
30,256.1,660.27734375,"[1, 17]",34,0,501,1
31,241.6,667.30859375,"[1, 17]",34,0,501,1
32,226.5,673.1328125,"[1, 17]",34,0,501,1
33,163.7,675.3671875,"[1, 17]",34,0,501,1
34,130.1,676.83203125,"[1, 17]",34,0,501,1
35,196.5,678.578125,"[1, 17]",34,0,501,1
36,216.6,682.44921875,"[1, 17]",34,0,501,1
37,217.6,682.9375,"[1, 17]",34,0,501,1
38,198.0,685.55859375,"[1, 17]",34,0,501,1
39,234.3,690.984375,"[1, 17]",34,0,501,1
40,210.7,691.23046875,"[1, 17]",34,0,501,1
41,156.6,691.94140625,"[1, 17]",34,0,501,1
42,156.9,692.93359375,"[1, 17]",34,0,501,1
43,155.0,694.3515625,"[1, 17]",34,0,501,1
44,212.6,694.87109375,"[1, 17]",34,0,501,1
