Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.49609375,[3],1,1,4,0
2,0.0,245.38671875,"[3, 1]",22,12,264,1
3,39.5,248.60546875,"[3, 1]",22,12,755,1
4,39.5,251.09375,"[3, 1]",23,13,1266,1
5,41.4,253.37890625,"[3, 1]",24,14,1755,1
6,62.2,263.96484375,"[3, 1]",30,20,2097,1
7,66.1,271.2578125,"[3, 1]",31,21,2528,1
8,48.4,272.453125,"[3, 1]",31,21,3160,1
9,49.3,277.0703125,"[3, 1]",31,21,3705,1
10,46.4,280.06640625,"[3, 1]",31,21,4287,1
11,39.5,281.76953125,"[3, 1]",31,21,5082,1
12,60.2,286.34765625,"[3, 1]",32,22,5649,1
13,87.9,300.9921875,"[3, 1]",32,22,5855,1
14,105.6,333.578125,"[3, 1]",32,22,5860,1
15,105.6,340.046875,"[3, 1]",33,23,5863,1
16,102.7,341.16796875,"[3, 1]",33,23,5864,1
17,105.6,364.83984375,"[3, 1]",33,23,5870,1
18,105.6,385.51953125,"[3, 1]",33,23,5872,1
19,104.6,385.53515625,"[3, 17]",33,23,5874,1
20,104.6,385.53515625,"[3, 17]",33,23,5875,1
21,102.7,385.5390625,"[3, 17]",33,23,5877,1
22,102.7,385.5390625,"[3, 17]",33,23,5880,1
23,92.8,385.5390625,"[3, 17]",33,23,6149,1
24,94.7,385.5390625,"[3, 17]",33,23,6344,1
25,91.8,385.65625,"[3, 17]",33,23,6625,1
26,105.6,385.65625,"[3, 17]",33,23,6633,1
27,101.6,385.79296875,"[3, 17]",33,23,6634,1
28,102.6,385.79296875,"[3, 1]",33,23,6636,1
29,62.2,385.79296875,"[3, 17]",33,23,7207,1
30,54.3,385.79296875,"[3, 17]",33,23,8088,1
31,54.3,385.79296875,"[3, 17]",33,23,8711,1
32,45.4,385.85546875,"[3, 1]",33,23,9751,1
33,66.1,385.85546875,"[3, 1]",33,23,10606,1
34,92.8,385.85546875,"[3, 1]",33,23,10825,1
35,107.5,385.85546875,"[3, 1]",33,23,10831,1
36,107.5,385.875,"[3, 1]",33,23,10834,1
37,109.4,385.90234375,"[3, 1]",33,23,10839,1
38,103.4,389.76953125,"[3, 1]",33,23,10841,1
39,111.3,422.0078125,"[3, 1]",33,23,10847,1
40,105.4,455.578125,"[3, 1]",33,23,10851,1
