  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
17:17:02  12208.52      0.00
17:17:03  12206.43      0.00
17:17:04  12206.94      0.00
17:17:05  12206.62      0.00
17:17:06  12207.84      0.00
17:17:07  12206.76      0.00
17:17:08  12207.61      0.00
17:17:09  12206.86      0.00
17:17:10  12206.02      0.00
17:17:11  12207.90      0.00
17:17:12  12206.65      0.00
17:17:13  12207.90      0.00
17:17:14  12206.47      0.00
17:17:15  12206.92      0.00
17:17:16  12207.08      0.00
17:17:17  12207.18      0.00
17:17:18  12206.81      0.00
17:17:19  12207.11      0.00
17:17:20  12207.06      0.00
17:17:21  12206.94      0.00
17:17:22  12207.86      0.00
17:17:23  12207.15      0.00
17:17:24  12206.60      0.00
17:17:25  12207.34      0.00
17:17:26  12205.69      0.00
17:17:27  12207.24      0.00
17:17:28  12208.23      0.00
17:17:29  12206.02      0.00
17:17:30  12206.92      0.00
17:17:31  12207.42      0.00
17:17:32  12206.42      0.00
17:17:33  12208.19      0.00
17:17:34  12207.13      0.00
17:17:35  12206.04      0.00
17:17:36  12208.09      0.00
17:17:37  12206.22      0.00
17:17:38  12207.21      0.00
17:17:39  12207.48      0.00
17:17:40  12206.83      0.00
17:17:41  12206.96      0.00
17:17:42  12206.98      0.00
17:17:43  12206.77      0.00
17:17:44  12206.92      0.00
17:17:45  12206.56      0.00
17:17:46  12207.73      0.00
17:17:47  12207.27      0.00
17:17:48  12206.65      0.00
17:17:49  12206.93      0.00
17:17:50  12207.07      0.00
17:17:51  12206.50      0.00
17:17:52  12207.97      0.00
17:17:53  12206.71      0.00
17:17:54  12206.87      0.00
17:17:55  12208.20      0.00
17:17:56  12206.11      0.00
17:17:57  12206.86      0.00
17:17:58  12207.18      0.00
17:17:59  12207.50      0.00
17:18:00  12207.07      0.00
17:18:01  12206.28      0.00
17:18:02  12207.78      0.00
17:18:03  12206.86      0.00
17:18:04  12206.65      0.00
17:18:05  12207.11      0.00
17:18:06  12207.62      0.00
17:18:07  12207.04      0.00
17:18:08  12207.09      0.00
17:18:09  12207.18      0.00
17:18:10  12205.94      0.00
17:18:11  12208.33      0.00
17:18:12  12206.31      0.00
17:18:13  12207.45      0.00
17:18:14  12206.36      0.00
17:18:15  12206.68      0.00
17:18:16  12208.16      0.00
17:18:17  12207.20      0.00
17:18:18  12206.28      0.00
17:18:19  12207.03      0.00
17:18:20  12207.28      0.00
17:18:21  12206.56      0.00
17:18:22  12208.08      0.00
17:18:23  12206.36      0.00
17:18:24  12207.89      0.00
17:18:25  12206.25      0.00
17:18:26  12207.25      0.00
17:18:27  12207.56      0.00
17:18:28  12206.37      0.00
17:18:29  12206.72      0.00
17:18:30  12206.81      0.00
17:18:31  12207.68      0.00
17:18:32  12206.42      0.00
17:18:33  12207.78      0.00
17:18:34  12207.03      0.00
17:18:35  12206.52      0.00
17:18:36  12206.65      0.00
17:18:37  12207.80      0.00
17:18:38  12207.28      0.00
17:18:39  12207.12      0.00
17:18:40  12207.07      0.00
17:18:41  12206.99      0.00
17:18:42  12206.02      0.00
17:18:43  12207.27      0.00
17:18:44  12207.92      0.00
17:18:45  12205.97      0.00
17:18:46  12208.22      0.00
17:18:47  12206.47      0.00
17:18:48  12206.52      0.00
17:18:49  12206.84      0.00
17:18:50  12208.14      0.00
17:18:51  12207.01      0.00
17:18:52  12207.41      0.00
17:18:53  12205.89      0.00
17:18:54  12207.60      0.00
17:18:55  12206.37      0.00
17:18:56  12207.34      0.00
17:18:57  12207.07      0.00
17:18:58  12206.53      0.00
17:18:59  12207.43      0.00
17:19:00  12207.00      0.00
17:19:01  12207.33      0.00
17:19:02  12207.23      0.00
17:19:03  12206.77      0.00
17:19:04  12206.87      0.00
17:19:05  12206.94      0.00
17:19:06  12207.27      0.00
17:19:07  12206.48      0.00
17:19:08  12207.87      0.00
17:19:09  12206.87      0.00
17:19:10  12206.89      0.00
17:19:11  12207.85      0.00
17:19:12  12206.96      0.00
17:19:13  12207.12      0.00
17:19:14  12205.66      0.00
17:19:15  12207.74      0.00
17:19:16  12207.65      0.00
17:19:17  12206.31      0.00
17:19:18  12207.78      0.00
17:19:19  12206.00      0.00
17:19:20  12207.79      0.00
17:19:21  12207.20      0.00
17:19:22  12207.49      0.00
17:19:23  12206.03      0.00
17:19:24  12207.58      0.00
17:19:25  12206.31      0.00
17:19:26  12207.87      0.00
17:19:27  12206.09      0.00
17:19:28  12207.37      0.00
17:19:29  12207.48      0.00
17:19:30  12207.23      0.00
17:19:31  12206.36      0.00
17:19:33  12207.08      0.00
17:19:34  12206.55      0.00
17:19:35  12208.00      0.00
17:19:36  12205.95      0.00
17:19:37  12208.41      0.00
17:19:38  12206.62      0.00
17:19:39  12207.33      0.00
17:19:40  12205.76      0.00
17:19:41  12208.46      0.00
17:19:42  12206.83      0.00
17:19:43  12207.14      0.00
17:19:44  12206.29      0.00
17:19:45  12207.23      0.00
17:19:46  12206.33      0.00
17:19:47  12207.25      0.00
17:19:48  12207.76      0.00
17:19:49  12206.22      0.00
17:19:50  12207.95      0.00
17:19:51  12206.14      0.00
17:19:52  12207.42      0.00
17:19:53  12207.36      0.00
17:19:54  12206.53      0.00
17:19:55  12207.20      0.00
17:19:56  12207.26      0.00
17:19:57  12207.80      0.00
17:19:58  12206.73      0.00
17:19:59  12207.34      0.00
17:20:00  12207.15      0.00
17:20:01  12206.51      0.00
17:20:02  12206.33      0.00
17:20:03  12206.97      0.00
17:20:04  12207.23      0.00
17:20:05  12207.11      0.00
17:20:06  12207.32      0.00
17:20:07  12206.35      0.00
17:20:08  12207.13      0.00
17:20:09  12207.36      0.00
17:20:10  12207.62      0.00
17:20:11  12206.22      0.00
17:20:12  12207.94      0.00
17:20:13  12206.72      0.00
17:20:14  12207.23      0.00
17:20:15  12207.25      0.00
17:20:16  12206.75      0.00
17:20:17  12207.37      0.00
17:20:18  12206.36      0.00
