Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.5234375,[5],1,0,3,0
2,0.0,242.40625,"[5, 23]",12,0,24,1
3,0.0,242.40625,"[5, 23]",12,0,25,1
4,0.0,242.40625,"[5, 23]",12,0,27,1
5,1.0,242.40625,"[5, 23]",12,0,29,1
6,0.0,242.40625,"[5, 23]",12,0,31,1
7,0.0,242.40625,"[5, 23]",12,0,33,1
8,0.0,242.40625,"[5, 23]",12,0,35,1
9,0.0,242.40625,"[5, 23]",12,0,37,1
10,0.0,242.40625,"[5, 23]",12,0,39,1
11,0.0,242.40625,"[5, 23]",12,0,42,1
12,0.0,242.40625,"[5, 23]",12,0,44,1
13,0.0,242.40625,"[5, 23]",12,0,47,1
14,0.0,242.40625,"[5, 23]",12,0,49,1
15,0.0,242.40625,"[5, 23]",12,0,51,1
16,0.0,242.40625,"[5, 23]",12,0,53,1
17,0.0,242.40625,"[5, 23]",12,0,55,1
18,0.0,242.40625,"[5, 23]",12,0,56,1
19,0.0,242.40625,"[5, 5]",12,0,57,1
20,1.0,242.40625,"[5, 5]",12,0,59,1
21,0.0,242.40625,"[5, 5]",12,0,61,1
22,0.0,242.40625,"[5, 5]",12,0,62,1
23,0.0,242.40625,"[5, 5]",12,0,65,1
24,0.0,242.40625,"[5, 5]",12,0,67,1
25,0.0,242.40625,"[5, 5]",12,0,69,1
26,0.0,242.40625,"[5, 5]",12,0,71,1
27,0.0,242.40625,"[5, 5]",12,0,73,1
28,1.0,242.40625,"[5, 5]",12,0,75,1
29,0.0,242.40625,"[5, 5]",12,0,77,1
30,0.0,242.40625,"[5, 5]",12,0,79,1
31,0.0,242.40625,"[5, 5]",12,0,81,1
32,0.0,242.40625,"[5, 5]",12,0,83,1
33,0.0,242.40625,"[5, 5]",12,0,86,1
34,0.0,242.40625,"[5, 5]",12,0,88,1
35,0.0,242.40625,"[5, 5]",12,0,90,1
36,0.0,242.40625,"[5, 5]",12,0,92,1
37,0.0,242.40625,"[5, 5]",12,0,94,1
38,0.0,242.40625,"[5, 5]",12,0,96,1
39,0.0,242.40625,"[5, 5]",12,0,98,1
40,0.0,242.40625,"[5, 5]",12,0,100,1
41,0.0,242.40625,"[5, 5]",12,0,103,1
42,0.0,242.40625,"[5, 5]",12,0,105,1
43,0.0,242.40625,"[5, 5]",12,0,108,1
44,0.0,242.40625,"[5, 5]",12,0,110,1
45,0.0,242.40625,"[5, 5]",12,0,112,1
46,0.0,242.40625,"[5, 5]",12,0,114,1
47,0.0,242.40625,"[5, 5]",12,0,116,1
48,0.0,242.40625,"[5, 5]",12,0,120,1
49,0.0,242.40625,"[5, 5]",12,0,122,1
50,0.0,242.40625,"[5, 5]",12,0,124,1
51,0.0,242.40625,"[5, 5]",12,0,126,1
52,0.0,242.40625,"[5, 5]",12,0,129,1
53,1.0,242.40625,"[5, 5]",12,0,131,1
54,0.0,242.40625,"[5, 5]",12,0,133,1
55,0.0,242.40625,"[5, 5]",12,0,135,1
56,0.0,242.40625,"[5, 5]",12,0,137,1
57,0.0,242.40625,"[5, 5]",12,0,139,1
58,0.0,242.40625,"[5, 5]",12,0,141,1
59,0.0,242.40625,"[5, 5]",12,0,143,1
60,0.0,242.40625,"[5, 5]",12,0,145,1
61,0.0,242.40625,"[5, 5]",12,0,147,1
62,0.0,242.40625,"[5, 5]",12,0,150,1
63,1.0,242.40625,"[5, 5]",12,0,152,1
64,0.0,242.40625,"[5, 5]",12,0,154,1
65,0.0,242.40625,"[5, 5]",12,0,156,1
66,0.0,242.40625,"[5, 5]",12,0,158,1
67,0.0,242.40625,"[5, 5]",12,0,160,1
68,0.0,242.40625,"[5, 5]",12,0,162,1
69,0.0,242.40625,"[5, 5]",12,0,164,1
70,0.0,242.40625,"[5, 5]",12,0,166,1
71,0.0,242.40625,"[5, 5]",12,0,169,1
72,0.0,242.40625,"[5, 5]",12,0,172,1
73,0.0,242.40625,"[5, 5]",12,0,174,1
74,0.0,242.40625,"[5, 5]",12,0,176,1
75,0.0,242.40625,"[5, 5]",12,0,178,1
76,0.0,242.40625,"[5, 5]",12,0,180,1
77,0.0,242.40625,"[5, 5]",12,0,182,1
78,36.6,248.984375,"[5, 21]",24,0,193,1
79,110.6,279.078125,"[5, 21]",30,0,223,1
80,111.6,306.36328125,"[5, 5]",31,0,239,1
81,104.7,322.53515625,"[5, 5]",31,0,245,1
82,113.4,329.08984375,"[5, 5]",31,0,264,1
83,101.6,345.4375,"[5, 5]",31,0,266,1
84,108.7,381.078125,"[5, 21]",31,0,274,1
85,106.7,388.40234375,"[5, 21]",33,0,293,1
